Item_ID	Sentence	Expression	Context
41:95	you know, is there something else 0 we could have done *t*-1, you know, in *-2 checking out all the places that, uh, *t*-3 might be available.	might	###so, i was very comfortable, you know, in *-1 doing it when it got to the point that we had *-2 to do it *t*-3 *t*-4.###but there's,###well, i had an occasion for my mother-in-law who *t*-1 had fell and needed * to be, you know, could not take care of herself anymore, was confined *-2 to a nursing home for a while###that was really not a very good experience.###uh, it had *-1 to be done *-2 in a hurry.###i mean, we didn't have, you know, like six months *-1 to check all of these places out.###and it was really not, not very good, uh, deal.###speakera9.###yeah.###speakerb10.###we were not really happy with, nursing home that we finally had *t*-1.###speakera11.###yeah.###speakerb12.###fortunately, she only had *-1 to stay a few weeks###and she was able *-1 to, to return to her apartment again.###but it's really a big, uh, big, uh, decision as to, you know, when * to do it *t*-1.###speakera13.###yeah.###speakerb14.
53:58	and, um, she had used the walker for, for quite some time, probably about six to nine months.	probably	###yeah.###speakerb12.###fortunately, she only had *-1 to stay a few weeks###and she was able *-1 to, to return to her apartment again.###but it's really a big, uh, big, uh, decision as to, you know, when * to do it *t*-1.###speakera13.###yeah.###speakerb14.###you know, is there something else 0 we could have done *t*-1, you know, in *-2 checking out all the places that, uh, *t*-3 might be available.###of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.###speakera15.###yeah.###speakerb16.###speakera17.###uh-huh.###speakerb18.###speakera19.###uh-huh.###yeah.###probably the hardest thing in, in my family, uh, my grandmother, she had *-1 to be put *-2 in a nursing home
114:5	probably one of the biggest decisions i think that *t*-1 was very strengthening for our family was rather than * have one child make that decision than just * delegate it.	probably	###speakera37.###yeah.###i mean, for somebody who *t*-1 is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.###speakerb38.###uh-huh.###speakera39.###speakerb40.###uh-huh.###speakera41.###and, you know, * facing that situation, it's, it's quite a dilemma.###speakerb42.###yes.###speakera43.###i think,###speakerb44.###my mother, * excuse me.###* go ahead.###speakera45.###yeah.###well, my, uh, my, uh,
124:44	and, i mean, it was just, it was probably one of the most strengthening things for our family, * getting down together and doing that.	probably	###speakerb42.###yes.###speakera43.###i think,###speakerb44.###my mother, * excuse me.###* go ahead.###speakera45.###yeah.###well, my, uh, my, uh,###probably one of the biggest decisions i think that *t*-1 was very strengthening for our family was rather than * have one child make that decision than just * delegate it.###speakerb46.###uh-huh.###speakera47.###i think that they, they had a great deal of, um,###all the brothers and sisters got together###and they actually had a conference.###speakerb48.###that's great.###speakera49.
164:75	unfortunately, a lot of times it, responsibilities like that seem *-1 to fall to, you know, maybe one child in the whole family, you know.	maybe	###speakerb60.###you were very, fortunate.###speakera61.###and they,###speakerb62.###speakera63.###i know.### they, and, well, they had, well, they had, they had seen it coming.###speakerb64.###uh-huh.###speakera65.### so, so,###i mean, it,###i mean, i, i, i, i har-, i, i truly wish that if something like that were *-1 to happen that my children would do something like, that for me.###speakerb66.###uh-huh.###speakera67.###speakerb68.###uh-huh.###absolutely.
214:40	and i think that when she passed away *t*-1 it was probably one of the greatest,	probably	###speakera81.###yeah.###yeah.###well, with my, with my grandmother i think it was, it was such that, uh, that she did not have the problem with,###she was very well aware###and her daughter came and visited her###speakerb82.###uh-huh.###speakera83.###at least her daughter, came and visited her###and also her several grandchildren, came and visited her every day.###speakerb84.###uh-huh.###speakera85.###speakerb86.###uh-huh.###speakera87.###speakerb88.###that's great.###speakera89.
236:81	and, um, i, i, i think that what one thing that they were concerned *t*-1 probably was the fact 0 it wasn't necessarily, you know, like the quantity of care but the quality of, care.	probably	###it was more of a relief for her.###speakerb90.###uh-huh.###speakera91.###speakerb92.###sure.###speakera93.###and, um,###i mean, but she was truly, she was truly aware.###i mean, i, i, i di-, i don't know how i would, how i would deal *t*-1 if one of my parents came with, with alzheimer's. or something like, that which *t*-2 is, which *t*-3 is far more devastating.###speakerb94.###uh-huh.###speakera95.###speakerb96.###that would be tough.###speakera97.###speakerb98.###yes.###absolutely.###speakera99.
257:96	i think, i think, i think, 0 you know for myself i, i see that as probably the, the, what everything would hinge upon *t*-1.	probably	###speakerb100.###uh-huh.###speakera101.###speakerb102.###yes.###speakera103.###that the people that *t*-1 worked there were very were very interested that, *-2 to make it as close *ich*-3 a home environment, as possible.###speakerb104.###right.###speakera105.###speakerb106.###uh-huh.###speakera107.###speakerb108.###uh-huh.###speakera109.###speakerb110.###yes.###it would,###speakera111.
267:30	that's the, that's probably the major question.	probably	###speakerb106.###uh-huh.###speakera107.###speakerb108.###uh-huh.###speakera109.###speakerb110.###yes.###it would,###speakera111.### i think, i think, i think, 0 you know for myself i, i see that as probably the, the, what everything would hinge upon *t*-1.###speakerb112.###oh,###speakera113.###is it,###how close is it *t*-1 to a home environment.###speakerb114.###yes.###that's right.###speakera115.
313:90	i, i, i think that perhaps, perhaps the extended family, you know, that it maybe one of the solutions to a lot of things even child care.	maybe	###yes, um.###speakera129.###speakerb130.###uh-huh.###speakera131.###speakerb132.###uh-huh.###speakera133.###speakerb134.###that's right.###speakera135.###speakerb136.###sure.###absolutely.###and, people, things are scattered so much nowadays.###speakera137.###uh. yeah.###speakerb138.###speakera139.###yeah.
352:13	that would, certainly help.	certainly	### and i, and i, i kind of see that, that, you know, perhaps, you know, we may need *-1 to like get close to the family environment and and get down to the values of, you know,###speakerb148.###uh-huh.###speakera149.###i mean, uh, it's,###money seems *-1 to be too big of an issue. with, with, with, with what *t*-2's going on today###speakerb150.###oh, yeah.###speakera151.###speakerb152.###sure.###speakera153.###speakerb154.###realistically it is *?*.###speakera155.###and i, i think, i think that we may not, that may be, you know, perhaps if we put money on the back burner that may, that may choose *-1 to alleviate a lot of the problem.###speakerb156.###uh-huh.###speakera157.###speakerb158.
571:18	today was, uh, definitely a shorts day around here.	definitely	###like right now, today was in about, you know, the fifties.###speakera63.###uh-huh.###speakerb64.###but, um, you know, i, i do wear a lot of sweaters and things like sweater dresses.###speakera65.###yeah.###i'd like *-1 to be able *-2 to wear those here.###today it's eighty-eight degrees.###speakerb66.###oh, my.###speakera67.###so,###speakerb68.###uh-huh.###speakera69.###needless * to say, my sweaters have been hung *-1 in the closet for quite a while now.###speakerb70.###uh-huh.###speakera71.
885:70	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way 0 *-2 to just hang up on it *t*-1 *t*-3.	probably	###but in the second time, at least overtly, uh, where someone comes in and, uh, finds out information about you that *t*-1 should be private *t*-2, uh, does not seem, uh, um, obviously, everyday.###speakerb2.### i, i think 0 i agree with that.###i think 0 in a good example on the typical thing that *t*-1 happens, uh, when the phone rang *t*-2 and it's t i 0 *t*-3 calling, my immediate reaction is that it's some sort of strange phone message###and then i realize, oh, no, this is something 0 i solicited *t*-1,###speakera3.###that's right.###speakerb4.###so my immediate reaction was one of that sense of invasion###but after that i realized, no, i, i really wanted this###and it was sort of exciting###and so, that was almost an example of s-, an invasion that *t*-1 turns out *-2 to be not invasive.###speakera5.###uh-huh.###speakerb6.###speakera7.###right,###it turned out *-1 to be, uh, uh, an invitation.###speakerb8.###exactly.
928:72	so there's,, things that *t*-1 invade that second type of privacy where you do know about them *t*-2 and possibly things that *t*-3 invade that second type of privacy without you knowing about it,	possibly	###speakerb18.###speakera19.###uh-huh.###uh-huh.###speakerb20.### and, and, uh, that, that then ends up *-1 being the, the most common example for me.###speakera21.###uh-huh.###uh-huh.###speakerb22.###um, i guess 0 i'm not typically feeling invaded in my privacy relative to this second, this one that you raised *t*-1.###speakera23.###yeah.###speakerb24.###and i don't think 0 i would have thought about that.###i think 0 that's a good idea on your part.###i don't typically feel intruded on, on the things, uh, the sense of * finding out information.###speakera25.###well, presumably those who *t*-1 find out such information, if they are doing it, i would prefer *-2 to not to be known *-3,###and, i mean, you know, the classic, oh, i don't know c i a conspiracy theories or whatever, would have such parties *-1 trying *-2 to do it without your knowledge.
943:8	then maybe my privacy hasn't been *?* because i have no sense of my privacy state having been invaded *-2.	maybe	###i think 0 that's a good idea on your part.###i don't typically feel intruded on, on the things, uh, the sense of * finding out information.###speakera25.###well, presumably those who *t*-1 find out such information, if they are doing it, i would prefer *-2 to not to be known *-3,###and, i mean, you know, the classic, oh, i don't know c i a conspiracy theories or whatever, would have such parties *-1 trying *-2 to do it without your knowledge.###so there's,, things that *t*-1 invade that second type of privacy where you do know about them *t*-2 and possibly things that *t*-3 invade that second type of privacy without you knowing about it,###and i can't talk about the second one other than * to, to, to generate paranoia.###it's a surmise###and, i'd like *-1 to think that it's quite low, at least in this country.###speakerb26.###* to, to surmise. it is there.###speakera27.###i don't think 0 i'd like the k g b is monitoring my phone or anything like that.###speakerb28.###well, i guess, 0 although, i, well, that's a good point where you said that how does one define what invasion of privacy is *t*-1 *t*-3 *t*-2, because, uh, if that's the case of a tree falling in the forest###speakera29.###uh-huh,###yeah.###speakerb30.###and i'm not feeling invaded
967:39	um, the, the other side of that might be 0 if, if someone found out something *rnr*-1 or surmised something *rnr*-1 that *t*-2 weren't true then i would feel probably more invaded in the gossipy sort of sense.	might	###uh, if you're defining it in terms of information gone even if it's something 0 you don't know *t*-1 about it, well, then i guess 0 one could assume 0 one was invaded *-2###speakera33.###uh-huh,###uh-huh.###speakerb34.###but i don't feel invaded by it.###speakera35.###uh-huh,###speakerb36.###i don't, have a sense of threat *ich*-1 in general from those sorts of things,###speakera37.###uh-huh.###speakerb38.###i'm not sure why.###uh, i guess 0 it comes from a sense of fact or facts###and if someone finds out something about me that *t*-1 is true, i, i don't have a sense of loss from that.###speakera39.###uh-huh.###well, you must have a relatively clean conscience then.###speakerb40.
967:125	um, the, the other side of that might be 0 if, if someone found out something *rnr*-1 or surmised something *rnr*-1 that *t*-2 weren't true then i would feel probably more invaded in the gossipy sort of sense.	probably	###uh, if you're defining it in terms of information gone even if it's something 0 you don't know *t*-1 about it, well, then i guess 0 one could assume 0 one was invaded *-2###speakera33.###uh-huh,###uh-huh.###speakerb34.###but i don't feel invaded by it.###speakera35.###uh-huh,###speakerb36.###i don't, have a sense of threat *ich*-1 in general from those sorts of things,###speakera37.###uh-huh.###speakerb38.###i'm not sure why.###uh, i guess 0 it comes from a sense of fact or facts###and if someone finds out something about me that *t*-1 is true, i, i don't have a sense of loss from that.###speakera39.###uh-huh.###well, you must have a relatively clean conscience then.###speakerb40.
986:95	that would be an example where my sense of threat would be high *t*-1 because i would find that there be, cou-, a good possibly that their facts were, were fantasy.	possibly	###speakerb40.###um, the, the other side of that might be 0 if, if someone found out something *rnr*-1 or surmised something *rnr*-1 that *t*-2 weren't true then i would feel probably more invaded in the gossipy sort of sense.###speakera41.###yes,###yes,### ev-, more harmed or something.###speakerb42.###bec-,###right,###because, you don't have anyway 0 *-1 to turn it off *t*-2.###speakera43.###yeah.###speakerb44.###tho-,###did you hear about this lotus data base that *t*-1 was being put *-2 together?###speakera45.###yes,###i did.###i was just about *-1 to write a letter when i heard 0 they canceled it *t*-2.###speakerb46.
992:10	and that might be the sense of the spending pattern *ich*-2, for instance, that, that i would have thought *t*-1 to be private.	might	###speakerb42.###bec-,###right,###because, you don't have anyway 0 *-1 to turn it off *t*-2.###speakera43.###yeah.###speakerb44.###tho-,###did you hear about this lotus data base that *t*-1 was being put *-2 together?###speakera45.###yes,###i did.###i was just about *-1 to write a letter when i heard 0 they canceled it *t*-2.###speakerb46.###that would be an example where my sense of threat would be high *t*-1 because i would find that there be, cou-, a good possibly that their facts were, were fantasy.###speakera47.###uh-huh,###uh-huh.###speakerb48.###and then i would feel not only invaded in the sense that someone had obtained information from a, that i would rather 0 they didn't *t*-1
1042:9	so, maybe that is a, a little bit of what privacy is *t*-1.	maybe	###i mean, you can't believe that.###speakerb62.###right.###right.###speakera63.### it would, it would be pirated *-1###and they wouldn't bother *-1 to check that carefully anyway to someone who *t*-2's offering, you know, full cash price, for it.###speakerb64.###right.###speakera65.###i mean, you know, you can't tell it, what a company really has *-1 to do *t*-2 with it###and there's something rather ominous about * having virtually anyone, any hacker being able *-1 to know what your income is *t*-2, what your spending habits are *t*-3,### and, you know, and, and that hacker just has *-1 to get in to, in touch with the sneak thief###and suddenly and then what *t*-1 started as an invasion of privacy can be an invasion of your actual home.###speakerb66.###uh-huh.###and i guess 0 that turns out *-1 to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it###speakera67.###yeah.###speakerb68.
1060:5	certainly the language 0 i know *t*-1 doesn't, but just says a word for loneliness.	certainly	###yeah.###speakerb68.###so, maybe that is a, a little bit of what privacy is *t*-1.###speakera69.###yes.###exactly.###speakerb70.###speakera71.###uh-huh.###i also thought about it, was of, uh, *-1 waiting *-2 to talk to you that, another thing that *t*-4 occurred to me is 0 there is not so much invasion of my privacy because i know how *-5 to behave *t*-6 such that there isn't *?*.###but i realized 0 i have *-1 to behave in a certain way in order *-2 to not have people invade my privacy.###if i deviate from social norms of behavior, if i run up and down the street *-1 yelling or something, someone's going *-2 to invade my privacy very quickly.###speakerb72.###uh-huh.###speakera73.###and i realize that that, i mean, i can take that for granted###but i used *-1 to, i used *-2 to live in india###and things are quite different *ich*-1 there in terms of that.###there's less of a sense of privacy.###in fact, it *exp*-2's said *-1 that no indian language has a word for privacy,
1172:65	or you hear somebody all ready starting, reading off a list of stuff that they've read *t*-1 probably a thousand times that day already.	probably	###and normally when they call *t*-1, you're either in the shower,###or you're in the middle of * cooking something###and you have *-1 to stop everything *-2 to run to the phone.###speakerb2.###yes,###yes.### is, is that one that you're talking about *t*-1.###speakera3.###that was the big one 0 i'm talking about *t*-1.###i work weird hours,###and invariably just about the time, 0 i'm going *-1 to sleep *t*-2, the phone tears off the wall.###speakerb4.###uh-huh,###uh-huh.###speakera5.###and you are trying *-1 to crawl out of a half unconscious sleep and answer the phone,### you either hear, the cli-, as soon as you say hello, you hear the click of the recording coming on,###speakerb6.###uh-huh.###speakera7.
1276:8	i probably could do the same thing, uh, you know,	probably	###and, uh, i don't know,###i just, um, don't particularly care for that at all.###and that, that's one thing that i feel really strongly about *t*-1 though, is, uh, you know, people *ich*-2 coming up to my door, and especially religious organizations and wanting *-3 to uh, you know, to try and get me to join or, you know, become interested in their religion,###because i have my own.###speakera21.###now the part about where you said 0 the apartment complex puts up signs that *t*-1 says no soliciting *t*-2,###i've even gone so far as *-1 to put that,###i've got a storm door on the front of the house###and i've put, in,###i don't know how much clearer it can be *t*-1,###it's a red sign with silver letters saying no soliciting.### i should have, i guess 0 i should make another one that *t*-1 says religious or otherwise, cause i still get,###speakerb22.###yeah,###yeah,###that's true,###yeah.###no### i don't, uh, i don't have, i didn't go that far###but, uh, yeah
1401:32	and i feel like the next generation, you'll probably just work right along with your husband, you know.	probably	###speakera18.###are you ready now?###speakerb19.###yes.###speakera20.###okay,###like i said i guess 0 it would be the work force, you know, as far as changes in the generations.###speakerb21.###yes,###i know because, i know 0 when my mother was a, you know, going into the work force *t*-1 there wasn't very many opportunities for her, i guess,###she's in her late forties.###you were expected *-1 to stay home and take care of the kids###and i've never faced that at all.###speakera22.###uh, no,###i think 0 no-, now, you go to work when they're six weeks old, you know *t*-1,###speakerb23.###uh-huh.###speakera24.###and you stay there.
1405:21	i think 0 it's definitely gotten better.	definitely	###speakera20.###okay,###like i said i guess 0 it would be the work force, you know, as far as changes in the generations.###speakerb21.###yes,###i know because, i know 0 when my mother was a, you know, going into the work force *t*-1 there wasn't very many opportunities for her, i guess,###she's in her late forties.###you were expected *-1 to stay home and take care of the kids###and i've never faced that at all.###speakera22.###uh, no,###i think 0 no-, now, you go to work when they're six weeks old, you know *t*-1,###speakerb23.###uh-huh.###speakera24.###and you stay there.###and i feel like the next generation, you'll probably just work right along with your husband, you know.###speakerb25.###yeah,###uh-huh,
1452:19	i kind of think, maybe in time, that, you know, you'll go by social security numbers, you know,	maybe	###speakerb37.###hopefully, the next generation, it won't even be an issue,###i mean people will just look at you as a person and not as a man or a woman,###speakera38.###yeah,###yeah.###speakerb39.###i think 0 that would be the best goal.###speakera40.###oh, i do too,###just your qualifications###and that would be it.###speakerb41.###uh-huh,###exactly,###not what color you are *t*-1, how old you are *t*-2, what you're male or female.###that would be wonderful,###i guess 0 it's kind of an ideal world though, huh.###speakera42.###yeah,
1635:20	and i know 0 she probably didn't make hardly anything, you know, compared to the work that she did *t*-1.	probably	###speakera100.###uh-huh.###well i think 0 we've really come a long way in that because,###speakerb101.###uh-huh,###i guess 0 i take it for granted, kind of, because, i just,###it's always been that way.###speakera102.###uh-huh.###speakerb103.###but i know,###speakera104.###yeah,###but i can rem-, remember 0 back * growing up, my mother,###i mean it was###she always worked,###but it *exp*-1 wasn't that easy for her to just take off.###speakerb105.###oh no,###i can remember my mother getting in trouble if, you know, one of was sick,
1659:16	well, i should probably get back to my job.	probably	###i think 0 there is still some discrimination there where as, you know, men and women work in the same job *t*-1,###i think 0 men get paid *-1 more,###speakera108.###oh, i do too.###speakerb109.###but i think 0 that's improving.###it's such a slow process###it's frustrating,###but, you can see that it's wrong###speakera110.###yes,###yes.###speakerb111.###and you just want *-1 to make it right,###but at least the wheels are moving forward.###speakera112.###they really are *?*.###speakerb113.###yeah,###i think 0 it's getting better, not worse.
1813:22	well, ma-, maybe it wasn't that one.	maybe	###speakerb48.###yeah.###speakera49.###* seems *-1 to be the hot one of, of today.###he used, um, wild thing.###do you remember that, that song.###speakerb50.###yeah.###speakera51.###he used, um,###i can't remember who the artist was *t*-1 on that.###speakerb52.###jimi hendrix was the original.###speakera53.###who?###speakerb54.###jimi hendrix was the original.###he wrote,###speakera55.###was it,
1886:15	i think that probably what *t*-1 did it for him was the fact that he was a good stage performer.	probably	###i did too.###speakera73.###it was,###ugh, i didn't like that either.###speakerb74.###yeah,###but you know, whatever *t*-1 became of peter frampton.###i mean, there was nothing,###he was a phenomenon,###i me-, there was no reason for him to really come into, you know, great stardom or anything.###speakera75.###i remember, 0 i saw him in a concert, when i was,###speakerb76.###yeah.###yeah,### i think, i think 0 it,###speakera77.###i think 0 it was in high school.###speakerb78.###yeah,
2184:35	and then we're also looking at it in *-1 possibly getting a mutual fund.	possibly	###speakera39.###yeah,###mostly what we're doing, we've worked, we've done *t*-2 the, uh, coda account with t i where they, we put in so much a month *t*-1,### and then they,###or so much a pay check###and then they match it.###speakerb40.###yeah,###that's what we're doing *t*-1.###speakera41.###so that's, that's worked out pretty good###and then, i used *-1 to work for t i###and i have,###when i retired from there, or left *t*-1, i took the money 0 i that i had *t*-2 in mine and put it in an i r a###and we had an out, we had an existing i r a###so we have, both of us have some money in an i r a that we're also trying *-1 to figure *t*-2,### * to, put it, we're putting it in c d's right now,###speakerb42.###uh-huh.###speakera43.
2298:35	but it is self improvement from the standpoint of * probably relaxing, uh.	probably	###speakera11.###uh-huh.###speakerb12.###how about yourself?###speakera13.###well, um, i have an interest in art,###so i, frequently purchase and read, uh, books, mainly on water color because that's my big interest at the moment.###speakerb14.###oh, that's great.###speakera15.###and, uh, oh, i guess 0 i like a variety of things, uh, lots of fiction, uh, type books.###uh, right now i'm occasionally reading on a book about, uh, the mardi gras in new orleans and its history.###speakerb16.###uh-huh.###speakera17.###that's fairly interesting.###speakerb18.###i bet 0 that would be, rather interesting.###uh, that's, uh, self improvement,### that's, that's alwa-, well, that's kind of a hobby
2321:14	and as you probably well know, all of us are our own customer.	probably	###i don't know that i read anything strictly labeled * self improvement.###how about you?###speakerb20.###um, well i hate *-1 to,###yes,###i do.###speakera21.###speakerb22.### we, uh, we have these classes 0 we attend *t*-1, uh, management classes### and, and they give you books### and, and the last book, uh, matter of fact 0 i read *t*-1 was, at america's service by carl albrecht.###it talks about, uh, who the customer is *t*-1 and * being customer oriented, uh, which *t*-2 falls in line with the t i culture here at texas instruments.###speakera23.###yeah.###speakerb24.###uh, one of its great slogans is 0 if you're not serving the customer, you better be serving someone who *t*-1 is *?*.###speakera25.###uh-huh.###speakerb26.###uh, so that's all in self improvement * to stay focused on who the customer is *t*-1
2333:15	well, uh, maybe i am into some things *ich*-1 occasionally that i don't think of *t*-2 in terms of self improvement.	maybe	###speakera23.###yeah.###speakerb24.###uh, one of its great slogans is 0 if you're not serving the customer, you better be serving someone who *t*-1 is *?*.###speakera25.###uh-huh.###speakerb26.###uh, so that's all in self improvement * to stay focused on who the customer is *t*-1###and as you probably well know, all of us are our own customer.###you're my customer, i'm your customer, sort of thing.###speakera27.###right.###speakerb28.###um, every now and then i'm loaned *-3 a tape 0 i can stick *t*-1 in the, uh, in the car cassette set on the way home * to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of pat hagerty and these kind of, uh, mind stimulating philosophy type. which *t*-2 all, you know, betters yourself.###speakera29.###yeah.###speakerb30.###speakera31.###yeah,###yeah,
2372:68	i think 0 if somebody would say hey, * read these ten books because these are self-improvements, i would probably be turned *-1 off to them.	probably	###speakera39.###yes.###speakerb40.###so those are self improvements.###speakera41.###sure.###speakerb42.###um, our supervisor, uh, subtly bought all of us a book called * what every supervisor should know *t*-1. by a man, man named * doctor bittel, b i t t e l###speakera43.###um.###speakerb44.###and it's a very layman's, uh, uh, approach towards * managing different types of people.###and the very last chapter, and i haven't figured out why that one was last *t*-2, is how * to manage engineers *t*-1.###speakera45.###speakerb46.###so it's, it's ver-, it's interesting,###here again it's, it's casual reading###and it's not eaten up with a lot of, uh, mechanical stuff###and it's really excellent fast reading### and, uh, but as you say it's, it's sometimes it *exp*-1's difficult * to, to know if it's, you know,
2377:78	if he casually just walked into it and, uh, put down a stephen king book and i picked up one of them i might be a little more interested.	might	###sure.###speakerb42.###um, our supervisor, uh, subtly bought all of us a book called * what every supervisor should know *t*-1. by a man, man named * doctor bittel, b i t t e l###speakera43.###um.###speakerb44.###and it's a very layman's, uh, uh, approach towards * managing different types of people.###and the very last chapter, and i haven't figured out why that one was last *t*-2, is how * to manage engineers *t*-1.###speakera45.###speakerb46.###so it's, it's ver-, it's interesting,###here again it's, it's casual reading###and it's not eaten up with a lot of, uh, mechanical stuff###and it's really excellent fast reading### and, uh, but as you say it's, it's sometimes it *exp*-1's difficult * to, to know if it's, you know,###i think 0 if somebody would say hey, * read these ten books because these are self-improvements, i would probably be turned *-1 off to them.###speakera47.###yeah,###yeah.###speakerb48.
2418:18	i need *-1 to probably make a phone call or two.	probably	###you could almost label everything quality in some sense or other###but, uh, i think 0 sometimes the word is a little over used###speakerb56.### exactly, exactly right.###speakera57.###but,###speakerb58.###yeah, we, we have, i think 0 we, we name drop it a little too much and, and don't fully understand what, what it is *t*-1 0 we're saying.###i think 0 it's just focusing in on the issue and walking your talk### and, and all that kind of rolls in together there,###speakera59.###yeah.###speakerb60.###but, uh, that's just kind of part of it.###speakera61.###okay,###well, any other comments.###speakerb62.###uh, not that i can think of *t*-1.###um, i think 0 i'm under my quota a little bit.
2543:5	maybe you can call them split skirts.	maybe	###we ended up *-1 getting called out on it.###speakera23.###oh, how awful.###it sounds like mister power hungry.###speakerb24.###yeah.###speakera25.###you know, just yesterday, though, i saw a girl in the spine out here at lewisville that *t*-1 had on a pair of shorts.###speakerb26.###uh-huh.###speakera27.###and i don't care,###you can call them split skirts###and you can call them culottes all 0 you want *t*-1###but these were shorts.###that's all 0 they were *t*-1.###speakerb28.###speakera29.###i don't care what else you call them *t*-1, you know,###if they're below the knee, okay,
2605:8	oh definitely.	definitely	###yeah###and then during the week you see these women, in the you know,###just because you put on a pair of hose with them * doesn't make them not shorts anymore, you know.###speakerb44.###yeah.###speakera45.###i mean i've never seen them do it without hose,###i mean they always have hose on,###but still, it's, they're shorts,###i don't care what you say *t*-1,###they're shorts.###speakerb46.###speakera47.###well i think 0 t i's dress code is pretty lax * considering everything, anyway, you know, uh.###speakerb48.### i know, i didn't know that e d s has a very strict dress code,###i had a friend,###speakera49.###oh do they really?###speakerb50.
2612:16	oh, it is definitely lined *-1 out.	definitely	###i mean they always have hose on,###but still, it's, they're shorts,###i don't care what you say *t*-1,###they're shorts.###speakerb46.###speakera47.###well i think 0 t i's dress code is pretty lax * considering everything, anyway, you know, uh.###speakerb48.### i know, i didn't know that e d s has a very strict dress code,###i had a friend,###speakera49.###oh do they really?###speakerb50.###oh definitely.###i had a friend who *t*-1 worked there for a year or so###and they spell it out.###for men it's particular suits, uh, the pin stripe, and the particular colors of shirts and win-, wing tipped shoes.###speakera51.###oh, my god.###speakerb52.
2798:46	we have, we have gone through, what *t*-1 might be called *-2 the four seasons, uh, in the last week.	might	###well thanks a lot.###speakerb108.###okay,###bye.###speakera109.###bye-bye.###speakera1.###okay, um.###how has it been *t*-1 this week for you?###speakerb2.###weather-wise, or otherwise?###speakera3.###weather-wise.###speakerb4.###weather-wise.###damp, cold, warm.###speakera5.###oh, no,###damp.###speakerb6.
3396:4	definitely.	definitely	###of the stones?###speakera79.###yeah.###speakerb80.###yeah.###i agree.###that's the ne-,###the older stuff is the best of it.### the, the new stuff's kind of more like, today's rock and roll, which i, don't really care for *t*-1 today's rock and roll too much.###speakera81.###yeah.###speakerb82.###speakera83.###well, for example, i used *-1 to like old phil collins.###speakerb84.###right.###speakera85.###an old, genesis?###speakerb86.###yes,
3668:53	or we, you know, we do everything 0 we can possibly *?* *t*-1 as a family.	possibly	###bye.###speakera1.###hi diana.###speakerb2.###hi.###speakera3.###have you all been able *-1 to do much as a family these days?###speakerb4.###* pardon me.###speakera5.###have you all been able *-1 to do much as, uh, as a full family these days, all of you.###speakerb6.###oh, yes,### we've, uh, been, um, we've gone other, you know, all kinds of places,###we go out to dinner,###speakera7.###yeah.###speakerb8.###we take the kids to the park,###and, uh, you know, whenever we, he, my husband has time off or something *t*-1, we take them to the zoo,
3701:18	it sounds like you might *?* too.	might	### an, an then, uh, you know, my husband enjoys *-1 spending time with the kids, you know,### he'll, he'll take them out just *-1 to be with them.###speakera13.###yeah.###speakerb14.###so he, they can have time with him an.###speakera15.###so you have a break too.###speakerb16.###right,### so and we, uh, we try *-1 to teach our kids as much as we can *?* at home, you know,### we have, we try *-2 to spend like monday nights, we call it family home evening, and, have our kids, uh, you know, have little lessons with them, and, you know, just see, count, see how things are going *t*-3 in our family and, you know, teach them about their grandparents or something like that. bring out pictures of them so they get *-4 to know them###speakera17.###uh-huh.###speakerb18.###and, we just do all kinds of fun things like that###an.###speakera19.###yeah,###we have family that *t*-1's far away.
3739:45	you know the kids just think 0 it *exp*-1's wonderful just maybe * to go *-2 get an ice cream cone or, yeah, or, uh, you know, go *-2 get a bag of m and m's or something like that,	maybe	###speakera25.### that's wha-, yeah, that's what we mostly do *t*-1, pretty simple things.###speakerb26.###yeah.###speakera27.###especially since my youngest one is, * excuse me, only fourteen months.###speakerb28.###right.###speakera29.### she, she's really getting to the age where she's playing, and likes *-1 to go places *t*-2.###speakerb30.###uh-huh.###speakera31.###speakerb32.###yeah,###and with, you know, me being at home and * just having the one income, you know, you don't have, this lot of extra money 0 *-1 to, to do a lot of, you know, extra things *t*-2.###speakera33.###that's right.###speakerb34.###so, you, you make more fun than, you know.
