Item_ID	Sentence	Expression
41:95	you know, is there something else 0 we could have done *t*-1, you know, in *-2 checking out all the places that, uh, *t*-3 might be available.	might
53:58	and, um, she had used the walker for, for quite some time, probably about six to nine months.	probably
114:5	probably one of the biggest decisions i think that *t*-1 was very strengthening for our family was rather than * have one child make that decision than just * delegate it.	probably
124:44	and, i mean, it was just, it was probably one of the most strengthening things for our family, * getting down together and doing that.	probably
164:75	unfortunately, a lot of times it, responsibilities like that seem *-1 to fall to, you know, maybe one child in the whole family, you know.	maybe
214:40	and i think that when she passed away *t*-1 it was probably one of the greatest,	probably
236:81	and, um, i, i, i think that what one thing that they were concerned *t*-1 probably was the fact 0 it wasn't necessarily, you know, like the quantity of care but the quality of, care.	probably
257:96	i think, i think, i think, 0 you know for myself i, i see that as probably the, the, what everything would hinge upon *t*-1.	probably
267:30	that's the, that's probably the major question.	probably
313:90	i, i, i think that perhaps, perhaps the extended family, you know, that it maybe one of the solutions to a lot of things even child care.	maybe
352:13	that would, certainly help.	certainly
571:18	today was, uh, definitely a shorts day around here.	definitely
885:70	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way 0 *-2 to just hang up on it *t*-1 *t*-3.	probably
928:72	so there's,, things that *t*-1 invade that second type of privacy where you do know about them *t*-2 and possibly things that *t*-3 invade that second type of privacy without you knowing about it,	possibly
943:8	then maybe my privacy hasn't been *?* because i have no sense of my privacy state having been invaded *-2.	maybe
967:39	um, the, the other side of that might be 0 if, if someone found out something *rnr*-1 or surmised something *rnr*-1 that *t*-2 weren't true then i would feel probably more invaded in the gossipy sort of sense.	might
967:125	um, the, the other side of that might be 0 if, if someone found out something *rnr*-1 or surmised something *rnr*-1 that *t*-2 weren't true then i would feel probably more invaded in the gossipy sort of sense.	probably
986:95	that would be an example where my sense of threat would be high *t*-1 because i would find that there be, cou-, a good possibly that their facts were, were fantasy.	possibly
992:10	and that might be the sense of the spending pattern *ich*-2, for instance, that, that i would have thought *t*-1 to be private.	might
1042:9	so, maybe that is a, a little bit of what privacy is *t*-1.	maybe
1060:5	certainly the language 0 i know *t*-1 doesn't, but just says a word for loneliness.	certainly
1172:65	or you hear somebody all ready starting, reading off a list of stuff that they've read *t*-1 probably a thousand times that day already.	probably
1276:8	i probably could do the same thing, uh, you know,	probably
1401:32	and i feel like the next generation, you'll probably just work right along with your husband, you know.	probably
1405:21	i think 0 it's definitely gotten better.	definitely
1452:19	i kind of think, maybe in time, that, you know, you'll go by social security numbers, you know,	maybe
1635:20	and i know 0 she probably didn't make hardly anything, you know, compared to the work that she did *t*-1.	probably
1659:16	well, i should probably get back to my job.	probably
1813:22	well, ma-, maybe it wasn't that one.	maybe
1886:15	i think that probably what *t*-1 did it for him was the fact that he was a good stage performer.	probably
2184:35	and then we're also looking at it in *-1 possibly getting a mutual fund.	possibly
2298:35	but it is self improvement from the standpoint of * probably relaxing, uh.	probably
2321:14	and as you probably well know, all of us are our own customer.	probably
2333:15	well, uh, maybe i am into some things *ich*-1 occasionally that i don't think of *t*-2 in terms of self improvement.	maybe
2372:68	i think 0 if somebody would say hey, * read these ten books because these are self-improvements, i would probably be turned *-1 off to them.	probably
2377:78	if he casually just walked into it and, uh, put down a stephen king book and i picked up one of them i might be a little more interested.	might
2418:18	i need *-1 to probably make a phone call or two.	probably
2543:5	maybe you can call them split skirts.	maybe
2605:8	oh definitely.	definitely
2612:16	oh, it is definitely lined *-1 out.	definitely
2798:46	we have, we have gone through, what *t*-1 might be called *-2 the four seasons, uh, in the last week.	might
3396:4	definitely.	definitely
3668:53	or we, you know, we do everything 0 we can possibly *?* *t*-1 as a family.	possibly
3701:18	it sounds like you might *?* too.	might
3739:45	you know the kids just think 0 it *exp*-1's wonderful just maybe * to go *-2 get an ice cream cone or, yeah, or, uh, you know, go *-2 get a bag of m and m's or something like that,	maybe
3746:71	our, our whole weekends are divi-, are devoted *-1 to our children except for we might go out, you know, one evening or something,	might
3841:15	i think 0 maybe we'll try *-1 to do that.	maybe
4116:43	it could be 0 t i --ers, i think 0 *t*-1, probably are participating more than anybody else,	probably
4174:149	uh, i, i think 0 what they are trying *-1 to say *t*-2, is that there is a great deal of historical truth, but 0 the interpretation that *t*-1 actually got into the writing of the bible itself is probably uh, after the what, uh, was is it *t*-2 the king james version when the committee did it, wrote the translation *t*-4, that so much was lost *-3 in the translation, particularly since most of the translations were in greek.	probably
4185:74	so, in, as to those types of interpretations, uh, really made a difference in how one might interpret the bible now *t*-1, and what it's at *t*-2.	might
4287:10	and i probably get more exercise than your average person.	probably
4440:9	and, maybe not,	maybe
4676:35	it's, uh, it's definitely,	definitely
4765:18	because, uh, most likely that will happen, won't it *?*, that, you know,	likely
4831:13	at least they might get some benefit in that,	might
5080:26	i don't have them all yet certainly.	certainly
5196:24	i've been doing it for probably ten years or so.	probably
5352:30	and they were saying that c n n is definitely a world, uh, news service	definitely
5374:45	i guess, 0 the news just focuses on major events that *t*-1 probably, don't affect ninety-nine percent of the people who *t*-2 are right there when the news is being made *-3 *t*-4.	probably
5658:63	so, so i mean, it's like this, this town probably has like two hundred and fifty thousand people	probably
5733:8	i probably won't do it until i,	probably
5738:10	oh, probably be another twelve years.	probably
5756:43	they've, i think 0 they have maybe two people a year go *-1 get, get their p h d.	maybe
5832:130	i mean, like i say, if you're, if you're, you know, if you're at an upper level in the rank category, you know, you're probably pulling down close to seventy grand a year.	probably
5947:62	people generally go with that because they figure that the, you know, you probably won't get fired *-1 for *-2 getting i b m material.	probably
6184:30	and i think that, uh, we've probably got one of the best around, you know,	probably
6206:23	and i suspect that that's probably true for everyone.	probably
6232:13	and that's certainly one of the reasons that i'm sure 0 *t*-2 that they've begun the, uh, coda plan *t*-1.	certainly
6236:11	it's certainly a, a supplemental way,	certainly
6241:44	and i suppose 0 if, b-, maybe in, in your instance, if, if you're started *-1 with t i in your early to mid-twenties, and happen *-1 to stay with them until you're sixty-five, then you'll have a very good retirement plan.	maybe
6261:56	you know, one of the things that we're doing *t*-1 which *t*-2 is probably the worst investment in the world,	probably
6263:13	and it's probably not a great investment,	probably
6289:7	and maybe you don't start *-1 looking for that word guaranteed, until later.	maybe
6382:18	i think that i probably want *-1 to be a veterinarian.	probably
6409:50	uh, i can see some, some potential changes that *t*-1 probably are, are, would not cost very much but might, uh, make things a little easier. such as * offering a, a smorgasbord. having a larger variety of benefits	probably
6409:100	uh, i can see some, some potential changes that *t*-1 probably are, are, would not cost very much but might, uh, make things a little easier. such as * offering a, a smorgasbord. having a larger variety of benefits	might
6443:16	well, i could certainly, personally stand *-1 seeing them go to a, a standardized compensatory time for overtime.	certainly
6460:32	uh, and, and i would certainly support something like four to one or five to one	certainly
6461:33	or, or, you know, maybe they want *-1 to get generous and make it three to one.	maybe
6489:30	but, but then it's probably that way anywhere, you know,	probably
6509:34	or, you know, they could learn something and maybe help other people at the same time	maybe
6534:12	i think possibly what, uh, they're thinking about *t*-1 here, more external peace corps, type things where we're sending people off shore *t*-3.	possibly
6545:51	if you did it internally and it was just people in your own country then maybe countries that *t*-1 are so poor that they wouldn't be able *-2 to really, you know, send children to do that.	maybe
6585:14	but it *exp*-1 might be interesting * to see what *t*-2 would happen if you took kids at a, and then took then to another country instead of * having being exposed *-5 to all the drugs and violence and sex and everything here, and take them to some other country that *t*-3 had different moral values, like saudi arabia where they couldn't drink *t*-4.	might
6589:8	you might end up with a revolution.	might
6635:17	people that *t*-1 might benefit most from it *ich*-4 might not go in that situation, you know, like people that *t*-2 really are trapped *-3 in a ghetto or something like that.	might
6635:35	people that *t*-1 might benefit most from it *ich*-4 might not go in that situation, you know, like people that *t*-2 really are trapped *-3 in a ghetto or something like that.	might
6680:11	it would certainly help them to appreciate some of the things that we have *t*-1 here and develop some pride in them, if it was handled *-2 that way.	certainly
6683:18	i think 0 it might build jobs for people, you know, that *t*-1 were administrating and running and training and coordinating and all that,	might
6684:7	so maybe that part of it would be helpful too.	maybe
6898:80	well, um, with credit cards is, me, i, uh, i try *-1 to get maybe just one or two,	maybe
7376:18	i'd say 0 probably for maybe fifteen years, we dabbled in that, you know,	probably
7376:25	i'd say 0 probably for maybe fifteen years, we dabbled in that, you know,	maybe
7416:21	i know 0 it's probably late for you,	probably
7480:39	they're real liberal now and to where probably fifty or a hundred years ago, um, the democrat party being liberal like they are *?* now, you know, would never be thought of *-2 *t*-1,	probably
7546:15	you know, maybe it just wasn't possible at all in the first place, you know, like the no new taxes thing.	maybe
7555:21	i think 0 he can probably raise taxes and still get elected *-1.	probably
7568:14	unfortunately that will probably even drop lower, the voters turndown, mumblex even more because more democrats will think that they don't have a shot	probably
7643:34	well, i figured 0 with texas instruments they'd probably have a few, uh, texans on the line now and then.	probably
7665:24	and i thought, wow, that might be interesting.	might
7691:7	so maybe i'll figure it out.	maybe
8196:8	you probably don't want *t*-1 to take them *-2 to see silence of the lambs.	probably
8340:27	and, um, as we did with probably ninety-five percent of the people here in dallas-fort worth we bought a fox and jacobs home,	probably
8413:34	well, have you any plans * to, uh, maybe, uh, expand or move onward?	maybe
8418:20	and we had thought before maybe a lot older 0 we don't need such a large house that we'll sell it,	maybe
8523:52	so, the thing is, is basically that i spend, like, maybe thirty-five, forty dollars every two weeks on, on groceries	maybe
8696:11	we're probably like most am-, american families,	probably
8709:84	we've got a, several credit cards that sometimes, um, instead of *-1 paying *t*-2 them all off every month maybe you have *-1 to slip some and you pay part of it this month and part of it next month especially around christmas time.	maybe
8787:22	and i spent around like, maybe, two hundred dollars.	maybe
9019:5	maybe it was because it was too dry,	maybe
9086:82	uh, robert what do you, uh, think, what substances do you think 0 *t*-1 are the most, uh, likely causes of air pollution?	likely
9169:10	uh, maybe just take good care of our cars, and make * sure 0 we keep our pollution devices clean and all that sort of thing.	maybe
9182:32	but if we are concerned about it then we certainly can, uh, force, uh, government, uh, that we elect *t*-1 to deal more seriously with it.	certainly
9205:13	and that's probably how we ought *-2 to do it *t*-1. uh, individ-, *-2 being individually responsible as, uh, gro-, in order *-3 to be group responsible.	probably
9212:32	and in the case of air pollution, it simply might turn out at some point down the road, *-1 to be so costly *ich*-4 *ich*-5 * to have *-3 to live with air pollution in terms of health problems, and everything else that we'll spend the money that *t*-6's necessary * to, uh, to get rid *-2 of the source of it.	might
9218:7	and probably the only way 0 that can happen *t*-1 is for, um, governments to realize that they have *-2 to pay if companies don't.	probably
9240:13	uh, i probably wouldn't mind if it really came down to it.	probably
9256:13	however, it might have had other causes.	might
9259:8	oh certainly,	certainly
9262:28	um, and i think 0 that's probably going *-1 to happen with, with such things as air pollution,	probably
9263:115	when we, when we se-, get serious about cleaning, about our motors in our automobiles *t*-2 then, uh, then maybe, you know, we'll have a little bit of help.	maybe
9287:7	and certainly we don't have the eye stinging variety that you get *t*-1 in the big cities.	certainly
9307:24	well i suspect that we've probably covered everything that we need *-1 to *?* *t*-2 here.	probably
9381:99	i mean, i'd, i would much rather see it cool at this time of year anyway because it would mean a little bit more rain possibly	possibly
9478:76	i, i think, 0 in, in some, in some respects it probably mumblex more tolerable.	probably
9481:97	well i guess 0 this, the weather isn't as lively a topic as, uh, as some of the others 0 we might have gotten *t*-1.	might
9512:16	well, my favorite, probably, all time t v show is star trek.	probably
9527:43	and i've, i've always liked that show probably the very best.	probably
9531:11	i'm certainly acquainted with the character the characters.	certainly
9639:4	maybe it's in,	maybe
9817:8	they probably didn't have a t v until i got *-1 to be, you know, grade school or so.	probably
9835:5	maybe even more so.	maybe
