"workerid","catch_trial","color","image","percentage_blue","video","modal","correct_answer","speaker","speaker_type","catch_trial_answer_correct","condition"
0,0,"""blue""","""scene_blue_video_90.gif""","""90""","""blue_probably_f""","""probably""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,0,"""orange""","""scene_orange_video_40.gif""","""40""","""orange_might_f""","""might""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,1,"""orange""","""scene_orange_video_10.gif""","""10""","""orange_probably_f""","""probably""",1,"""f""","""cautious""",1,"parallel_cautiousfirst_confidentm"
0,0,"""blue""","""scene_blue_video_90.gif""","""90""","""blue_probably_f""","""probably""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,1,"""blue""","""scene_blue_video_90.gif""","""90""","""blue_probably_f""","""probably""",1,"""f""","""cautious""",1,"parallel_cautiousfirst_confidentm"
0,0,"""blue""","""scene_blue_video_90.gif""","""90""","""blue_probably_f""","""probably""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,0,"""blue""","""scene_blue_video_100.gif""","""100""","""blue_bare_f""","""bare""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,0,"""orange""","""scene_orange_video_40.gif""","""40""","""orange_might_f""","""might""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,0,"""orange""","""scene_orange_video_0.gif""","""0""","""orange_bare_f""","""bare""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,0,"""orange""","""scene_orange_video_0.gif""","""0""","""orange_bare_f""","""bare""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,0,"""orange""","""scene_orange_video_0.gif""","""0""","""orange_bare_f""","""bare""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,0,"""orange""","""scene_orange_video_10.gif""","""10""","""orange_probably_f""","""probably""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,0,"""orange""","""scene_orange_video_40.gif""","""40""","""orange_might_f""","""might""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,1,"""orange""","""scene_orange_video_40.gif""","""40""","""orange_might_f""","""might""",2,"""f""","""cautious""",1,"parallel_cautiousfirst_confidentm"
0,0,"""orange""","""scene_orange_video_10.gif""","""10""","""orange_probably_f""","""probably""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,0,"""blue""","""scene_blue_video_60.gif""","""60""","""blue_might_f""","""might""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,1,"""orange""","""scene_orange_video_0.gif""","""0""","""orange_bare_f""","""bare""",1,"""f""","""cautious""",1,"parallel_cautiousfirst_confidentm"
0,0,"""blue""","""scene_blue_video_60.gif""","""60""","""blue_might_f""","""might""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
0,0,"""orange""","""scene_orange_video_40.gif""","""40""","""orange_might_f""","""might""",NA,"""f""","""cautious""",-1,"parallel_cautiousfirst_confidentm"
