workerid,modal,correct_answer,video,catch_trial_answer_correct,percentage_blue,catch_trial,color,image
0,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
0,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
0,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
0,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
0,probably,1,orange_probably_f,1,40,1,orange,scene_orange_video_40.gif
0,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
0,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
0,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
0,bare,,blue_bare_f,-1,100,0,blue,scene_blue_video_100.gif
0,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
0,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
0,probably,1,blue_probably_f,1,60,1,blue,scene_blue_video_60.gif
0,bare,,blue_bare_f,-1,100,0,blue,scene_blue_video_100.gif
0,bare,,blue_bare_f,-1,100,0,blue,scene_blue_video_100.gif
0,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
0,bare,,orange_bare_f,-1,0,0,orange,scene_orange_video_0.gif
0,might,2,orange_might_f,1,75,1,orange,scene_orange_video_75.gif
0,bare,,blue_bare_f,-1,100,0,blue,scene_blue_video_100.gif
0,probably,1,blue_probably_f,1,60,1,blue,scene_blue_video_60.gif
0,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
0,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
0,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
0,probably,1,orange_probably_f,1,40,1,orange,scene_orange_video_40.gif
0,might,1,blue_might_f,1,25,1,blue,scene_blue_video_25.gif
0,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
1,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
1,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
1,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
1,probably,2,blue_probably_f,1,60,1,blue,scene_blue_video_60.gif
1,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
1,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
1,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
1,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
1,might,2,orange_might_f,0,75,1,orange,scene_orange_video_75.gif
1,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
1,probably,2,orange_probably_f,1,40,1,orange,scene_orange_video_40.gif
1,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
1,probably,1,blue_probably_f,1,60,1,blue,scene_blue_video_60.gif
1,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
1,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
1,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
1,bare,1,blue_bare_f,1,100,1,blue,scene_blue_video_100.gif
1,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
1,might,2,blue_might_f,1,25,1,blue,scene_blue_video_25.gif
1,bare,,orange_bare_f,-1,0,0,orange,scene_orange_video_0.gif
1,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
1,bare,,orange_bare_f,-1,0,0,orange,scene_orange_video_0.gif
1,bare,,orange_bare_f,-1,0,0,orange,scene_orange_video_0.gif
1,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
1,bare,,orange_bare_f,-1,0,0,orange,scene_orange_video_0.gif
2,might,2,blue_might_f,1,25,1,blue,scene_blue_video_25.gif
2,might,1,blue_might_f,1,25,1,blue,scene_blue_video_25.gif
2,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
2,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
2,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
2,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
2,bare,,blue_bare_f,-1,100,0,blue,scene_blue_video_100.gif
2,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
2,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
2,might,1,blue_might_f,1,25,1,blue,scene_blue_video_25.gif
2,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
2,bare,,blue_bare_f,-1,100,0,blue,scene_blue_video_100.gif
2,bare,1,blue_bare_f,1,100,1,blue,scene_blue_video_100.gif
2,bare,,orange_bare_f,-1,0,0,orange,scene_orange_video_0.gif
2,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
2,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
2,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
2,bare,,orange_bare_f,-1,0,0,orange,scene_orange_video_0.gif
2,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
2,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
2,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
2,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
2,might,1,orange_might_f,1,75,1,orange,scene_orange_video_75.gif
2,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
2,might,2,orange_might_f,1,75,1,orange,scene_orange_video_75.gif
3,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
3,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
3,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
3,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
3,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
3,bare,2,orange_bare_f,0,0,1,orange,scene_orange_video_0.gif
3,probably,1,orange_probably_f,1,40,1,orange,scene_orange_video_40.gif
3,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
3,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
3,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
3,bare,2,blue_bare_f,1,100,1,blue,scene_blue_video_100.gif
3,bare,,orange_bare_f,-1,0,0,orange,scene_orange_video_0.gif
3,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
3,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
3,probably,2,orange_probably_f,1,40,1,orange,scene_orange_video_40.gif
3,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
3,bare,1,blue_bare_f,1,100,1,blue,scene_blue_video_100.gif
3,bare,,blue_bare_f,-1,100,0,blue,scene_blue_video_100.gif
3,probably,1,orange_probably_f,1,40,1,orange,scene_orange_video_40.gif
3,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
3,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
3,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
3,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
3,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
3,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
4,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
4,might,1,orange_might_f,0,75,1,orange,scene_orange_video_75.gif
4,bare,,orange_bare_f,-1,0,0,orange,scene_orange_video_0.gif
4,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
4,bare,,orange_bare_f,-1,0,0,orange,scene_orange_video_0.gif
4,might,2,blue_might_f,1,25,1,blue,scene_blue_video_25.gif
4,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
4,probably,2,blue_probably_f,1,60,1,blue,scene_blue_video_60.gif
4,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
4,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
4,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
4,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
4,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
4,probably,1,orange_probably_f,1,40,1,orange,scene_orange_video_40.gif
4,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
4,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
4,might,2,orange_might_f,1,75,1,orange,scene_orange_video_75.gif
4,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
4,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
4,bare,,blue_bare_f,-1,100,0,blue,scene_blue_video_100.gif
4,bare,,blue_bare_f,-1,100,0,blue,scene_blue_video_100.gif
4,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
4,bare,,blue_bare_f,-1,100,0,blue,scene_blue_video_100.gif
4,might,1,blue_might_f,1,25,1,blue,scene_blue_video_25.gif
4,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
5,bare,1,blue_bare_f,1,100,1,blue,scene_blue_video_100.gif
5,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
5,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
5,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
5,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
5,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
5,bare,1,blue_bare_f,1,100,1,blue,scene_blue_video_100.gif
5,bare,,orange_bare_f,-1,0,0,orange,scene_orange_video_0.gif
5,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
5,bare,,orange_bare_f,-1,0,0,orange,scene_orange_video_0.gif
5,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
5,probably,1,blue_probably_f,0,60,1,blue,scene_blue_video_60.gif
5,probably,1,orange_probably_f,1,40,1,orange,scene_orange_video_40.gif
5,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
5,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
5,probably,,orange_probably_f,-1,40,0,orange,scene_orange_video_40.gif
5,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
5,might,,orange_might_f,-1,75,0,orange,scene_orange_video_75.gif
5,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
5,probably,,blue_probably_f,-1,60,0,blue,scene_blue_video_60.gif
5,might,,blue_might_f,-1,25,0,blue,scene_blue_video_25.gif
