image,modal,color,correct_answer,catch_trial_answer_correct,video,catch_trial,percentage_blue,workerid
scene_blue_video_25.gif,might,blue,1,1,blue_might_m,1,25,0
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,0
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,0
scene_orange_video_40.gif,probably,orange,2,1,orange_probably_m,1,40,0
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,0
scene_orange_video_40.gif,probably,orange,1,1,orange_probably_m,1,40,0
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,0
scene_orange_video_75.gif,might,orange,1,1,orange_might_m,1,75,0
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,0
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,0
scene_orange_video_40.gif,probably,orange,1,1,orange_probably_m,1,40,0
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,0
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,0
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,0
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,0
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,0
scene_blue_video_60.gif,probably,blue,2,1,blue_probably_m,1,60,0
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,0
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,0
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,0
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,0
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,0
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,0
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,0
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,0
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,1
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,1
scene_blue_video_25.gif,might,blue,2,0,blue_might_m,1,25,1
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,1
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,1
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,1
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,1
