modal,color,rating,Answer.condition,Answer.misread_instructions,percentage_blue,workerid,Answer.time_in_minutes
might,blue,5,probably,0,0,0,6.188016666666667
might,blue,0,probably,0,10,0,6.188016666666667
might,blue,2,probably,0,25,0,6.188016666666667
might,blue,0,probably,0,40,0,6.188016666666667
might,blue,2,probably,0,50,0,6.188016666666667
might,blue,0,probably,0,60,0,6.188016666666667
might,blue,1,probably,0,75,0,6.188016666666667
might,blue,0,probably,0,90,0,6.188016666666667
might,blue,0,probably,0,100,0,6.188016666666667
might,orange,2,probably,0,0,0,6.188016666666667
might,orange,2,probably,0,10,0,6.188016666666667
might,orange,2,probably,0,25,0,6.188016666666667
might,orange,2,probably,0,40,0,6.188016666666667
might,orange,2,probably,0,50,0,6.188016666666667
might,orange,0,probably,0,60,0,6.188016666666667
might,orange,0,probably,0,75,0,6.188016666666667
might,orange,0,probably,0,90,0,6.188016666666667
might,orange,0,probably,0,100,0,6.188016666666667
probably,orange,2,probably,0,0,0,6.188016666666667
probably,orange,2,probably,0,10,0,6.188016666666667
probably,orange,1,probably,0,25,0,6.188016666666667
probably,orange,1,probably,0,40,0,6.188016666666667
probably,orange,1,probably,0,50,0,6.188016666666667
probably,orange,2,probably,0,60,0,6.188016666666667
probably,orange,1,probably,0,75,0,6.188016666666667
probably,orange,0,probably,0,90,0,6.188016666666667
probably,orange,0,probably,0,100,0,6.188016666666667
bare,orange,2,probably,0,0,0,6.188016666666667
bare,orange,2,probably,0,10,0,6.188016666666667
bare,orange,5,probably,0,25,0,6.188016666666667
bare,orange,1,probably,0,40,0,6.188016666666667
bare,orange,0,probably,0,50,0,6.188016666666667
bare,orange,0,probably,0,60,0,6.188016666666667
bare,orange,0,probably,0,75,0,6.188016666666667
bare,orange,0,probably,0,90,0,6.188016666666667
bare,orange,0,probably,0,100,0,6.188016666666667
bare,blue,0,probably,0,0,0,6.188016666666667
bare,blue,0,probably,0,10,0,6.188016666666667
bare,blue,0,probably,0,25,0,6.188016666666667
bare,blue,0,probably,0,40,0,6.188016666666667
bare,blue,0,probably,0,50,0,6.188016666666667
bare,blue,0,probably,0,60,0,6.188016666666667
bare,blue,3,probably,0,75,0,6.188016666666667
bare,blue,4,probably,0,90,0,6.188016666666667
bare,blue,3,probably,0,100,0,6.188016666666667
probably,blue,0,probably,0,0,0,6.188016666666667
probably,blue,0,probably,0,10,0,6.188016666666667
probably,blue,0,probably,0,25,0,6.188016666666667
probably,blue,0,probably,0,40,0,6.188016666666667
probably,blue,0,probably,0,50,0,6.188016666666667
probably,blue,6,probably,0,60,0,6.188016666666667
probably,blue,4,probably,0,75,0,6.188016666666667
probably,blue,0,probably,0,90,0,6.188016666666667
probably,blue,0,probably,0,100,0,6.188016666666667
probably,orange,0,probably,0,0,1,11.016433333333334
probably,orange,0,probably,0,10,1,11.016433333333334
probably,orange,3,probably,0,25,1,11.016433333333334
probably,orange,5,probably,0,40,1,11.016433333333334
probably,orange,2,probably,0,50,1,11.016433333333334
probably,orange,0,probably,0,60,1,11.016433333333334
probably,orange,0,probably,0,75,1,11.016433333333334
probably,orange,0,probably,0,90,1,11.016433333333334
probably,orange,0,probably,0,100,1,11.016433333333334
might,blue,0,probably,0,0,1,11.016433333333334
might,blue,0,probably,0,10,1,11.016433333333334
might,blue,0,probably,0,25,1,11.016433333333334
might,blue,2,probably,0,40,1,11.016433333333334
might,blue,6,probably,0,50,1,11.016433333333334
might,blue,2,probably,0,60,1,11.016433333333334
might,blue,0,probably,0,75,1,11.016433333333334
might,blue,0,probably,0,90,1,11.016433333333334
might,blue,0,probably,0,100,1,11.016433333333334
probably,blue,0,probably,0,0,1,11.016433333333334
probably,blue,0,probably,0,10,1,11.016433333333334
probably,blue,0,probably,0,25,1,11.016433333333334
probably,blue,0,probably,0,40,1,11.016433333333334
probably,blue,0,probably,0,50,1,11.016433333333334
probably,blue,4,probably,0,60,1,11.016433333333334
probably,blue,4,probably,0,75,1,11.016433333333334
probably,blue,2,probably,0,90,1,11.016433333333334
probably,blue,0,probably,0,100,1,11.016433333333334
bare,blue,0,probably,0,0,1,11.016433333333334
bare,blue,0,probably,0,10,1,11.016433333333334
bare,blue,0,probably,0,25,1,11.016433333333334
bare,blue,0,probably,0,40,1,11.016433333333334
bare,blue,0,probably,0,50,1,11.016433333333334
bare,blue,0,probably,0,60,1,11.016433333333334
bare,blue,0,probably,0,75,1,11.016433333333334
bare,blue,3,probably,0,90,1,11.016433333333334
bare,blue,7,probably,0,100,1,11.016433333333334
bare,orange,10,probably,0,0,1,11.016433333333334
bare,orange,0,probably,0,10,1,11.016433333333334
bare,orange,0,probably,0,25,1,11.016433333333334
bare,orange,0,probably,0,40,1,11.016433333333334
bare,orange,0,probably,0,50,1,11.016433333333334
bare,orange,0,probably,0,60,1,11.016433333333334
bare,orange,0,probably,0,75,1,11.016433333333334
bare,orange,0,probably,0,90,1,11.016433333333334
bare,orange,0,probably,0,100,1,11.016433333333334
might,orange,0,probably,0,0,1,11.016433333333334
might,orange,0,probably,0,10,1,11.016433333333334
might,orange,6,probably,0,25,1,11.016433333333334
might,orange,3,probably,0,40,1,11.016433333333334
might,orange,1,probably,0,50,1,11.016433333333334
might,orange,0,probably,0,60,1,11.016433333333334
might,orange,0,probably,0,75,1,11.016433333333334
might,orange,0,probably,0,90,1,11.016433333333334
might,orange,0,probably,0,100,1,11.016433333333334
might,blue,0,probably,0,0,2,4.805933333333333
might,blue,0,probably,0,10,2,4.805933333333333
might,blue,1,probably,0,25,2,4.805933333333333
might,blue,2,probably,0,40,2,4.805933333333333
might,blue,3,probably,0,50,2,4.805933333333333
might,blue,4,probably,0,60,2,4.805933333333333
might,blue,0,probably,0,75,2,4.805933333333333
might,blue,0,probably,0,90,2,4.805933333333333
might,blue,0,probably,0,100,2,4.805933333333333
probably,orange,3,probably,0,0,2,4.805933333333333
probably,orange,2,probably,0,10,2,4.805933333333333
probably,orange,2,probably,0,25,2,4.805933333333333
probably,orange,3,probably,0,40,2,4.805933333333333
probably,orange,0,probably,0,50,2,4.805933333333333
probably,orange,0,probably,0,60,2,4.805933333333333
probably,orange,0,probably,0,75,2,4.805933333333333
probably,orange,0,probably,0,90,2,4.805933333333333
probably,orange,0,probably,0,100,2,4.805933333333333
bare,blue,0,probably,0,0,2,4.805933333333333
bare,blue,0,probably,0,10,2,4.805933333333333
bare,blue,0,probably,0,25,2,4.805933333333333
bare,blue,0,probably,0,40,2,4.805933333333333
bare,blue,0,probably,0,50,2,4.805933333333333
bare,blue,0,probably,0,60,2,4.805933333333333
bare,blue,0,probably,0,75,2,4.805933333333333
bare,blue,0,probably,0,90,2,4.805933333333333
bare,blue,10,probably,0,100,2,4.805933333333333
bare,orange,10,probably,0,0,2,4.805933333333333
bare,orange,0,probably,0,10,2,4.805933333333333
bare,orange,0,probably,0,25,2,4.805933333333333
bare,orange,0,probably,0,40,2,4.805933333333333
bare,orange,0,probably,0,50,2,4.805933333333333
bare,orange,0,probably,0,60,2,4.805933333333333
bare,orange,0,probably,0,75,2,4.805933333333333
bare,orange,0,probably,0,90,2,4.805933333333333
bare,orange,0,probably,0,100,2,4.805933333333333
probably,blue,0,probably,0,0,2,4.805933333333333
probably,blue,0,probably,0,10,2,4.805933333333333
probably,blue,0,probably,0,25,2,4.805933333333333
probably,blue,0,probably,0,40,2,4.805933333333333
probably,blue,0,probably,0,50,2,4.805933333333333
probably,blue,2,probably,0,60,2,4.805933333333333
probably,blue,5,probably,0,75,2,4.805933333333333
probably,blue,3,probably,0,90,2,4.805933333333333
probably,blue,0,probably,0,100,2,4.805933333333333
might,orange,0,probably,0,0,2,4.805933333333333
might,orange,0,probably,0,10,2,4.805933333333333
might,orange,0,probably,0,25,2,4.805933333333333
might,orange,0,probably,0,40,2,4.805933333333333
might,orange,2,probably,0,50,2,4.805933333333333
might,orange,3,probably,0,60,2,4.805933333333333
might,orange,2,probably,0,75,2,4.805933333333333
might,orange,3,probably,0,90,2,4.805933333333333
might,orange,0,probably,0,100,2,4.805933333333333
might,orange,0,probably,0,0,3,17.987416666666668
might,orange,0,probably,0,10,3,17.987416666666668
might,orange,0,probably,0,25,3,17.987416666666668
might,orange,0,probably,0,40,3,17.987416666666668
might,orange,5,probably,0,50,3,17.987416666666668
might,orange,5,probably,0,60,3,17.987416666666668
might,orange,0,probably,0,75,3,17.987416666666668
might,orange,0,probably,0,90,3,17.987416666666668
might,orange,0,probably,0,100,3,17.987416666666668
probably,orange,0,probably,0,0,3,17.987416666666668
probably,orange,4,probably,0,10,3,17.987416666666668
probably,orange,6,probably,0,25,3,17.987416666666668
probably,orange,0,probably,0,40,3,17.987416666666668
probably,orange,0,probably,0,50,3,17.987416666666668
probably,orange,0,probably,0,60,3,17.987416666666668
probably,orange,0,probably,0,75,3,17.987416666666668
probably,orange,0,probably,0,90,3,17.987416666666668
probably,orange,0,probably,0,100,3,17.987416666666668
bare,blue,0,probably,0,0,3,17.987416666666668
bare,blue,0,probably,0,10,3,17.987416666666668
bare,blue,0,probably,0,25,3,17.987416666666668
bare,blue,0,probably,0,40,3,17.987416666666668
bare,blue,0,probably,0,50,3,17.987416666666668
bare,blue,0,probably,0,60,3,17.987416666666668
bare,blue,0,probably,0,75,3,17.987416666666668
bare,blue,0,probably,0,90,3,17.987416666666668
bare,blue,10,probably,0,100,3,17.987416666666668
might,blue,0,probably,0,0,3,17.987416666666668
might,blue,4,probably,0,10,3,17.987416666666668
might,blue,4,probably,0,25,3,17.987416666666668
might,blue,2,probably,0,40,3,17.987416666666668
might,blue,0,probably,0,50,3,17.987416666666668
might,blue,0,probably,0,60,3,17.987416666666668
might,blue,0,probably,0,75,3,17.987416666666668
might,blue,0,probably,0,90,3,17.987416666666668
might,blue,0,probably,0,100,3,17.987416666666668
bare,orange,10,probably,0,0,3,17.987416666666668
bare,orange,0,probably,0,10,3,17.987416666666668
bare,orange,0,probably,0,25,3,17.987416666666668
bare,orange,0,probably,0,40,3,17.987416666666668
bare,orange,0,probably,0,50,3,17.987416666666668
bare,orange,0,probably,0,60,3,17.987416666666668
bare,orange,0,probably,0,75,3,17.987416666666668
bare,orange,0,probably,0,90,3,17.987416666666668
bare,orange,0,probably,0,100,3,17.987416666666668
probably,blue,0,probably,0,0,3,17.987416666666668
probably,blue,0,probably,0,10,3,17.987416666666668
probably,blue,0,probably,0,25,3,17.987416666666668
probably,blue,0,probably,0,40,3,17.987416666666668
probably,blue,0,probably,0,50,3,17.987416666666668
probably,blue,2,probably,0,60,3,17.987416666666668
probably,blue,5,probably,0,75,3,17.987416666666668
probably,blue,3,probably,0,90,3,17.987416666666668
probably,blue,0,probably,0,100,3,17.987416666666668
bare,blue,0,probably,0,0,4,8.2352
bare,blue,0,probably,0,10,4,8.2352
bare,blue,0,probably,0,25,4,8.2352
bare,blue,0,probably,0,40,4,8.2352
bare,blue,0,probably,0,50,4,8.2352
bare,blue,0,probably,0,60,4,8.2352
bare,blue,0,probably,0,75,4,8.2352
bare,blue,1,probably,0,90,4,8.2352
bare,blue,9,probably,0,100,4,8.2352
might,orange,0,probably,0,0,4,8.2352
might,orange,0,probably,0,10,4,8.2352
might,orange,0,probably,0,25,4,8.2352
might,orange,0,probably,0,40,4,8.2352
might,orange,3,probably,0,50,4,8.2352
might,orange,3,probably,0,60,4,8.2352
might,orange,4,probably,0,75,4,8.2352
might,orange,0,probably,0,90,4,8.2352
might,orange,0,probably,0,100,4,8.2352
might,blue,0,probably,0,0,4,8.2352
might,blue,1,probably,0,10,4,8.2352
might,blue,2,probably,0,25,4,8.2352
might,blue,3,probably,0,40,4,8.2352
might,blue,2,probably,0,50,4,8.2352
might,blue,2,probably,0,60,4,8.2352
might,blue,0,probably,0,75,4,8.2352
might,blue,0,probably,0,90,4,8.2352
might,blue,0,probably,0,100,4,8.2352
probably,orange,0,probably,0,0,4,8.2352
probably,orange,3,probably,0,10,4,8.2352
probably,orange,4,probably,0,25,4,8.2352
probably,orange,3,probably,0,40,4,8.2352
probably,orange,0,probably,0,50,4,8.2352
probably,orange,0,probably,0,60,4,8.2352
probably,orange,0,probably,0,75,4,8.2352
probably,orange,0,probably,0,90,4,8.2352
probably,orange,0,probably,0,100,4,8.2352
probably,blue,0,probably,0,0,4,8.2352
probably,blue,0,probably,0,10,4,8.2352
probably,blue,0,probably,0,25,4,8.2352
probably,blue,0,probably,0,40,4,8.2352
probably,blue,0,probably,0,50,4,8.2352
probably,blue,2,probably,0,60,4,8.2352
probably,blue,3,probably,0,75,4,8.2352
probably,blue,5,probably,0,90,4,8.2352
