workerid,percentage_blue,image,catch_trial_answer_correct,color,modal,correct_answer,video,catch_trial
0,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
0,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
0,90,scene_blue_video_90.gif,1,blue,probably,2,blue_probably_m,1
0,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
0,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
0,40,scene_orange_video_40.gif,1,orange,might,1,orange_might_m,1
0,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
0,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
0,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
0,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
0,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
0,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
0,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
0,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
0,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
0,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
0,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
0,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
0,10,scene_orange_video_10.gif,1,orange,probably,2,orange_probably_m,1
0,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
0,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
0,90,scene_blue_video_90.gif,1,blue,probably,1,blue_probably_m,1
0,90,scene_blue_video_90.gif,1,blue,probably,1,blue_probably_m,1
0,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
0,60,scene_blue_video_60.gif,1,blue,might,1,blue_might_m,1
1,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
1,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
1,90,scene_blue_video_90.gif,1,blue,probably,2,blue_probably_m,1
1,40,scene_orange_video_40.gif,1,orange,might,1,orange_might_m,1
1,10,scene_orange_video_10.gif,1,orange,probably,2,orange_probably_m,1
1,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
1,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
1,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
1,0,scene_orange_video_0.gif,1,orange,bare,2,orange_bare_m,1
1,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
1,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
1,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
1,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
1,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
1,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
1,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
1,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
1,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
1,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
1,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
1,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
1,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
1,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
