"catch_trial","correct_answer","modal","workerid","image","percentage_blue","color","catch_trial_answer_correct","video","speaker_cond"
0,NA,"might",0,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
1,2,"might",0,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
1,2,"probably",0,"scene_orange_video_10.gif",10,"orange",1,"orange_probably_f","f"
0,NA,"might",0,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",0,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,2,"probably",0,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
0,NA,"bare",0,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"probably",0,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,1,"might",0,"scene_orange_video_40.gif",40,"orange",1,"orange_might_f","f"
0,NA,"might",0,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"probably",0,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"might",0,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"might",0,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"bare",0,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
1,2,"probably",0,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
0,NA,"bare",0,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"probably",0,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"probably",0,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"probably",0,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"might",0,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",0,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",0,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"bare",0,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"might",0,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
1,1,"bare",0,"scene_blue_video_100.gif",100,"blue",1,"blue_bare_f","f"
0,NA,"bare",1,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"bare",1,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"probably",1,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"probably",1,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"might",1,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"probably",1,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"probably",1,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
1,1,"might",1,"scene_orange_video_40.gif",40,"orange",0,"orange_might_f","f"
1,1,"might",1,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
0,NA,"bare",1,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"might",1,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"bare",1,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"probably",1,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
1,2,"might",1,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
0,NA,"might",1,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",1,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"probably",1,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"bare",1,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"probably",1,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"probably",1,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,2,"might",1,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
0,NA,"might",1,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"might",1,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
1,1,"probably",1,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
1,2,"might",1,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
0,NA,"might",2,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",2,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",2,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"bare",2,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"might",2,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"probably",2,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
1,2,"bare",2,"scene_orange_video_0.gif",0,"orange",1,"orange_bare_f","f"
0,NA,"might",2,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",2,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"probably",2,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
1,2,"might",2,"scene_orange_video_40.gif",40,"orange",0,"orange_might_f","f"
1,1,"bare",2,"scene_orange_video_0.gif",0,"orange",1,"orange_bare_f","f"
1,2,"bare",2,"scene_blue_video_100.gif",100,"blue",1,"blue_bare_f","f"
1,2,"probably",2,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
1,1,"probably",2,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
0,NA,"probably",2,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"probably",2,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"bare",2,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"might",2,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"might",2,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",2,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"probably",2,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"might",2,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",2,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"might",2,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",3,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"bare",3,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"probably",3,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"bare",3,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
