"Answer.time_in_minutes","modal","workerid","rating","percentage_blue","color","Answer.misread_instructions","Answer.condition","speaker_cond"
4.9919,"might",0,0,0,"blue",0,"might","f"
4.9919,"might",0,0,10,"blue",0,"might","f"
4.9919,"might",0,0,25,"blue",0,"might","f"
4.9919,"might",0,3,40,"blue",0,"might","f"
4.9919,"might",0,2,50,"blue",0,"might","f"
4.9919,"might",0,3,60,"blue",0,"might","f"
4.9919,"might",0,2,75,"blue",0,"might","f"
4.9919,"might",0,0,90,"blue",0,"might","f"
4.9919,"might",0,0,100,"blue",0,"might","f"
4.9919,"bare",0,10,0,"orange",0,"might","f"
4.9919,"bare",0,0,10,"orange",0,"might","f"
4.9919,"bare",0,0,25,"orange",0,"might","f"
4.9919,"bare",0,0,40,"orange",0,"might","f"
4.9919,"bare",0,0,50,"orange",0,"might","f"
4.9919,"bare",0,0,60,"orange",0,"might","f"
4.9919,"bare",0,0,75,"orange",0,"might","f"
4.9919,"bare",0,0,90,"orange",0,"might","f"
4.9919,"bare",0,0,100,"orange",0,"might","f"
4.9919,"bare",0,0,0,"blue",0,"might","f"
4.9919,"bare",0,0,10,"blue",0,"might","f"
4.9919,"bare",0,0,25,"blue",0,"might","f"
4.9919,"bare",0,0,40,"blue",0,"might","f"
4.9919,"bare",0,0,50,"blue",0,"might","f"
4.9919,"bare",0,0,60,"blue",0,"might","f"
4.9919,"bare",0,0,75,"blue",0,"might","f"
4.9919,"bare",0,3,90,"blue",0,"might","f"
4.9919,"bare",0,7,100,"blue",0,"might","f"
4.9919,"probably",0,0,0,"orange",0,"might","f"
4.9919,"probably",0,4,10,"orange",0,"might","f"
4.9919,"probably",0,4,25,"orange",0,"might","f"
4.9919,"probably",0,2,40,"orange",0,"might","f"
4.9919,"probably",0,0,50,"orange",0,"might","f"
4.9919,"probably",0,0,60,"orange",0,"might","f"
4.9919,"probably",0,0,75,"orange",0,"might","f"
4.9919,"probably",0,0,90,"orange",0,"might","f"
4.9919,"probably",0,0,100,"orange",0,"might","f"
4.9919,"probably",0,0,0,"blue",0,"might","f"
4.9919,"probably",0,0,10,"blue",0,"might","f"
4.9919,"probably",0,0,25,"blue",0,"might","f"
4.9919,"probably",0,0,40,"blue",0,"might","f"
4.9919,"probably",0,0,50,"blue",0,"might","f"
4.9919,"probably",0,3,60,"blue",0,"might","f"
4.9919,"probably",0,3,75,"blue",0,"might","f"
4.9919,"probably",0,4,90,"blue",0,"might","f"
4.9919,"probably",0,0,100,"blue",0,"might","f"
4.9919,"might",0,0,0,"orange",0,"might","f"
4.9919,"might",0,3,10,"orange",0,"might","f"
4.9919,"might",0,4,25,"orange",0,"might","f"
4.9919,"might",0,3,40,"orange",0,"might","f"
4.9919,"might",0,0,50,"orange",0,"might","f"
4.9919,"might",0,0,60,"orange",0,"might","f"
4.9919,"might",0,0,75,"orange",0,"might","f"
4.9919,"might",0,0,90,"orange",0,"might","f"
4.9919,"might",0,0,100,"orange",0,"might","f"
5.49133333333333,"bare",1,10,0,"orange",0,"might","f"
5.49133333333333,"bare",1,0,10,"orange",0,"might","f"
5.49133333333333,"bare",1,0,25,"orange",0,"might","f"
5.49133333333333,"bare",1,0,40,"orange",0,"might","f"
5.49133333333333,"bare",1,0,50,"orange",0,"might","f"
5.49133333333333,"bare",1,0,60,"orange",0,"might","f"
5.49133333333333,"bare",1,0,75,"orange",0,"might","f"
5.49133333333333,"bare",1,0,90,"orange",0,"might","f"
5.49133333333333,"bare",1,0,100,"orange",0,"might","f"
5.49133333333333,"probably",1,0,0,"orange",0,"might","f"
5.49133333333333,"probably",1,5,10,"orange",0,"might","f"
5.49133333333333,"probably",1,5,25,"orange",0,"might","f"
5.49133333333333,"probably",1,0,40,"orange",0,"might","f"
5.49133333333333,"probably",1,0,50,"orange",0,"might","f"
5.49133333333333,"probably",1,0,60,"orange",0,"might","f"
5.49133333333333,"probably",1,0,75,"orange",0,"might","f"
5.49133333333333,"probably",1,0,90,"orange",0,"might","f"
5.49133333333333,"probably",1,0,100,"orange",0,"might","f"
5.49133333333333,"might",1,0,0,"blue",0,"might","f"
5.49133333333333,"might",1,0,10,"blue",0,"might","f"
5.49133333333333,"might",1,0,25,"blue",0,"might","f"
5.49133333333333,"might",1,0,40,"blue",0,"might","f"
5.49133333333333,"might",1,5,50,"blue",0,"might","f"
5.49133333333333,"might",1,5,60,"blue",0,"might","f"
5.49133333333333,"might",1,0,75,"blue",0,"might","f"
5.49133333333333,"might",1,0,90,"blue",0,"might","f"
5.49133333333333,"might",1,0,100,"blue",0,"might","f"
5.49133333333333,"might",1,0,0,"orange",0,"might","f"
5.49133333333333,"might",1,0,10,"orange",0,"might","f"
5.49133333333333,"might",1,0,25,"orange",0,"might","f"
5.49133333333333,"might",1,5,40,"orange",0,"might","f"
5.49133333333333,"might",1,5,50,"orange",0,"might","f"
5.49133333333333,"might",1,0,60,"orange",0,"might","f"
5.49133333333333,"might",1,0,75,"orange",0,"might","f"
5.49133333333333,"might",1,0,90,"orange",0,"might","f"
5.49133333333333,"might",1,0,100,"orange",0,"might","f"
5.49133333333333,"bare",1,0,0,"blue",0,"might","f"
5.49133333333333,"bare",1,0,10,"blue",0,"might","f"
5.49133333333333,"bare",1,0,25,"blue",0,"might","f"
5.49133333333333,"bare",1,0,40,"blue",0,"might","f"
5.49133333333333,"bare",1,0,50,"blue",0,"might","f"
5.49133333333333,"bare",1,0,60,"blue",0,"might","f"
5.49133333333333,"bare",1,0,75,"blue",0,"might","f"
5.49133333333333,"bare",1,0,90,"blue",0,"might","f"
5.49133333333333,"bare",1,10,100,"blue",0,"might","f"
5.49133333333333,"probably",1,0,0,"blue",0,"might","f"
5.49133333333333,"probably",1,0,10,"blue",0,"might","f"
5.49133333333333,"probably",1,0,25,"blue",0,"might","f"
5.49133333333333,"probably",1,0,40,"blue",0,"might","f"
5.49133333333333,"probably",1,0,50,"blue",0,"might","f"
5.49133333333333,"probably",1,0,60,"blue",0,"might","f"
5.49133333333333,"probably",1,4,75,"blue",0,"might","f"
5.49133333333333,"probably",1,6,90,"blue",0,"might","f"
5.49133333333333,"probably",1,0,100,"blue",0,"might","f"
7.36295,"probably",2,0,0,"blue",0,"might","f"
7.36295,"probably",2,0,10,"blue",0,"might","f"
7.36295,"probably",2,0,25,"blue",0,"might","f"
7.36295,"probably",2,0,40,"blue",0,"might","f"
7.36295,"probably",2,6,50,"blue",0,"might","f"
7.36295,"probably",2,2,60,"blue",0,"might","f"
7.36295,"probably",2,1,75,"blue",0,"might","f"
7.36295,"probably",2,1,90,"blue",0,"might","f"
7.36295,"probably",2,0,100,"blue",0,"might","f"
7.36295,"probably",2,0,0,"orange",0,"might","f"
7.36295,"probably",2,2,10,"orange",0,"might","f"
7.36295,"probably",2,3,25,"orange",0,"might","f"
7.36295,"probably",2,5,40,"orange",0,"might","f"
7.36295,"probably",2,0,50,"orange",0,"might","f"
7.36295,"probably",2,0,60,"orange",0,"might","f"
7.36295,"probably",2,0,75,"orange",0,"might","f"
7.36295,"probably",2,0,90,"orange",0,"might","f"
7.36295,"probably",2,0,100,"orange",0,"might","f"
7.36295,"bare",2,10,0,"orange",0,"might","f"
7.36295,"bare",2,0,10,"orange",0,"might","f"
7.36295,"bare",2,0,25,"orange",0,"might","f"
7.36295,"bare",2,0,40,"orange",0,"might","f"
7.36295,"bare",2,0,50,"orange",0,"might","f"
7.36295,"bare",2,0,60,"orange",0,"might","f"
7.36295,"bare",2,0,75,"orange",0,"might","f"
7.36295,"bare",2,0,90,"orange",0,"might","f"
7.36295,"bare",2,0,100,"orange",0,"might","f"
7.36295,"bare",2,0,0,"blue",0,"might","f"
7.36295,"bare",2,0,10,"blue",0,"might","f"
7.36295,"bare",2,0,25,"blue",0,"might","f"
7.36295,"bare",2,0,40,"blue",0,"might","f"
7.36295,"bare",2,0,50,"blue",0,"might","f"
7.36295,"bare",2,0,60,"blue",0,"might","f"
7.36295,"bare",2,0,75,"blue",0,"might","f"
7.36295,"bare",2,0,90,"blue",0,"might","f"
7.36295,"bare",2,10,100,"blue",0,"might","f"
7.36295,"might",2,0,0,"orange",0,"might","f"
7.36295,"might",2,1,10,"orange",0,"might","f"
7.36295,"might",2,2,25,"orange",0,"might","f"
