"workerid","modal","correct_answer","video","catch_trial_answer_correct","percentage_blue","catch_trial","color","image","speaker_cond"
0,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
0,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
0,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
0,"might",NA,"blue_might_f",-1,25,0,"blue","scene_blue_video_25.gif","f"
0,"probably",1,"orange_probably_f",1,40,1,"orange","scene_orange_video_40.gif","f"
0,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
0,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
0,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
0,"bare",NA,"blue_bare_f",-1,100,0,"blue","scene_blue_video_100.gif","f"
0,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
0,"might",NA,"blue_might_f",-1,25,0,"blue","scene_blue_video_25.gif","f"
0,"probably",1,"blue_probably_f",1,60,1,"blue","scene_blue_video_60.gif","f"
0,"bare",NA,"blue_bare_f",-1,100,0,"blue","scene_blue_video_100.gif","f"
0,"bare",NA,"blue_bare_f",-1,100,0,"blue","scene_blue_video_100.gif","f"
0,"might",NA,"blue_might_f",-1,25,0,"blue","scene_blue_video_25.gif","f"
0,"bare",NA,"orange_bare_f",-1,0,0,"orange","scene_orange_video_0.gif","f"
0,"might",2,"orange_might_f",1,75,1,"orange","scene_orange_video_75.gif","f"
0,"bare",NA,"blue_bare_f",-1,100,0,"blue","scene_blue_video_100.gif","f"
0,"probably",1,"blue_probably_f",1,60,1,"blue","scene_blue_video_60.gif","f"
0,"might",NA,"blue_might_f",-1,25,0,"blue","scene_blue_video_25.gif","f"
0,"probably",NA,"blue_probably_f",-1,60,0,"blue","scene_blue_video_60.gif","f"
0,"might",NA,"orange_might_f",-1,75,0,"orange","scene_orange_video_75.gif","f"
0,"probably",1,"orange_probably_f",1,40,1,"orange","scene_orange_video_40.gif","f"
0,"might",1,"blue_might_f",1,25,1,"blue","scene_blue_video_25.gif","f"
0,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
1,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
1,"probably",NA,"orange_probably_f",-1,40,0,"orange","scene_orange_video_40.gif","f"
1,"might",NA,"blue_might_f",-1,25,0,"blue","scene_blue_video_25.gif","f"
1,"probably",2,"blue_probably_f",1,60,1,"blue","scene_blue_video_60.gif","f"
