video,catch_trial,modal,percentage_blue,color,workerid,image,correct_answer,catch_trial_answer_correct
orange_bare_f,0,bare,0,orange,0,scene_orange_video_0.gif,,-1
blue_might_f,1,might,25,blue,0,scene_blue_video_25.gif,1,1
orange_might_f,0,might,75,orange,0,scene_orange_video_75.gif,,-1
orange_probably_f,0,probably,40,orange,0,scene_orange_video_40.gif,,-1
blue_might_f,0,might,25,blue,0,scene_blue_video_25.gif,,-1
blue_might_f,1,might,25,blue,0,scene_blue_video_25.gif,1,1
orange_probably_f,1,probably,40,orange,0,scene_orange_video_40.gif,2,1
blue_probably_f,0,probably,60,blue,0,scene_blue_video_60.gif,,-1
orange_bare_f,0,bare,0,orange,0,scene_orange_video_0.gif,,-1
orange_might_f,0,might,75,orange,0,scene_orange_video_75.gif,,-1
orange_might_f,0,might,75,orange,0,scene_orange_video_75.gif,,-1
blue_might_f,0,might,25,blue,0,scene_blue_video_25.gif,,-1
orange_might_f,0,might,75,orange,0,scene_orange_video_75.gif,,-1
blue_bare_f,0,bare,100,blue,0,scene_blue_video_100.gif,,-1
blue_bare_f,1,bare,100,blue,0,scene_blue_video_100.gif,2,1
orange_probably_f,0,probably,40,orange,0,scene_orange_video_40.gif,,-1
blue_probably_f,0,probably,60,blue,0,scene_blue_video_60.gif,,-1
blue_might_f,0,might,25,blue,0,scene_blue_video_25.gif,,-1
blue_probably_f,0,probably,60,blue,0,scene_blue_video_60.gif,,-1
blue_probably_f,0,probably,60,blue,0,scene_blue_video_60.gif,,-1
orange_might_f,0,might,75,orange,0,scene_orange_video_75.gif,,-1
blue_bare_f,0,bare,100,blue,0,scene_blue_video_100.gif,,-1
blue_probably_f,1,probably,60,blue,0,scene_blue_video_60.gif,2,1
blue_probably_f,1,probably,60,blue,0,scene_blue_video_60.gif,2,1
blue_probably_f,0,probably,60,blue,0,scene_blue_video_60.gif,,-1
