Answer.misread_instructions,modal,Answer.condition,Answer.time_in_minutes,percentage_blue,color,workerid,rating
0,probably,probably,7.002533333333333,0,blue,0,0
0,probably,probably,7.002533333333333,10,blue,0,0
0,probably,probably,7.002533333333333,25,blue,0,0
0,probably,probably,7.002533333333333,40,blue,0,0
0,probably,probably,7.002533333333333,50,blue,0,0
0,probably,probably,7.002533333333333,60,blue,0,5
0,probably,probably,7.002533333333333,75,blue,0,5
0,probably,probably,7.002533333333333,90,blue,0,0
0,probably,probably,7.002533333333333,100,blue,0,0
0,might,probably,7.002533333333333,0,blue,0,0
0,might,probably,7.002533333333333,10,blue,0,3
0,might,probably,7.002533333333333,25,blue,0,4
0,might,probably,7.002533333333333,40,blue,0,3
0,might,probably,7.002533333333333,50,blue,0,0
0,might,probably,7.002533333333333,60,blue,0,0
0,might,probably,7.002533333333333,75,blue,0,0
0,might,probably,7.002533333333333,90,blue,0,0
0,might,probably,7.002533333333333,100,blue,0,0
0,probably,probably,7.002533333333333,0,orange,0,0
0,probably,probably,7.002533333333333,10,orange,0,4
0,probably,probably,7.002533333333333,25,orange,0,5
0,probably,probably,7.002533333333333,40,orange,0,1
0,probably,probably,7.002533333333333,50,orange,0,0
0,probably,probably,7.002533333333333,60,orange,0,0
0,probably,probably,7.002533333333333,75,orange,0,0
0,probably,probably,7.002533333333333,90,orange,0,0
0,probably,probably,7.002533333333333,100,orange,0,0
0,bare,probably,7.002533333333333,0,orange,0,10
0,bare,probably,7.002533333333333,10,orange,0,0
0,bare,probably,7.002533333333333,25,orange,0,0
0,bare,probably,7.002533333333333,40,orange,0,0
0,bare,probably,7.002533333333333,50,orange,0,0
0,bare,probably,7.002533333333333,60,orange,0,0
0,bare,probably,7.002533333333333,75,orange,0,0
0,bare,probably,7.002533333333333,90,orange,0,0
0,bare,probably,7.002533333333333,100,orange,0,0
0,might,probably,7.002533333333333,0,orange,0,0
0,might,probably,7.002533333333333,10,orange,0,0
0,might,probably,7.002533333333333,25,orange,0,0
0,might,probably,7.002533333333333,40,orange,0,1
0,might,probably,7.002533333333333,50,orange,0,3
0,might,probably,7.002533333333333,60,orange,0,3
0,might,probably,7.002533333333333,75,orange,0,2
0,might,probably,7.002533333333333,90,orange,0,1
0,might,probably,7.002533333333333,100,orange,0,0
0,bare,probably,7.002533333333333,0,blue,0,0
0,bare,probably,7.002533333333333,10,blue,0,0
0,bare,probably,7.002533333333333,25,blue,0,0
0,bare,probably,7.002533333333333,40,blue,0,0
0,bare,probably,7.002533333333333,50,blue,0,0
0,bare,probably,7.002533333333333,60,blue,0,0
0,bare,probably,7.002533333333333,75,blue,0,0
0,bare,probably,7.002533333333333,90,blue,0,0
0,bare,probably,7.002533333333333,100,blue,0,10
