percentage_blue,correct_answer,color,video,image,catch_trial_answer_correct,catch_trial,workerid,modal
60,2,blue,blue_might_f,scene_blue_video_60.gif,1,1,0,might
10,,orange,orange_probably_f,scene_orange_video_10.gif,-1,0,0,probably
90,,blue,blue_probably_f,scene_blue_video_90.gif,-1,0,0,probably
60,,blue,blue_might_f,scene_blue_video_60.gif,-1,0,0,might
10,2,orange,orange_probably_f,scene_orange_video_10.gif,1,1,0,probably
90,,blue,blue_probably_f,scene_blue_video_90.gif,-1,0,0,probably
100,,blue,blue_bare_f,scene_blue_video_100.gif,-1,0,0,bare
10,,orange,orange_probably_f,scene_orange_video_10.gif,-1,0,0,probably
90,,blue,blue_probably_f,scene_blue_video_90.gif,-1,0,0,probably
100,,blue,blue_bare_f,scene_blue_video_100.gif,-1,0,0,bare
60,,blue,blue_might_f,scene_blue_video_60.gif,-1,0,0,might
40,1,orange,orange_might_f,scene_orange_video_40.gif,1,1,0,might
40,,orange,orange_might_f,scene_orange_video_40.gif,-1,0,0,might
0,,orange,orange_bare_f,scene_orange_video_0.gif,-1,0,0,bare
90,,blue,blue_probably_f,scene_blue_video_90.gif,-1,0,0,probably
40,,orange,orange_might_f,scene_orange_video_40.gif,-1,0,0,might
40,,orange,orange_might_f,scene_orange_video_40.gif,-1,0,0,might
40,2,orange,orange_might_f,scene_orange_video_40.gif,1,1,0,might
90,1,blue,blue_probably_f,scene_blue_video_90.gif,1,1,0,probably
60,1,blue,blue_might_f,scene_blue_video_60.gif,1,1,0,might
100,,blue,blue_bare_f,scene_blue_video_100.gif,-1,0,0,bare
0,,orange,orange_bare_f,scene_orange_video_0.gif,-1,0,0,bare
10,,orange,orange_probably_f,scene_orange_video_10.gif,-1,0,0,probably
60,,blue,blue_might_f,scene_blue_video_60.gif,-1,0,0,might
90,,blue,blue_probably_f,scene_blue_video_90.gif,-1,0,0,probably
