percentage_blue,Answer.time_in_minutes,Answer.condition,color,Answer.misread_instructions,workerid,rating,modal
0,5.116833333333333,might,blue,0,0,0,bare
10,5.116833333333333,might,blue,0,0,0,bare
25,5.116833333333333,might,blue,0,0,0,bare
40,5.116833333333333,might,blue,0,0,0,bare
50,5.116833333333333,might,blue,0,0,0,bare
60,5.116833333333333,might,blue,0,0,0,bare
75,5.116833333333333,might,blue,0,0,0,bare
90,5.116833333333333,might,blue,0,0,0,bare
100,5.116833333333333,might,blue,0,0,10,bare
0,5.116833333333333,might,blue,0,0,0,probably
10,5.116833333333333,might,blue,0,0,0,probably
25,5.116833333333333,might,blue,0,0,0,probably
40,5.116833333333333,might,blue,0,0,0,probably
50,5.116833333333333,might,blue,0,0,0,probably
60,5.116833333333333,might,blue,0,0,0,probably
75,5.116833333333333,might,blue,0,0,3,probably
90,5.116833333333333,might,blue,0,0,7,probably
100,5.116833333333333,might,blue,0,0,0,probably
0,5.116833333333333,might,orange,0,0,10,bare
10,5.116833333333333,might,orange,0,0,0,bare
25,5.116833333333333,might,orange,0,0,0,bare
40,5.116833333333333,might,orange,0,0,0,bare
50,5.116833333333333,might,orange,0,0,0,bare
60,5.116833333333333,might,orange,0,0,0,bare
75,5.116833333333333,might,orange,0,0,0,bare
90,5.116833333333333,might,orange,0,0,0,bare
100,5.116833333333333,might,orange,0,0,0,bare
0,5.116833333333333,might,orange,0,0,0,probably
10,5.116833333333333,might,orange,0,0,8,probably
25,5.116833333333333,might,orange,0,0,2,probably
40,5.116833333333333,might,orange,0,0,0,probably
50,5.116833333333333,might,orange,0,0,0,probably
60,5.116833333333333,might,orange,0,0,0,probably
75,5.116833333333333,might,orange,0,0,0,probably
90,5.116833333333333,might,orange,0,0,0,probably
100,5.116833333333333,might,orange,0,0,0,probably
0,5.116833333333333,might,orange,0,0,0,might
10,5.116833333333333,might,orange,0,0,0,might
25,5.116833333333333,might,orange,0,0,0,might
40,5.116833333333333,might,orange,0,0,4,might
50,5.116833333333333,might,orange,0,0,6,might
60,5.116833333333333,might,orange,0,0,0,might
75,5.116833333333333,might,orange,0,0,0,might
90,5.116833333333333,might,orange,0,0,0,might
100,5.116833333333333,might,orange,0,0,0,might
0,5.116833333333333,might,blue,0,0,0,might
10,5.116833333333333,might,blue,0,0,0,might
25,5.116833333333333,might,blue,0,0,0,might
40,5.116833333333333,might,blue,0,0,0,might
50,5.116833333333333,might,blue,0,0,0,might
60,5.116833333333333,might,blue,0,0,4,might
75,5.116833333333333,might,blue,0,0,6,might
90,5.116833333333333,might,blue,0,0,0,might
100,5.116833333333333,might,blue,0,0,0,might
