color,percentage_blue,correct_answer,catch_trial,video,workerid,image,catch_trial_answer_correct,modal
orange,75,,0,orange_might_m,0,scene_orange_video_75.gif,-1,might
orange,40,2,1,orange_probably_m,0,scene_orange_video_40.gif,1,probably
blue,60,,0,blue_probably_m,0,scene_blue_video_60.gif,-1,probably
orange,0,1,1,orange_bare_m,0,scene_orange_video_0.gif,1,bare
blue,25,,0,blue_might_m,0,scene_blue_video_25.gif,-1,might
orange,75,,0,orange_might_m,0,scene_orange_video_75.gif,-1,might
blue,60,,0,blue_probably_m,0,scene_blue_video_60.gif,-1,probably
blue,100,,0,blue_bare_m,0,scene_blue_video_100.gif,-1,bare
orange,40,,0,orange_probably_m,0,scene_orange_video_40.gif,-1,probably
blue,100,1,1,blue_bare_m,0,scene_blue_video_100.gif,1,bare
orange,75,2,1,orange_might_m,0,scene_orange_video_75.gif,1,might
blue,25,,0,blue_might_m,0,scene_blue_video_25.gif,-1,might
blue,25,,0,blue_might_m,0,scene_blue_video_25.gif,-1,might
orange,75,,0,orange_might_m,0,scene_orange_video_75.gif,-1,might
blue,25,,0,blue_might_m,0,scene_blue_video_25.gif,-1,might
blue,60,,0,blue_probably_m,0,scene_blue_video_60.gif,-1,probably
blue,60,,0,blue_probably_m,0,scene_blue_video_60.gif,-1,probably
blue,100,,0,blue_bare_m,0,scene_blue_video_100.gif,-1,bare
blue,100,,0,blue_bare_m,0,scene_blue_video_100.gif,-1,bare
orange,40,1,1,orange_probably_m,0,scene_orange_video_40.gif,1,probably
blue,25,,0,blue_might_m,0,scene_blue_video_25.gif,-1,might
orange,75,1,1,orange_might_m,0,scene_orange_video_75.gif,0,might
blue,60,,0,blue_probably_m,0,scene_blue_video_60.gif,-1,probably
blue,60,,0,blue_probably_m,0,scene_blue_video_60.gif,-1,probably
blue,60,,0,blue_probably_m,0,scene_blue_video_60.gif,-1,probably
