video,catch_trial,image,correct_answer,workerid,catch_trial_answer_correct,modal,color,percentage_blue
orange_probably_m,1,scene_orange_video_10.gif,2,0,1,probably,orange,10
blue_bare_m,0,scene_blue_video_100.gif,,0,-1,bare,blue,100
orange_probably_m,0,scene_orange_video_10.gif,,0,-1,probably,orange,10
blue_bare_m,0,scene_blue_video_100.gif,,0,-1,bare,blue,100
blue_might_m,0,scene_blue_video_60.gif,,0,-1,might,blue,60
orange_might_m,1,scene_orange_video_40.gif,1,0,1,might,orange,40
orange_bare_m,1,scene_orange_video_0.gif,2,0,1,bare,orange,0
blue_probably_m,0,scene_blue_video_90.gif,,0,-1,probably,blue,90
orange_might_m,0,scene_orange_video_40.gif,,0,-1,might,orange,40
orange_might_m,0,scene_orange_video_40.gif,,0,-1,might,orange,40
blue_might_m,0,scene_blue_video_60.gif,,0,-1,might,blue,60
orange_probably_m,0,scene_orange_video_10.gif,,0,-1,probably,orange,10
blue_probably_m,0,scene_blue_video_90.gif,,0,-1,probably,blue,90
orange_probably_m,1,scene_orange_video_10.gif,2,0,1,probably,orange,10
blue_bare_m,0,scene_blue_video_100.gif,,0,-1,bare,blue,100
orange_might_m,1,scene_orange_video_40.gif,2,0,1,might,orange,40
blue_probably_m,0,scene_blue_video_90.gif,,0,-1,probably,blue,90
orange_bare_m,0,scene_orange_video_0.gif,,0,-1,bare,orange,0
orange_might_m,0,scene_orange_video_40.gif,,0,-1,might,orange,40
orange_probably_m,1,scene_orange_video_10.gif,1,0,1,probably,orange,10
blue_might_m,0,scene_blue_video_60.gif,,0,-1,might,blue,60
orange_probably_m,0,scene_orange_video_10.gif,,0,-1,probably,orange,10
blue_might_m,0,scene_blue_video_60.gif,,0,-1,might,blue,60
blue_might_m,0,scene_blue_video_60.gif,,0,-1,might,blue,60
blue_probably_m,0,scene_blue_video_90.gif,,0,-1,probably,blue,90
