"percentage_blue","correct_answer","color","video","image","catch_trial_answer_correct","catch_trial","workerid","modal","speaker_cond"
60,2,"blue","blue_might_f","scene_blue_video_60.gif",1,1,0,"might","f"
10,NA,"orange","orange_probably_f","scene_orange_video_10.gif",-1,0,0,"probably","f"
90,NA,"blue","blue_probably_f","scene_blue_video_90.gif",-1,0,0,"probably","f"
60,NA,"blue","blue_might_f","scene_blue_video_60.gif",-1,0,0,"might","f"
10,2,"orange","orange_probably_f","scene_orange_video_10.gif",1,1,0,"probably","f"
90,NA,"blue","blue_probably_f","scene_blue_video_90.gif",-1,0,0,"probably","f"
100,NA,"blue","blue_bare_f","scene_blue_video_100.gif",-1,0,0,"bare","f"
10,NA,"orange","orange_probably_f","scene_orange_video_10.gif",-1,0,0,"probably","f"
90,NA,"blue","blue_probably_f","scene_blue_video_90.gif",-1,0,0,"probably","f"
100,NA,"blue","blue_bare_f","scene_blue_video_100.gif",-1,0,0,"bare","f"
60,NA,"blue","blue_might_f","scene_blue_video_60.gif",-1,0,0,"might","f"
40,1,"orange","orange_might_f","scene_orange_video_40.gif",1,1,0,"might","f"
40,NA,"orange","orange_might_f","scene_orange_video_40.gif",-1,0,0,"might","f"
0,NA,"orange","orange_bare_f","scene_orange_video_0.gif",-1,0,0,"bare","f"
90,NA,"blue","blue_probably_f","scene_blue_video_90.gif",-1,0,0,"probably","f"
40,NA,"orange","orange_might_f","scene_orange_video_40.gif",-1,0,0,"might","f"
40,NA,"orange","orange_might_f","scene_orange_video_40.gif",-1,0,0,"might","f"
40,2,"orange","orange_might_f","scene_orange_video_40.gif",1,1,0,"might","f"
90,1,"blue","blue_probably_f","scene_blue_video_90.gif",1,1,0,"probably","f"
60,1,"blue","blue_might_f","scene_blue_video_60.gif",1,1,0,"might","f"
100,NA,"blue","blue_bare_f","scene_blue_video_100.gif",-1,0,0,"bare","f"
0,NA,"orange","orange_bare_f","scene_orange_video_0.gif",-1,0,0,"bare","f"
10,NA,"orange","orange_probably_f","scene_orange_video_10.gif",-1,0,0,"probably","f"
60,NA,"blue","blue_might_f","scene_blue_video_60.gif",-1,0,0,"might","f"
90,NA,"blue","blue_probably_f","scene_blue_video_90.gif",-1,0,0,"probably","f"
10,2,"orange","orange_probably_m","scene_orange_video_10.gif",1,1,1,"probably","m"
100,NA,"blue","blue_bare_m","scene_blue_video_100.gif",-1,0,1,"bare","m"
10,NA,"orange","orange_probably_m","scene_orange_video_10.gif",-1,0,1,"probably","m"
100,NA,"blue","blue_bare_m","scene_blue_video_100.gif",-1,0,1,"bare","m"
60,NA,"blue","blue_might_m","scene_blue_video_60.gif",-1,0,1,"might","m"
40,1,"orange","orange_might_m","scene_orange_video_40.gif",1,1,1,"might","m"
0,2,"orange","orange_bare_m","scene_orange_video_0.gif",1,1,1,"bare","m"
90,NA,"blue","blue_probably_m","scene_blue_video_90.gif",-1,0,1,"probably","m"
40,NA,"orange","orange_might_m","scene_orange_video_40.gif",-1,0,1,"might","m"
40,NA,"orange","orange_might_m","scene_orange_video_40.gif",-1,0,1,"might","m"
60,NA,"blue","blue_might_m","scene_blue_video_60.gif",-1,0,1,"might","m"
10,NA,"orange","orange_probably_m","scene_orange_video_10.gif",-1,0,1,"probably","m"
90,NA,"blue","blue_probably_m","scene_blue_video_90.gif",-1,0,1,"probably","m"
10,2,"orange","orange_probably_m","scene_orange_video_10.gif",1,1,1,"probably","m"
100,NA,"blue","blue_bare_m","scene_blue_video_100.gif",-1,0,1,"bare","m"
40,2,"orange","orange_might_m","scene_orange_video_40.gif",1,1,1,"might","m"
90,NA,"blue","blue_probably_m","scene_blue_video_90.gif",-1,0,1,"probably","m"
0,NA,"orange","orange_bare_m","scene_orange_video_0.gif",-1,0,1,"bare","m"
40,NA,"orange","orange_might_m","scene_orange_video_40.gif",-1,0,1,"might","m"
10,1,"orange","orange_probably_m","scene_orange_video_10.gif",1,1,1,"probably","m"
60,NA,"blue","blue_might_m","scene_blue_video_60.gif",-1,0,1,"might","m"
10,NA,"orange","orange_probably_m","scene_orange_video_10.gif",-1,0,1,"probably","m"
60,NA,"blue","blue_might_m","scene_blue_video_60.gif",-1,0,1,"might","m"
60,NA,"blue","blue_might_m","scene_blue_video_60.gif",-1,0,1,"might","m"
90,NA,"blue","blue_probably_m","scene_blue_video_90.gif",-1,0,1,"probably","m"
