"percentage_blue","Answer.time_in_minutes","Answer.condition","color","Answer.misread_instructions","workerid","rating","modal","speaker_cond"
0,5.11683333333333,"might","blue",0,0,0,"bare","f"
10,5.11683333333333,"might","blue",0,0,0,"bare","f"
25,5.11683333333333,"might","blue",0,0,0,"bare","f"
40,5.11683333333333,"might","blue",0,0,0,"bare","f"
50,5.11683333333333,"might","blue",0,0,0,"bare","f"
60,5.11683333333333,"might","blue",0,0,0,"bare","f"
75,5.11683333333333,"might","blue",0,0,0,"bare","f"
90,5.11683333333333,"might","blue",0,0,0,"bare","f"
100,5.11683333333333,"might","blue",0,0,10,"bare","f"
0,5.11683333333333,"might","blue",0,0,0,"probably","f"
10,5.11683333333333,"might","blue",0,0,0,"probably","f"
25,5.11683333333333,"might","blue",0,0,0,"probably","f"
40,5.11683333333333,"might","blue",0,0,0,"probably","f"
50,5.11683333333333,"might","blue",0,0,0,"probably","f"
60,5.11683333333333,"might","blue",0,0,0,"probably","f"
75,5.11683333333333,"might","blue",0,0,3,"probably","f"
90,5.11683333333333,"might","blue",0,0,7,"probably","f"
100,5.11683333333333,"might","blue",0,0,0,"probably","f"
0,5.11683333333333,"might","orange",0,0,10,"bare","f"
10,5.11683333333333,"might","orange",0,0,0,"bare","f"
25,5.11683333333333,"might","orange",0,0,0,"bare","f"
40,5.11683333333333,"might","orange",0,0,0,"bare","f"
50,5.11683333333333,"might","orange",0,0,0,"bare","f"
60,5.11683333333333,"might","orange",0,0,0,"bare","f"
75,5.11683333333333,"might","orange",0,0,0,"bare","f"
90,5.11683333333333,"might","orange",0,0,0,"bare","f"
100,5.11683333333333,"might","orange",0,0,0,"bare","f"
0,5.11683333333333,"might","orange",0,0,0,"probably","f"
10,5.11683333333333,"might","orange",0,0,8,"probably","f"
25,5.11683333333333,"might","orange",0,0,2,"probably","f"
40,5.11683333333333,"might","orange",0,0,0,"probably","f"
50,5.11683333333333,"might","orange",0,0,0,"probably","f"
60,5.11683333333333,"might","orange",0,0,0,"probably","f"
75,5.11683333333333,"might","orange",0,0,0,"probably","f"
90,5.11683333333333,"might","orange",0,0,0,"probably","f"
100,5.11683333333333,"might","orange",0,0,0,"probably","f"
0,5.11683333333333,"might","orange",0,0,0,"might","f"
10,5.11683333333333,"might","orange",0,0,0,"might","f"
25,5.11683333333333,"might","orange",0,0,0,"might","f"
40,5.11683333333333,"might","orange",0,0,4,"might","f"
50,5.11683333333333,"might","orange",0,0,6,"might","f"
60,5.11683333333333,"might","orange",0,0,0,"might","f"
75,5.11683333333333,"might","orange",0,0,0,"might","f"
90,5.11683333333333,"might","orange",0,0,0,"might","f"
100,5.11683333333333,"might","orange",0,0,0,"might","f"
0,5.11683333333333,"might","blue",0,0,0,"might","f"
10,5.11683333333333,"might","blue",0,0,0,"might","f"
25,5.11683333333333,"might","blue",0,0,0,"might","f"
40,5.11683333333333,"might","blue",0,0,0,"might","f"
50,5.11683333333333,"might","blue",0,0,0,"might","f"
60,5.11683333333333,"might","blue",0,0,4,"might","f"
75,5.11683333333333,"might","blue",0,0,6,"might","f"
90,5.11683333333333,"might","blue",0,0,0,"might","f"
100,5.11683333333333,"might","blue",0,0,0,"might","f"
0,4.83886666666667,"might","blue",0,1,0,"might","m"
10,4.83886666666667,"might","blue",0,1,0,"might","m"
25,4.83886666666667,"might","blue",0,1,0,"might","m"
