"video","catch_trial","modal","percentage_blue","color","workerid","image","correct_answer","catch_trial_answer_correct","speaker_cond"
"orange_bare_f",0,"bare",0,"orange",0,"scene_orange_video_0.gif",NA,-1,"f"
"blue_might_f",1,"might",25,"blue",0,"scene_blue_video_25.gif",1,1,"f"
"orange_might_f",0,"might",75,"orange",0,"scene_orange_video_75.gif",NA,-1,"f"
"orange_probably_f",0,"probably",40,"orange",0,"scene_orange_video_40.gif",NA,-1,"f"
"blue_might_f",0,"might",25,"blue",0,"scene_blue_video_25.gif",NA,-1,"f"
"blue_might_f",1,"might",25,"blue",0,"scene_blue_video_25.gif",1,1,"f"
"orange_probably_f",1,"probably",40,"orange",0,"scene_orange_video_40.gif",2,1,"f"
"blue_probably_f",0,"probably",60,"blue",0,"scene_blue_video_60.gif",NA,-1,"f"
"orange_bare_f",0,"bare",0,"orange",0,"scene_orange_video_0.gif",NA,-1,"f"
"orange_might_f",0,"might",75,"orange",0,"scene_orange_video_75.gif",NA,-1,"f"
"orange_might_f",0,"might",75,"orange",0,"scene_orange_video_75.gif",NA,-1,"f"
"blue_might_f",0,"might",25,"blue",0,"scene_blue_video_25.gif",NA,-1,"f"
"orange_might_f",0,"might",75,"orange",0,"scene_orange_video_75.gif",NA,-1,"f"
"blue_bare_f",0,"bare",100,"blue",0,"scene_blue_video_100.gif",NA,-1,"f"
"blue_bare_f",1,"bare",100,"blue",0,"scene_blue_video_100.gif",2,1,"f"
"orange_probably_f",0,"probably",40,"orange",0,"scene_orange_video_40.gif",NA,-1,"f"
"blue_probably_f",0,"probably",60,"blue",0,"scene_blue_video_60.gif",NA,-1,"f"
"blue_might_f",0,"might",25,"blue",0,"scene_blue_video_25.gif",NA,-1,"f"
"blue_probably_f",0,"probably",60,"blue",0,"scene_blue_video_60.gif",NA,-1,"f"
"blue_probably_f",0,"probably",60,"blue",0,"scene_blue_video_60.gif",NA,-1,"f"
"orange_might_f",0,"might",75,"orange",0,"scene_orange_video_75.gif",NA,-1,"f"
"blue_bare_f",0,"bare",100,"blue",0,"scene_blue_video_100.gif",NA,-1,"f"
"blue_probably_f",1,"probably",60,"blue",0,"scene_blue_video_60.gif",2,1,"f"
"blue_probably_f",1,"probably",60,"blue",0,"scene_blue_video_60.gif",2,1,"f"
"blue_probably_f",0,"probably",60,"blue",0,"scene_blue_video_60.gif",NA,-1,"f"
"orange_might_m",0,"might",75,"orange",1,"scene_orange_video_75.gif",NA,-1,"m"
"orange_probably_m",1,"probably",40,"orange",1,"scene_orange_video_40.gif",2,1,"m"
"blue_probably_m",0,"probably",60,"blue",1,"scene_blue_video_60.gif",NA,-1,"m"
"orange_bare_m",1,"bare",0,"orange",1,"scene_orange_video_0.gif",1,1,"m"
"blue_might_m",0,"might",25,"blue",1,"scene_blue_video_25.gif",NA,-1,"m"
"orange_might_m",0,"might",75,"orange",1,"scene_orange_video_75.gif",NA,-1,"m"
"blue_probably_m",0,"probably",60,"blue",1,"scene_blue_video_60.gif",NA,-1,"m"
"blue_bare_m",0,"bare",100,"blue",1,"scene_blue_video_100.gif",NA,-1,"m"
"orange_probably_m",0,"probably",40,"orange",1,"scene_orange_video_40.gif",NA,-1,"m"
"blue_bare_m",1,"bare",100,"blue",1,"scene_blue_video_100.gif",1,1,"m"
"orange_might_m",1,"might",75,"orange",1,"scene_orange_video_75.gif",2,1,"m"
"blue_might_m",0,"might",25,"blue",1,"scene_blue_video_25.gif",NA,-1,"m"
"blue_might_m",0,"might",25,"blue",1,"scene_blue_video_25.gif",NA,-1,"m"
"orange_might_m",0,"might",75,"orange",1,"scene_orange_video_75.gif",NA,-1,"m"
"blue_might_m",0,"might",25,"blue",1,"scene_blue_video_25.gif",NA,-1,"m"
"blue_probably_m",0,"probably",60,"blue",1,"scene_blue_video_60.gif",NA,-1,"m"
"blue_probably_m",0,"probably",60,"blue",1,"scene_blue_video_60.gif",NA,-1,"m"
"blue_bare_m",0,"bare",100,"blue",1,"scene_blue_video_100.gif",NA,-1,"m"
"blue_bare_m",0,"bare",100,"blue",1,"scene_blue_video_100.gif",NA,-1,"m"
"orange_probably_m",1,"probably",40,"orange",1,"scene_orange_video_40.gif",1,1,"m"
"blue_might_m",0,"might",25,"blue",1,"scene_blue_video_25.gif",NA,-1,"m"
"orange_might_m",1,"might",75,"orange",1,"scene_orange_video_75.gif",1,0,"m"
"blue_probably_m",0,"probably",60,"blue",1,"scene_blue_video_60.gif",NA,-1,"m"
"blue_probably_m",0,"probably",60,"blue",1,"scene_blue_video_60.gif",NA,-1,"m"
"blue_probably_m",0,"probably",60,"blue",1,"scene_blue_video_60.gif",NA,-1,"m"
