"Answer.misread_instructions","modal","Answer.condition","Answer.time_in_minutes","percentage_blue","color","workerid","rating","speaker_cond"
0,"probably","probably",7.00253333333333,0,"blue",0,0,"f"
0,"probably","probably",7.00253333333333,10,"blue",0,0,"f"
0,"probably","probably",7.00253333333333,25,"blue",0,0,"f"
0,"probably","probably",7.00253333333333,40,"blue",0,0,"f"
0,"probably","probably",7.00253333333333,50,"blue",0,0,"f"
0,"probably","probably",7.00253333333333,60,"blue",0,5,"f"
0,"probably","probably",7.00253333333333,75,"blue",0,5,"f"
0,"probably","probably",7.00253333333333,90,"blue",0,0,"f"
0,"probably","probably",7.00253333333333,100,"blue",0,0,"f"
0,"might","probably",7.00253333333333,0,"blue",0,0,"f"
0,"might","probably",7.00253333333333,10,"blue",0,3,"f"
0,"might","probably",7.00253333333333,25,"blue",0,4,"f"
0,"might","probably",7.00253333333333,40,"blue",0,3,"f"
0,"might","probably",7.00253333333333,50,"blue",0,0,"f"
0,"might","probably",7.00253333333333,60,"blue",0,0,"f"
0,"might","probably",7.00253333333333,75,"blue",0,0,"f"
0,"might","probably",7.00253333333333,90,"blue",0,0,"f"
0,"might","probably",7.00253333333333,100,"blue",0,0,"f"
0,"probably","probably",7.00253333333333,0,"orange",0,0,"f"
0,"probably","probably",7.00253333333333,10,"orange",0,4,"f"
0,"probably","probably",7.00253333333333,25,"orange",0,5,"f"
0,"probably","probably",7.00253333333333,40,"orange",0,1,"f"
0,"probably","probably",7.00253333333333,50,"orange",0,0,"f"
0,"probably","probably",7.00253333333333,60,"orange",0,0,"f"
0,"probably","probably",7.00253333333333,75,"orange",0,0,"f"
0,"probably","probably",7.00253333333333,90,"orange",0,0,"f"
0,"probably","probably",7.00253333333333,100,"orange",0,0,"f"
0,"bare","probably",7.00253333333333,0,"orange",0,10,"f"
0,"bare","probably",7.00253333333333,10,"orange",0,0,"f"
0,"bare","probably",7.00253333333333,25,"orange",0,0,"f"
0,"bare","probably",7.00253333333333,40,"orange",0,0,"f"
0,"bare","probably",7.00253333333333,50,"orange",0,0,"f"
0,"bare","probably",7.00253333333333,60,"orange",0,0,"f"
0,"bare","probably",7.00253333333333,75,"orange",0,0,"f"
0,"bare","probably",7.00253333333333,90,"orange",0,0,"f"
0,"bare","probably",7.00253333333333,100,"orange",0,0,"f"
0,"might","probably",7.00253333333333,0,"orange",0,0,"f"
0,"might","probably",7.00253333333333,10,"orange",0,0,"f"
0,"might","probably",7.00253333333333,25,"orange",0,0,"f"
0,"might","probably",7.00253333333333,40,"orange",0,1,"f"
0,"might","probably",7.00253333333333,50,"orange",0,3,"f"
0,"might","probably",7.00253333333333,60,"orange",0,3,"f"
0,"might","probably",7.00253333333333,75,"orange",0,2,"f"
0,"might","probably",7.00253333333333,90,"orange",0,1,"f"
0,"might","probably",7.00253333333333,100,"orange",0,0,"f"
0,"bare","probably",7.00253333333333,0,"blue",0,0,"f"
0,"bare","probably",7.00253333333333,10,"blue",0,0,"f"
0,"bare","probably",7.00253333333333,25,"blue",0,0,"f"
0,"bare","probably",7.00253333333333,40,"blue",0,0,"f"
0,"bare","probably",7.00253333333333,50,"blue",0,0,"f"
0,"bare","probably",7.00253333333333,60,"blue",0,0,"f"
0,"bare","probably",7.00253333333333,75,"blue",0,0,"f"
0,"bare","probably",7.00253333333333,90,"blue",0,0,"f"
0,"bare","probably",7.00253333333333,100,"blue",0,10,"f"
0,"might","probably",4.56993333333333,0,"blue",1,0,"m"
0,"might","probably",4.56993333333333,10,"blue",1,0,"m"
0,"might","probably",4.56993333333333,25,"blue",1,0,"m"
0,"might","probably",4.56993333333333,40,"blue",1,0,"m"
0,"might","probably",4.56993333333333,50,"blue",1,5,"m"
0,"might","probably",4.56993333333333,60,"blue",1,0,"m"
0,"might","probably",4.56993333333333,75,"blue",1,5,"m"
0,"might","probably",4.56993333333333,90,"blue",1,0,"m"
0,"might","probably",4.56993333333333,100,"blue",1,0,"m"
0,"probably","probably",4.56993333333333,0,"blue",1,0,"m"
0,"probably","probably",4.56993333333333,10,"blue",1,0,"m"
0,"probably","probably",4.56993333333333,25,"blue",1,0,"m"
0,"probably","probably",4.56993333333333,40,"blue",1,0,"m"
0,"probably","probably",4.56993333333333,50,"blue",1,0,"m"
0,"probably","probably",4.56993333333333,60,"blue",1,0,"m"
0,"probably","probably",4.56993333333333,75,"blue",1,10,"m"
0,"probably","probably",4.56993333333333,90,"blue",1,0,"m"
0,"probably","probably",4.56993333333333,100,"blue",1,0,"m"
0,"bare","probably",4.56993333333333,0,"blue",1,0,"m"
0,"bare","probably",4.56993333333333,10,"blue",1,0,"m"
0,"bare","probably",4.56993333333333,25,"blue",1,0,"m"
0,"bare","probably",4.56993333333333,40,"blue",1,0,"m"
0,"bare","probably",4.56993333333333,50,"blue",1,0,"m"
0,"bare","probably",4.56993333333333,60,"blue",1,0,"m"
0,"bare","probably",4.56993333333333,75,"blue",1,0,"m"
0,"bare","probably",4.56993333333333,90,"blue",1,0,"m"
0,"bare","probably",4.56993333333333,100,"blue",1,10,"m"
0,"might","probably",4.56993333333333,0,"orange",1,0,"m"
0,"might","probably",4.56993333333333,10,"orange",1,0,"m"
0,"might","probably",4.56993333333333,25,"orange",1,0,"m"
0,"might","probably",4.56993333333333,40,"orange",1,0,"m"
0,"might","probably",4.56993333333333,50,"orange",1,0,"m"
0,"might","probably",4.56993333333333,60,"orange",1,0,"m"
0,"might","probably",4.56993333333333,75,"orange",1,10,"m"
0,"might","probably",4.56993333333333,90,"orange",1,0,"m"
0,"might","probably",4.56993333333333,100,"orange",1,0,"m"
0,"probably","probably",4.56993333333333,0,"orange",1,0,"m"
0,"probably","probably",4.56993333333333,10,"orange",1,0,"m"
0,"probably","probably",4.56993333333333,25,"orange",1,0,"m"
0,"probably","probably",4.56993333333333,40,"orange",1,4,"m"
0,"probably","probably",4.56993333333333,50,"orange",1,6,"m"
0,"probably","probably",4.56993333333333,60,"orange",1,0,"m"
0,"probably","probably",4.56993333333333,75,"orange",1,0,"m"
0,"probably","probably",4.56993333333333,90,"orange",1,0,"m"
0,"probably","probably",4.56993333333333,100,"orange",1,0,"m"
0,"bare","probably",4.56993333333333,0,"orange",1,10,"m"
0,"bare","probably",4.56993333333333,10,"orange",1,0,"m"
0,"bare","probably",4.56993333333333,25,"orange",1,0,"m"
0,"bare","probably",4.56993333333333,40,"orange",1,0,"m"
0,"bare","probably",4.56993333333333,50,"orange",1,0,"m"
0,"bare","probably",4.56993333333333,60,"orange",1,0,"m"
0,"bare","probably",4.56993333333333,75,"orange",1,0,"m"
0,"bare","probably",4.56993333333333,90,"orange",1,0,"m"
0,"bare","probably",4.56993333333333,100,"orange",1,0,"m"
