workerid,color,percentage_blue,modal,rating
0,"""orange""",0,"""bare""",1
0,"""orange""",10,"""bare""",0.7
0,"""orange""",25,"""bare""",0.34
0,"""orange""",40,"""bare""",0.24
0,"""orange""",50,"""bare""",0.1
0,"""orange""",60,"""bare""",0.03
0,"""orange""",75,"""bare""",0.01
0,"""orange""",90,"""bare""",0.01
0,"""orange""",100,"""bare""",0.01
0,"""orange""",0,"""probably""",0.26
0,"""orange""",10,"""probably""",0.73
0,"""orange""",25,"""probably""",0.63
0,"""orange""",40,"""probably""",0.45
0,"""orange""",50,"""probably""",0.16
0,"""orange""",60,"""probably""",0
0,"""orange""",75,"""probably""",0
0,"""orange""",90,"""probably""",0
0,"""orange""",100,"""probably""",0
0,"""blue""",0,"""might""",0
0,"""blue""",10,"""might""",0.78
0,"""blue""",25,"""might""",0.64
0,"""blue""",40,"""might""",0.47
0,"""blue""",50,"""might""",0.39
0,"""blue""",60,"""might""",0.2
0,"""blue""",75,"""might""",0
0,"""blue""",90,"""might""",0
0,"""blue""",100,"""might""",0.04
0,"""orange""",0,"""might""",0.06
0,"""orange""",10,"""might""",0.32
0,"""orange""",25,"""might""",0.28
0,"""orange""",40,"""might""",0.47
0,"""orange""",50,"""might""",0.51
0,"""orange""",60,"""might""",0.56
0,"""orange""",75,"""might""",0.7
0,"""orange""",90,"""might""",0.8
0,"""orange""",100,"""might""",0
0,"""blue""",0,"""bare""",0.06
0,"""blue""",10,"""bare""",0.03
0,"""blue""",25,"""bare""",0.03
0,"""blue""",40,"""bare""",0.03
0,"""blue""",50,"""bare""",0.05
0,"""blue""",60,"""bare""",0.01
0,"""blue""",75,"""bare""",0.12
0,"""blue""",90,"""bare""",0.34
0,"""blue""",100,"""bare""",1
0,"""blue""",0,"""probably""",0
0,"""blue""",10,"""probably""",0
0,"""blue""",25,"""probably""",0.17
0,"""blue""",40,"""probably""",0.41
0,"""blue""",50,"""probably""",0.53
0,"""blue""",60,"""probably""",0.54
0,"""blue""",75,"""probably""",0.67
0,"""blue""",90,"""probably""",0.76
0,"""blue""",100,"""probably""",0.19
1,"""blue""",0,"""might""",0.02
1,"""blue""",10,"""might""",0.1
1,"""blue""",25,"""might""",0.54
1,"""blue""",40,"""might""",0.72
1,"""blue""",50,"""might""",0.71
1,"""blue""",60,"""might""",0.68
1,"""blue""",75,"""might""",0.34
1,"""blue""",90,"""might""",0.15
1,"""blue""",100,"""might""",0.19
1,"""blue""",0,"""probably""",0.2
1,"""blue""",10,"""probably""",0.19
1,"""blue""",25,"""probably""",0.21
1,"""blue""",40,"""probably""",0.34
1,"""blue""",50,"""probably""",0.39
1,"""blue""",60,"""probably""",0.52
1,"""blue""",75,"""probably""",0.78
1,"""blue""",90,"""probably""",0.85
1,"""blue""",100,"""probably""",0.19
1,"""orange""",0,"""probably""",0.22
1,"""orange""",10,"""probably""",0.98
1,"""orange""",25,"""probably""",0.75
1,"""orange""",40,"""probably""",0.58
1,"""orange""",50,"""probably""",0.5
1,"""orange""",60,"""probably""",0.35
1,"""orange""",75,"""probably""",0.32
1,"""orange""",90,"""probably""",0.23
1,"""orange""",100,"""probably""",0.25
1,"""blue""",0,"""bare""",0.23
1,"""blue""",10,"""bare""",0.2
1,"""blue""",25,"""bare""",0.19
1,"""blue""",40,"""bare""",0.2
1,"""blue""",50,"""bare""",0.23
1,"""blue""",60,"""bare""",0.2
1,"""blue""",75,"""bare""",0.2
1,"""blue""",90,"""bare""",0.34
1,"""blue""",100,"""bare""",0.99
1,"""orange""",0,"""bare""",1
1,"""orange""",10,"""bare""",0.29
1,"""orange""",25,"""bare""",0.23
1,"""orange""",40,"""bare""",0.23
1,"""orange""",50,"""bare""",0.22
1,"""orange""",60,"""bare""",0.22
1,"""orange""",75,"""bare""",0.22
1,"""orange""",90,"""bare""",0.19
1,"""orange""",100,"""bare""",0.23
1,"""orange""",0,"""might""",0.18
1,"""orange""",10,"""might""",0.55
1,"""orange""",25,"""might""",0.82
1,"""orange""",40,"""might""",0.95
1,"""orange""",50,"""might""",0.94
1,"""orange""",60,"""might""",0.98
1,"""orange""",75,"""might""",0.77
1,"""orange""",90,"""might""",0.54
1,"""orange""",100,"""might""",0.19
2,"""blue""",0,"""probably""",0.03
2,"""blue""",10,"""probably""",0.1
2,"""blue""",25,"""probably""",0.25
2,"""blue""",40,"""probably""",0.36
2,"""blue""",50,"""probably""",0.53
2,"""blue""",60,"""probably""",0.77
2,"""blue""",75,"""probably""",0.95
2,"""blue""",90,"""probably""",1
