"workerid","color","percentage_blue","modal","rating","speaker_cond"
0,"""blue""",0,"""probably""",0,"f"
0,"""blue""",10,"""probably""",0,"f"
0,"""blue""",25,"""probably""",0,"f"
0,"""blue""",40,"""probably""",0,"f"
0,"""blue""",50,"""probably""",0.18,"f"
0,"""blue""",60,"""probably""",1,"f"
0,"""blue""",75,"""probably""",1,"f"
0,"""blue""",90,"""probably""",1,"f"
0,"""blue""",100,"""probably""",0,"f"
0,"""blue""",0,"""bare""",0,"f"
0,"""blue""",10,"""bare""",0,"f"
0,"""blue""",25,"""bare""",0,"f"
0,"""blue""",40,"""bare""",0,"f"
0,"""blue""",50,"""bare""",0,"f"
0,"""blue""",60,"""bare""",0,"f"
0,"""blue""",75,"""bare""",0,"f"
0,"""blue""",90,"""bare""",0,"f"
0,"""blue""",100,"""bare""",1,"f"
0,"""blue""",0,"""might""",0,"f"
0,"""blue""",10,"""might""",0.76,"f"
0,"""blue""",25,"""might""",0.8,"f"
0,"""blue""",40,"""might""",0.85,"f"
0,"""blue""",50,"""might""",0.48,"f"
0,"""blue""",60,"""might""",0,"f"
0,"""blue""",75,"""might""",0,"f"
0,"""blue""",90,"""might""",0,"f"
0,"""blue""",100,"""might""",0,"f"
0,"""orange""",0,"""might""",0,"f"
0,"""orange""",10,"""might""",0,"f"
0,"""orange""",25,"""might""",0,"f"
0,"""orange""",40,"""might""",0,"f"
0,"""orange""",50,"""might""",0.82,"f"
0,"""orange""",60,"""might""",1,"f"
0,"""orange""",75,"""might""",1,"f"
0,"""orange""",90,"""might""",0.79,"f"
0,"""orange""",100,"""might""",0,"f"
0,"""orange""",0,"""bare""",1,"f"
0,"""orange""",10,"""bare""",0.06,"f"
0,"""orange""",25,"""bare""",0,"f"
0,"""orange""",40,"""bare""",0,"f"
0,"""orange""",50,"""bare""",0,"f"
0,"""orange""",60,"""bare""",0,"f"
0,"""orange""",75,"""bare""",0,"f"
0,"""orange""",90,"""bare""",0,"f"
0,"""orange""",100,"""bare""",0,"f"
0,"""orange""",0,"""probably""",0,"f"
0,"""orange""",10,"""probably""",1,"f"
0,"""orange""",25,"""probably""",1,"f"
0,"""orange""",40,"""probably""",0.88,"f"
0,"""orange""",50,"""probably""",0.33,"f"
0,"""orange""",60,"""probably""",0,"f"
0,"""orange""",75,"""probably""",0,"f"
0,"""orange""",90,"""probably""",0,"f"
0,"""orange""",100,"""probably""",0,"f"
1,"""orange""",0,"""might""",0,"f"
1,"""orange""",10,"""might""",0.22,"f"
1,"""orange""",25,"""might""",0.44,"f"
1,"""orange""",40,"""might""",0.62,"f"
1,"""orange""",50,"""might""",0.72,"f"
1,"""orange""",60,"""might""",0.77,"f"
1,"""orange""",75,"""might""",0.81,"f"
1,"""orange""",90,"""might""",0.84,"f"
1,"""orange""",100,"""might""",0,"f"
1,"""blue""",0,"""might""",0,"f"
1,"""blue""",10,"""might""",0.74,"f"
1,"""blue""",25,"""might""",0.76,"f"
1,"""blue""",40,"""might""",0.77,"f"
1,"""blue""",50,"""might""",0.59,"f"
1,"""blue""",60,"""might""",0.54,"f"
1,"""blue""",75,"""might""",0.12,"f"
1,"""blue""",90,"""might""",0.14,"f"
1,"""blue""",100,"""might""",0,"f"
1,"""blue""",0,"""probably""",0,"f"
1,"""blue""",10,"""probably""",0,"f"
1,"""blue""",25,"""probably""",0,"f"
1,"""blue""",40,"""probably""",0.26,"f"
1,"""blue""",50,"""probably""",0.49,"f"
1,"""blue""",60,"""probably""",1,"f"
1,"""blue""",75,"""probably""",1,"f"
1,"""blue""",90,"""probably""",1,"f"
1,"""blue""",100,"""probably""",0.5,"f"
1,"""orange""",0,"""probably""",0.48,"f"
1,"""orange""",10,"""probably""",1,"f"
1,"""orange""",25,"""probably""",1,"f"
1,"""orange""",40,"""probably""",1,"f"
1,"""orange""",50,"""probably""",0.41,"f"
1,"""orange""",60,"""probably""",0.16,"f"
1,"""orange""",75,"""probably""",0,"f"
1,"""orange""",90,"""probably""",0,"f"
1,"""orange""",100,"""probably""",0,"f"
1,"""orange""",0,"""bare""",1,"f"
1,"""orange""",10,"""bare""",0,"f"
1,"""orange""",25,"""bare""",0,"f"
1,"""orange""",40,"""bare""",0,"f"
1,"""orange""",50,"""bare""",0.01,"f"
1,"""orange""",60,"""bare""",0,"f"
1,"""orange""",75,"""bare""",0,"f"
1,"""orange""",90,"""bare""",0,"f"
1,"""orange""",100,"""bare""",0,"f"
1,"""blue""",0,"""bare""",0,"f"
1,"""blue""",10,"""bare""",0,"f"
1,"""blue""",25,"""bare""",0,"f"
1,"""blue""",40,"""bare""",0,"f"
1,"""blue""",50,"""bare""",0,"f"
1,"""blue""",60,"""bare""",0,"f"
1,"""blue""",75,"""bare""",0,"f"
1,"""blue""",90,"""bare""",0,"f"
1,"""blue""",100,"""bare""",1,"f"
2,"""blue""",0,"""probably""",0,"f"
2,"""blue""",10,"""probably""",0,"f"
2,"""blue""",25,"""probably""",0,"f"
2,"""blue""",40,"""probably""",0.06,"f"
2,"""blue""",50,"""probably""",0.33,"f"
2,"""blue""",60,"""probably""",0.63,"f"
2,"""blue""",75,"""probably""",0.64,"f"
2,"""blue""",90,"""probably""",0.66,"f"
2,"""blue""",100,"""probably""",0.03,"f"
2,"""blue""",0,"""might""",0,"f"
2,"""blue""",10,"""might""",0.83,"f"
2,"""blue""",25,"""might""",0.82,"f"
2,"""blue""",40,"""might""",0.85,"f"
2,"""blue""",50,"""might""",0.28,"f"
2,"""blue""",60,"""might""",0.06,"f"
2,"""blue""",75,"""might""",0,"f"
2,"""blue""",90,"""might""",0,"f"
2,"""blue""",100,"""might""",0,"f"
2,"""orange""",0,"""probably""",0.07,"f"
2,"""orange""",10,"""probably""",0.86,"f"
2,"""orange""",25,"""probably""",0.85,"f"
2,"""orange""",40,"""probably""",0.71,"f"
2,"""orange""",50,"""probably""",0.48,"f"
2,"""orange""",60,"""probably""",0.07,"f"
2,"""orange""",75,"""probably""",0,"f"
2,"""orange""",90,"""probably""",0,"f"
2,"""orange""",100,"""probably""",0,"f"
2,"""orange""",0,"""might""",0,"f"
2,"""orange""",10,"""might""",0,"f"
2,"""orange""",25,"""might""",0,"f"
2,"""orange""",40,"""might""",0,"f"
2,"""orange""",50,"""might""",0.32,"f"
2,"""orange""",60,"""might""",0.62,"f"
2,"""orange""",75,"""might""",0.82,"f"
2,"""orange""",90,"""might""",0.92,"f"
2,"""orange""",100,"""might""",0,"f"
2,"""blue""",0,"""bare""",0,"f"
2,"""blue""",10,"""bare""",0,"f"
2,"""blue""",25,"""bare""",0,"f"
2,"""blue""",40,"""bare""",0,"f"
2,"""blue""",50,"""bare""",0,"f"
2,"""blue""",60,"""bare""",0,"f"
2,"""blue""",75,"""bare""",0,"f"
2,"""blue""",90,"""bare""",0,"f"
2,"""blue""",100,"""bare""",1,"f"
2,"""orange""",0,"""bare""",1,"f"
2,"""orange""",10,"""bare""",0,"f"
2,"""orange""",25,"""bare""",0,"f"
2,"""orange""",40,"""bare""",0,"f"
2,"""orange""",50,"""bare""",0,"f"
2,"""orange""",60,"""bare""",0,"f"
2,"""orange""",75,"""bare""",0,"f"
2,"""orange""",90,"""bare""",0,"f"
2,"""orange""",100,"""bare""",0,"f"
3,"""blue""",0,"""might""",0,"f"
3,"""blue""",10,"""might""",0.71,"f"
3,"""blue""",25,"""might""",0.81,"f"
3,"""blue""",40,"""might""",0.6,"f"
3,"""blue""",50,"""might""",0.36,"f"
3,"""blue""",60,"""might""",0.21,"f"
3,"""blue""",75,"""might""",0.14,"f"
3,"""blue""",90,"""might""",0.12,"f"
3,"""blue""",100,"""might""",0,"f"
3,"""blue""",0,"""probably""",0,"f"
3,"""blue""",10,"""probably""",0.11,"f"
3,"""blue""",25,"""probably""",0.14,"f"
3,"""blue""",40,"""probably""",0.22,"f"
3,"""blue""",50,"""probably""",0.54,"f"
3,"""blue""",60,"""probably""",0.62,"f"
3,"""blue""",75,"""probably""",0.75,"f"
3,"""blue""",90,"""probably""",0.85,"f"
3,"""blue""",100,"""probably""",0,"f"
3,"""blue""",0,"""bare""",0,"f"
3,"""blue""",10,"""bare""",0,"f"
3,"""blue""",25,"""bare""",0,"f"
3,"""blue""",40,"""bare""",0,"f"
3,"""blue""",50,"""bare""",0,"f"
3,"""blue""",60,"""bare""",0,"f"
3,"""blue""",75,"""bare""",0,"f"
3,"""blue""",90,"""bare""",0,"f"
3,"""blue""",100,"""bare""",1,"f"
3,"""orange""",0,"""probably""",0,"f"
3,"""orange""",10,"""probably""",0.82,"f"
3,"""orange""",25,"""probably""",0.7,"f"
3,"""orange""",40,"""probably""",0.62,"f"
3,"""orange""",50,"""probably""",0.28,"f"
3,"""orange""",60,"""probably""",0.16,"f"
3,"""orange""",75,"""probably""",0.1,"f"
3,"""orange""",90,"""probably""",0.08,"f"
3,"""orange""",100,"""probably""",0,"f"
3,"""orange""",0,"""might""",0,"f"
3,"""orange""",10,"""might""",0.25,"f"
3,"""orange""",25,"""might""",0.35,"f"
3,"""orange""",40,"""might""",0.47,"f"
3,"""orange""",50,"""might""",0.63,"f"
3,"""orange""",60,"""might""",0.78,"f"
3,"""orange""",75,"""might""",0.86,"f"
3,"""orange""",90,"""might""",0.66,"f"
3,"""orange""",100,"""might""",0,"f"
3,"""orange""",0,"""bare""",1,"f"
3,"""orange""",10,"""bare""",0,"f"
3,"""orange""",25,"""bare""",0,"f"
3,"""orange""",40,"""bare""",0,"f"
3,"""orange""",50,"""bare""",0,"f"
3,"""orange""",60,"""bare""",0,"f"
3,"""orange""",75,"""bare""",0,"f"
3,"""orange""",90,"""bare""",0,"f"
3,"""orange""",100,"""bare""",0,"f"
4,"""orange""",0,"""probably""",0.01,"f"
4,"""orange""",10,"""probably""",0.41,"f"
4,"""orange""",25,"""probably""",0.69,"f"
4,"""orange""",40,"""probably""",0.87,"f"
4,"""orange""",50,"""probably""",0.45,"f"
4,"""orange""",60,"""probably""",0.26,"f"
4,"""orange""",75,"""probably""",0,"f"
4,"""orange""",90,"""probably""",0,"f"
4,"""orange""",100,"""probably""",0.03,"f"
4,"""blue""",0,"""might""",0,"f"
4,"""blue""",10,"""might""",0.21,"f"
4,"""blue""",25,"""might""",0.43,"f"
4,"""blue""",40,"""might""",0.63,"f"
4,"""blue""",50,"""might""",0.55,"f"
4,"""blue""",60,"""might""",0.18,"f"
4,"""blue""",75,"""might""",0,"f"
4,"""blue""",90,"""might""",0,"f"
4,"""blue""",100,"""might""",0,"f"
4,"""blue""",0,"""bare""",0,"f"
4,"""blue""",10,"""bare""",0,"f"
4,"""blue""",25,"""bare""",0,"f"
4,"""blue""",40,"""bare""",0,"f"
4,"""blue""",50,"""bare""",0,"f"
4,"""blue""",60,"""bare""",0,"f"
4,"""blue""",75,"""bare""",0,"f"
4,"""blue""",90,"""bare""",0.15,"f"
4,"""blue""",100,"""bare""",1,"f"
4,"""blue""",0,"""probably""",0,"f"
4,"""blue""",10,"""probably""",0,"f"
4,"""blue""",25,"""probably""",0,"f"
4,"""blue""",40,"""probably""",0.32,"f"
4,"""blue""",50,"""probably""",0.49,"f"
4,"""blue""",60,"""probably""",0.53,"f"
4,"""blue""",75,"""probably""",0.57,"f"
4,"""blue""",90,"""probably""",0.72,"f"
4,"""blue""",100,"""probably""",0.56,"f"
4,"""orange""",0,"""bare""",1,"f"
4,"""orange""",10,"""bare""",0.61,"f"
4,"""orange""",25,"""bare""",0.19,"f"
4,"""orange""",40,"""bare""",0.18,"f"
4,"""orange""",50,"""bare""",0,"f"
4,"""orange""",60,"""bare""",0,"f"
4,"""orange""",75,"""bare""",0,"f"
4,"""orange""",90,"""bare""",0,"f"
4,"""orange""",100,"""bare""",0,"f"
4,"""orange""",0,"""might""",0,"f"
4,"""orange""",10,"""might""",0,"f"
4,"""orange""",25,"""might""",0,"f"
4,"""orange""",40,"""might""",0.27,"f"
4,"""orange""",50,"""might""",0.49,"f"
4,"""orange""",60,"""might""",0.65,"f"
4,"""orange""",75,"""might""",0.68,"f"
4,"""orange""",90,"""might""",0.12,"f"
4,"""orange""",100,"""might""",0,"f"
5,"""orange""",0,"""might""",0,"f"
5,"""orange""",10,"""might""",1,"f"
5,"""orange""",25,"""might""",0.77,"f"
5,"""orange""",40,"""might""",0.64,"f"
5,"""orange""",50,"""might""",0.45,"f"
5,"""orange""",60,"""might""",0.31,"f"
5,"""orange""",75,"""might""",0.18,"f"
5,"""orange""",90,"""might""",0.1,"f"
5,"""orange""",100,"""might""",0,"f"
5,"""blue""",0,"""bare""",0,"f"
5,"""blue""",10,"""bare""",0,"f"
5,"""blue""",25,"""bare""",0,"f"
5,"""blue""",40,"""bare""",0,"f"
5,"""blue""",50,"""bare""",0,"f"
5,"""blue""",60,"""bare""",0,"f"
5,"""blue""",75,"""bare""",0,"f"
5,"""blue""",90,"""bare""",0,"f"
5,"""blue""",100,"""bare""",1,"f"
5,"""blue""",0,"""might""",0,"f"
5,"""blue""",10,"""might""",0.15,"f"
5,"""blue""",25,"""might""",0.21,"f"
5,"""blue""",40,"""might""",0.31,"f"
5,"""blue""",50,"""might""",0.33,"f"
5,"""blue""",60,"""might""",0.49,"f"
5,"""blue""",75,"""might""",0.48,"f"
5,"""blue""",90,"""might""",0.46,"f"
5,"""blue""",100,"""might""",0,"f"
5,"""blue""",0,"""probably""",0,"f"
5,"""blue""",10,"""probably""",0.62,"f"
5,"""blue""",25,"""probably""",0.5,"f"
5,"""blue""",40,"""probably""",0.46,"f"
5,"""blue""",50,"""probably""",0.6,"f"
5,"""blue""",60,"""probably""",0.5,"f"
5,"""blue""",75,"""probably""",0.46,"f"
5,"""blue""",90,"""probably""",0.5,"f"
5,"""blue""",100,"""probably""",0,"f"
5,"""orange""",0,"""probably""",0,"f"
5,"""orange""",10,"""probably""",0.62,"f"
5,"""orange""",25,"""probably""",0.6,"f"
5,"""orange""",40,"""probably""",0.58,"f"
5,"""orange""",50,"""probably""",0.57,"f"
5,"""orange""",60,"""probably""",0.6,"f"
5,"""orange""",75,"""probably""",0.54,"f"
5,"""orange""",90,"""probably""",0.24,"f"
5,"""orange""",100,"""probably""",0,"f"
5,"""orange""",0,"""bare""",1,"f"
5,"""orange""",10,"""bare""",0,"f"
5,"""orange""",25,"""bare""",0,"f"
5,"""orange""",40,"""bare""",0,"f"
5,"""orange""",50,"""bare""",0,"f"
5,"""orange""",60,"""bare""",0,"f"
5,"""orange""",75,"""bare""",0,"f"
5,"""orange""",90,"""bare""",0,"f"
5,"""orange""",100,"""bare""",0,"f"
6,"""orange""",0,"""might""",0.03,"f"
6,"""orange""",10,"""might""",0.05,"f"
6,"""orange""",25,"""might""",0.16,"f"
6,"""orange""",40,"""might""",0.5,"f"
6,"""orange""",50,"""might""",0.48,"f"
6,"""orange""",60,"""might""",0.7,"f"
6,"""orange""",75,"""might""",0.57,"f"
6,"""orange""",90,"""might""",0.24,"f"
6,"""orange""",100,"""might""",0.04,"f"
6,"""blue""",0,"""probably""",0.04,"f"
6,"""blue""",10,"""probably""",0.03,"f"
6,"""blue""",25,"""probably""",0.02,"f"
6,"""blue""",40,"""probably""",0.01,"f"
6,"""blue""",50,"""probably""",0.02,"f"
6,"""blue""",60,"""probably""",0.29,"f"
6,"""blue""",75,"""probably""",0.71,"f"
6,"""blue""",90,"""probably""",0.97,"f"
6,"""blue""",100,"""probably""",0.02,"f"
6,"""blue""",0,"""bare""",0.06,"f"
6,"""blue""",10,"""bare""",0.05,"f"
6,"""blue""",25,"""bare""",0.03,"f"
