"workerid","color","percentage_blue","modal","rating","speaker_cond"
0,"""blue""",0,"""bare""",0,"f"
0,"""blue""",10,"""bare""",0,"f"
0,"""blue""",25,"""bare""",0,"f"
0,"""blue""",40,"""bare""",0,"f"
0,"""blue""",50,"""bare""",0,"f"
0,"""blue""",60,"""bare""",0,"f"
0,"""blue""",75,"""bare""",0.5,"f"
0,"""blue""",90,"""bare""",0.74,"f"
0,"""blue""",100,"""bare""",1,"f"
0,"""orange""",0,"""probably""",0,"f"
0,"""orange""",10,"""probably""",1,"f"
0,"""orange""",25,"""probably""",0.73,"f"
0,"""orange""",40,"""probably""",0.19,"f"
0,"""orange""",50,"""probably""",0,"f"
0,"""orange""",60,"""probably""",0,"f"
0,"""orange""",75,"""probably""",0,"f"
0,"""orange""",90,"""probably""",0,"f"
0,"""orange""",100,"""probably""",0,"f"
0,"""blue""",0,"""might""",0,"f"
0,"""blue""",10,"""might""",1,"f"
0,"""blue""",25,"""might""",1,"f"
0,"""blue""",40,"""might""",0.49,"f"
0,"""blue""",50,"""might""",0,"f"
0,"""blue""",60,"""might""",0,"f"
0,"""blue""",75,"""might""",0,"f"
0,"""blue""",90,"""might""",0,"f"
0,"""blue""",100,"""might""",0,"f"
0,"""orange""",0,"""might""",0,"f"
0,"""orange""",10,"""might""",0,"f"
0,"""orange""",25,"""might""",0,"f"
0,"""orange""",40,"""might""",0,"f"
0,"""orange""",50,"""might""",0,"f"
0,"""orange""",60,"""might""",0.33,"f"
0,"""orange""",75,"""might""",0.6,"f"
0,"""orange""",90,"""might""",0.86,"f"
0,"""orange""",100,"""might""",0,"f"
0,"""orange""",0,"""bare""",1,"f"
0,"""orange""",10,"""bare""",0,"f"
0,"""orange""",25,"""bare""",0,"f"
0,"""orange""",40,"""bare""",0,"f"
0,"""orange""",50,"""bare""",0,"f"
0,"""orange""",60,"""bare""",0,"f"
0,"""orange""",75,"""bare""",0,"f"
0,"""orange""",90,"""bare""",0,"f"
0,"""orange""",100,"""bare""",0,"f"
0,"""blue""",0,"""probably""",0,"f"
0,"""blue""",10,"""probably""",0,"f"
0,"""blue""",25,"""probably""",0,"f"
0,"""blue""",40,"""probably""",0,"f"
0,"""blue""",50,"""probably""",0,"f"
0,"""blue""",60,"""probably""",0.49,"f"
0,"""blue""",75,"""probably""",1,"f"
0,"""blue""",90,"""probably""",1,"f"
0,"""blue""",100,"""probably""",0,"f"
1,"""orange""",0,"""bare""",0.96,"m"
1,"""orange""",10,"""bare""",0.81,"m"
1,"""orange""",25,"""bare""",0.61,"m"
1,"""orange""",40,"""bare""",0.57,"m"
1,"""orange""",50,"""bare""",0.57,"m"
1,"""orange""",60,"""bare""",0.61,"m"
1,"""orange""",75,"""bare""",0.46,"m"
1,"""orange""",90,"""bare""",0.37,"m"
1,"""orange""",100,"""bare""",0.03,"m"
1,"""orange""",0,"""probably""",0.22,"m"
1,"""orange""",10,"""probably""",0.33,"m"
1,"""orange""",25,"""probably""",0.39,"m"
1,"""orange""",40,"""probably""",0.39,"m"
1,"""orange""",50,"""probably""",0.39,"m"
1,"""orange""",60,"""probably""",0.29,"m"
1,"""orange""",75,"""probably""",0.26,"m"
1,"""orange""",90,"""probably""",0.07,"m"
1,"""orange""",100,"""probably""",0.04,"m"
1,"""blue""",0,"""bare""",0.02,"m"
1,"""blue""",10,"""bare""",0.07,"m"
1,"""blue""",25,"""bare""",0.07,"m"
1,"""blue""",40,"""bare""",0.06,"m"
1,"""blue""",50,"""bare""",0.09,"m"
1,"""blue""",60,"""bare""",0.08,"m"
1,"""blue""",75,"""bare""",0.24,"m"
1,"""blue""",90,"""bare""",0.39,"m"
1,"""blue""",100,"""bare""",0.85,"m"
1,"""blue""",0,"""probably""",0.07,"m"
1,"""blue""",10,"""probably""",0.07,"m"
1,"""blue""",25,"""probably""",0.07,"m"
1,"""blue""",40,"""probably""",0.07,"m"
1,"""blue""",50,"""probably""",0.54,"m"
1,"""blue""",60,"""probably""",0.74,"m"
1,"""blue""",75,"""probably""",0.88,"m"
1,"""blue""",90,"""probably""",0.91,"m"
1,"""blue""",100,"""probably""",0.14,"m"
1,"""blue""",0,"""might""",0.08,"m"
1,"""blue""",10,"""might""",0.1,"m"
1,"""blue""",25,"""might""",0.08,"m"
1,"""blue""",40,"""might""",0.37,"m"
1,"""blue""",50,"""might""",0.43,"m"
1,"""blue""",60,"""might""",0.43,"m"
1,"""blue""",75,"""might""",0.19,"m"
1,"""blue""",90,"""might""",0.11,"m"
1,"""blue""",100,"""might""",0.04,"m"
1,"""orange""",0,"""might""",0.08,"m"
1,"""orange""",10,"""might""",0.14,"m"
1,"""orange""",25,"""might""",0.31,"m"
1,"""orange""",40,"""might""",0.34,"m"
1,"""orange""",50,"""might""",0.33,"m"
1,"""orange""",60,"""might""",0.29,"m"
1,"""orange""",75,"""might""",0.26,"m"
1,"""orange""",90,"""might""",0.23,"m"
1,"""orange""",100,"""might""",0.16,"m"
