"workerid","color","percentage_blue","modal","rating","speaker_cond"
0,"""blue""",0,"""bare""",0.05,"f"
0,"""blue""",10,"""bare""",0.03,"f"
0,"""blue""",25,"""bare""",0.03,"f"
0,"""blue""",40,"""bare""",0.06,"f"
0,"""blue""",50,"""bare""",0.04,"f"
0,"""blue""",60,"""bare""",0,"f"
0,"""blue""",75,"""bare""",0.11,"f"
0,"""blue""",90,"""bare""",0.16,"f"
0,"""blue""",100,"""bare""",1,"f"
0,"""blue""",0,"""might""",0,"f"
0,"""blue""",10,"""might""",0.16,"f"
0,"""blue""",25,"""might""",0.41,"f"
0,"""blue""",40,"""might""",0.8,"f"
0,"""blue""",50,"""might""",0.83,"f"
0,"""blue""",60,"""might""",0.85,"f"
0,"""blue""",75,"""might""",0.84,"f"
0,"""blue""",90,"""might""",0.24,"f"
0,"""blue""",100,"""might""",0.15,"f"
0,"""orange""",0,"""might""",0.14,"f"
0,"""orange""",10,"""might""",0.4,"f"
0,"""orange""",25,"""might""",0.7,"f"
0,"""orange""",40,"""might""",0.86,"f"
0,"""orange""",50,"""might""",0.87,"f"
0,"""orange""",60,"""might""",0.87,"f"
0,"""orange""",75,"""might""",0.79,"f"
0,"""orange""",90,"""might""",0.38,"f"
0,"""orange""",100,"""might""",0,"f"
0,"""orange""",0,"""bare""",0.97,"f"
0,"""orange""",10,"""bare""",0.16,"f"
0,"""orange""",25,"""bare""",0.03,"f"
0,"""orange""",40,"""bare""",0.05,"f"
0,"""orange""",50,"""bare""",0.05,"f"
0,"""orange""",60,"""bare""",0.06,"f"
0,"""orange""",75,"""bare""",0.05,"f"
0,"""orange""",90,"""bare""",0.08,"f"
0,"""orange""",100,"""bare""",0.08,"f"
0,"""blue""",0,"""probably""",0,"f"
0,"""blue""",10,"""probably""",0,"f"
0,"""blue""",25,"""probably""",0.18,"f"
0,"""blue""",40,"""probably""",0.2,"f"
0,"""blue""",50,"""probably""",0.49,"f"
0,"""blue""",60,"""probably""",0.49,"f"
0,"""blue""",75,"""probably""",0.84,"f"
0,"""blue""",90,"""probably""",0.91,"f"
0,"""blue""",100,"""probably""",0.1,"f"
0,"""orange""",0,"""probably""",0.12,"f"
0,"""orange""",10,"""probably""",0.94,"f"
0,"""orange""",25,"""probably""",0.93,"f"
0,"""orange""",40,"""probably""",0.78,"f"
0,"""orange""",50,"""probably""",0.55,"f"
0,"""orange""",60,"""probably""",0.55,"f"
0,"""orange""",75,"""probably""",0.22,"f"
0,"""orange""",90,"""probably""",0,"f"
0,"""orange""",100,"""probably""",0,"f"
1,"""orange""",0,"""probably""",0.1,"m"
1,"""orange""",10,"""probably""",0.66,"m"
1,"""orange""",25,"""probably""",0.55,"m"
1,"""orange""",40,"""probably""",0.41,"m"
1,"""orange""",50,"""probably""",0.2,"m"
1,"""orange""",60,"""probably""",0.13,"m"
1,"""orange""",75,"""probably""",0.01,"m"
1,"""orange""",90,"""probably""",0.07,"m"
1,"""orange""",100,"""probably""",0.05,"m"
1,"""orange""",0,"""bare""",0.99,"m"
1,"""orange""",10,"""bare""",0.64,"m"
1,"""orange""",25,"""bare""",0,"m"
1,"""orange""",40,"""bare""",0,"m"
1,"""orange""",50,"""bare""",0,"m"
1,"""orange""",60,"""bare""",0,"m"
1,"""orange""",75,"""bare""",0,"m"
1,"""orange""",90,"""bare""",0,"m"
1,"""orange""",100,"""bare""",0.02,"m"
1,"""blue""",0,"""probably""",0,"m"
1,"""blue""",10,"""probably""",0.02,"m"
1,"""blue""",25,"""probably""",0.03,"m"
1,"""blue""",40,"""probably""",0.02,"m"
1,"""blue""",50,"""probably""",0.15,"m"
1,"""blue""",60,"""probably""",0.23,"m"
1,"""blue""",75,"""probably""",0.62,"m"
1,"""blue""",90,"""probably""",0.61,"m"
1,"""blue""",100,"""probably""",0,"m"
1,"""blue""",0,"""might""",0,"m"
1,"""blue""",10,"""might""",0.05,"m"
1,"""blue""",25,"""might""",0.06,"m"
1,"""blue""",40,"""might""",0,"m"
1,"""blue""",50,"""might""",0.32,"m"
1,"""blue""",60,"""might""",0.42,"m"
1,"""blue""",75,"""might""",0.62,"m"
1,"""blue""",90,"""might""",0,"m"
1,"""blue""",100,"""might""",0,"m"
1,"""orange""",0,"""might""",0,"m"
1,"""orange""",10,"""might""",0.36,"m"
1,"""orange""",25,"""might""",0.64,"m"
1,"""orange""",40,"""might""",0.44,"m"
1,"""orange""",50,"""might""",0.32,"m"
1,"""orange""",60,"""might""",0,"m"
1,"""orange""",75,"""might""",0.05,"m"
1,"""orange""",90,"""might""",0.05,"m"
1,"""orange""",100,"""might""",0,"m"
1,"""blue""",0,"""bare""",0.04,"m"
1,"""blue""",10,"""bare""",0.04,"m"
1,"""blue""",25,"""bare""",0.01,"m"
1,"""blue""",40,"""bare""",0.02,"m"
1,"""blue""",50,"""bare""",0.02,"m"
1,"""blue""",60,"""bare""",0.29,"m"
1,"""blue""",75,"""bare""",0.56,"m"
1,"""blue""",90,"""bare""",0.78,"m"
1,"""blue""",100,"""bare""",1,"m"
