workerid,percentage_blue,rating,modal
0,0,0.39,"""noise"""
0,10,0.46,"""noise"""
0,25,0.42,"""noise"""
0,40,0.48,"""noise"""
0,50,0.39,"""noise"""
0,60,0.43,"""noise"""
0,75,0.49,"""noise"""
0,90,0.47,"""noise"""
0,100,0.48,"""noise"""
1,0,0.62,"""noise"""
1,10,0.36,"""noise"""
1,25,0.12,"""noise"""
1,40,0.88,"""noise"""
1,50,0.53,"""noise"""
1,60,0.49,"""noise"""
1,75,0.35,"""noise"""
1,90,0.74,"""noise"""
1,100,0.53,"""noise"""
2,0,0.26,"""noise"""
2,10,0.86,"""noise"""
2,25,0.73,"""noise"""
2,40,0.81,"""noise"""
2,50,0.73,"""noise"""
2,60,0.79,"""noise"""
2,75,0.81,"""noise"""
2,90,0.68,"""noise"""
2,100,0.79,"""noise"""
3,0,0.21,"""noise"""
3,10,0.31,"""noise"""
3,25,0.47,"""noise"""
3,40,0.86,"""noise"""
3,50,0.79,"""noise"""
3,60,0.73,"""noise"""
3,75,0.55,"""noise"""
3,90,0.39,"""noise"""
3,100,0.14,"""noise"""
4,0,0.56,"""noise"""
4,10,0.55,"""noise"""
4,25,0.57,"""noise"""
4,40,0.53,"""noise"""
4,50,0.49,"""noise"""
4,60,0.51,"""noise"""
4,75,0.52,"""noise"""
4,90,0.53,"""noise"""
4,100,0.5,"""noise"""
5,0,0.98,"""noise"""
5,10,0.77,"""noise"""
5,25,0.75,"""noise"""
5,40,0.52,"""noise"""
5,50,0.52,"""noise"""
5,60,0.72,"""noise"""
5,75,0.69,"""noise"""
5,90,0.83,"""noise"""
5,100,0.92,"""noise"""
6,0,0.35,"""noise"""
6,10,0.04,"""noise"""
6,25,0.06,"""noise"""
6,40,0.07,"""noise"""
6,50,0.06,"""noise"""
6,60,0.1,"""noise"""
6,75,0.26,"""noise"""
6,90,0.25,"""noise"""
6,100,0.12,"""noise"""
7,0,0.83,"""noise"""
7,10,0.83,"""noise"""
7,25,0.42,"""noise"""
7,40,0.16,"""noise"""
7,50,0.04,"""noise"""
7,60,0.13,"""noise"""
7,75,0.12,"""noise"""
7,90,0.11,"""noise"""
7,100,0.82,"""noise"""
8,0,0.82,"""noise"""
8,10,0.25,"""noise"""
8,25,0.23,"""noise"""
8,40,0.28,"""noise"""
8,50,0.26,"""noise"""
8,60,0.26,"""noise"""
8,75,0.22,"""noise"""
8,90,0.26,"""noise"""
8,100,0.82,"""noise"""
