"workerid","percentage_blue","rating","modal","speaker_cond"
0,0,0.54,"""noise""","f"
0,10,0.54,"""noise""","f"
0,25,0.57,"""noise""","f"
0,40,0.57,"""noise""","f"
0,50,0.52,"""noise""","f"
0,60,0.54,"""noise""","f"
0,75,0.5,"""noise""","f"
0,90,0.49,"""noise""","f"
0,100,0.55,"""noise""","f"
1,0,0.5,"""noise""","f"
1,10,0.48,"""noise""","f"
1,25,0.54,"""noise""","f"
1,40,0.55,"""noise""","f"
1,50,0.54,"""noise""","f"
1,60,0.56,"""noise""","f"
1,75,0.56,"""noise""","f"
1,90,0.62,"""noise""","f"
1,100,0.59,"""noise""","f"
2,0,0.7,"""noise""","f"
2,10,0.85,"""noise""","f"
2,25,0.81,"""noise""","f"
2,40,0.78,"""noise""","f"
2,50,0.58,"""noise""","f"
2,60,0.36,"""noise""","f"
2,75,0.34,"""noise""","f"
2,90,0.13,"""noise""","f"
2,100,0.11,"""noise""","f"
3,0,0.12,"""noise""","f"
3,10,0.2,"""noise""","f"
3,25,0.32,"""noise""","f"
3,40,0.43,"""noise""","f"
3,50,0.56,"""noise""","f"
3,60,0.93,"""noise""","f"
3,75,0.24,"""noise""","f"
3,90,0.15,"""noise""","f"
3,100,0.12,"""noise""","f"
4,0,0.1,"""noise""","f"
4,10,0.17,"""noise""","f"
4,25,0.18,"""noise""","f"
4,40,0.09,"""noise""","f"
4,50,0.16,"""noise""","f"
4,60,0.15,"""noise""","f"
4,75,0.09,"""noise""","f"
4,90,0.18,"""noise""","f"
4,100,0.13,"""noise""","f"
5,0,0.37,"""noise""","f"
5,10,0.55,"""noise""","f"
5,25,0.69,"""noise""","f"
5,40,0.64,"""noise""","f"
5,50,0.83,"""noise""","f"
5,60,0.58,"""noise""","f"
5,75,0.55,"""noise""","f"
5,90,0.42,"""noise""","f"
5,100,0.35,"""noise""","f"
6,0,0,"""noise""","f"
6,10,0.28,"""noise""","f"
6,25,0.3,"""noise""","f"
6,40,0.53,"""noise""","f"
6,50,0.44,"""noise""","f"
6,60,0.64,"""noise""","f"
6,75,0.58,"""noise""","f"
6,90,0.64,"""noise""","f"
6,100,0,"""noise""","f"
7,0,0.53,"""noise""","f"
7,10,0.56,"""noise""","f"
7,25,0.57,"""noise""","f"
7,40,0.54,"""noise""","f"
7,50,0.57,"""noise""","f"
7,60,0.56,"""noise""","f"
7,75,0.57,"""noise""","f"
7,90,0.53,"""noise""","f"
7,100,0.52,"""noise""","f"
8,0,0.46,"""noise""","f"
8,10,0.52,"""noise""","f"
8,25,0.51,"""noise""","f"
8,40,0.49,"""noise""","f"
8,50,0.55,"""noise""","f"
8,60,0.57,"""noise""","f"
8,75,0.54,"""noise""","f"
8,90,0.58,"""noise""","f"
8,100,0.51,"""noise""","f"
9,0,0.92,"""noise""","f"
9,10,0.8,"""noise""","f"
9,25,0.75,"""noise""","f"
9,40,0.72,"""noise""","f"
9,50,0.45,"""noise""","f"
9,60,0.33,"""noise""","f"
9,75,0.37,"""noise""","f"
9,90,0.2,"""noise""","f"
9,100,0.18,"""noise""","f"
10,0,0.62,"""noise""","f"
10,10,0.51,"""noise""","f"
10,25,0.66,"""noise""","f"
10,40,0.54,"""noise""","f"
10,50,0.57,"""noise""","f"
10,60,0.52,"""noise""","f"
10,75,0.49,"""noise""","f"
10,90,0.54,"""noise""","f"
10,100,0.51,"""noise""","f"
11,0,0.97,"""noise""","f"
11,10,0.68,"""noise""","f"
11,25,0.52,"""noise""","f"
11,40,0.41,"""noise""","f"
11,50,0.45,"""noise""","f"
11,60,0.49,"""noise""","f"
11,75,0.49,"""noise""","f"
11,90,0.55,"""noise""","f"
11,100,0.99,"""noise""","f"
12,0,0.36,"""noise""","f"
12,10,0.29,"""noise""","f"
12,25,0.34,"""noise""","f"
12,40,0.49,"""noise""","f"
12,50,0.47,"""noise""","f"
12,60,0.44,"""noise""","f"
12,75,0.51,"""noise""","f"
12,90,0.56,"""noise""","f"
12,100,0.57,"""noise""","f"
13,0,0.49,"""noise""","f"
13,10,0.47,"""noise""","f"
13,25,0.42,"""noise""","f"
13,40,0.52,"""noise""","f"
13,50,0.54,"""noise""","f"
13,60,0.51,"""noise""","f"
13,75,0.47,"""noise""","f"
13,90,0.44,"""noise""","f"
13,100,0.5,"""noise""","f"
14,0,0.64,"""noise""","f"
14,10,0.56,"""noise""","f"
14,25,0.48,"""noise""","f"
14,40,0.5,"""noise""","f"
14,50,0.51,"""noise""","f"
14,60,0.49,"""noise""","f"
14,75,0.5,"""noise""","f"
14,90,0.54,"""noise""","f"
14,100,0.63,"""noise""","f"
15,0,0.95,"""noise""","f"
15,10,0.85,"""noise""","f"
15,25,0.48,"""noise""","f"
15,40,0.28,"""noise""","f"
15,50,0.23,"""noise""","f"
15,60,0.26,"""noise""","f"
15,75,0.46,"""noise""","f"
15,90,0.77,"""noise""","f"
15,100,1,"""noise""","f"
16,0,0.19,"""noise""","f"
16,10,0.42,"""noise""","f"
16,25,0.62,"""noise""","f"
16,40,0.33,"""noise""","f"
16,50,0.76,"""noise""","f"
16,60,0.73,"""noise""","f"
16,75,0.71,"""noise""","f"
16,90,0.45,"""noise""","f"
16,100,0.16,"""noise""","f"
17,0,0.58,"""noise""","f"
17,10,0.56,"""noise""","f"
17,25,0.59,"""noise""","f"
17,40,0.48,"""noise""","f"
17,50,0.49,"""noise""","f"
17,60,0.37,"""noise""","f"
17,75,0.44,"""noise""","f"
17,90,0.19,"""noise""","f"
17,100,0.11,"""noise""","f"
18,0,0.51,"""noise""","f"
18,10,0.55,"""noise""","f"
