"workerid","percentage_blue","rating","modal","speaker_cond"
0,0,0.18,"""noise""","f"
0,10,0.26,"""noise""","f"
0,25,0.2,"""noise""","f"
0,40,0.37,"""noise""","f"
0,50,0.32,"""noise""","f"
0,60,0.28,"""noise""","f"
0,75,0.27,"""noise""","f"
0,90,0.32,"""noise""","f"
0,100,0.32,"""noise""","f"
1,0,0,"""noise""","m"
1,10,0.32,"""noise""","m"
1,25,0.45,"""noise""","m"
1,40,0.51,"""noise""","m"
1,50,0.66,"""noise""","m"
1,60,0.8,"""noise""","m"
1,75,0.72,"""noise""","m"
1,90,0.55,"""noise""","m"
1,100,0.25,"""noise""","m"
