"workerid","percentage_blue","rating","modal","speaker_cond"
0,0,0.96,"""noise""","f"
0,10,0.57,"""noise""","f"
0,25,0.34,"""noise""","f"
0,40,0.78,"""noise""","f"
0,50,0.49,"""noise""","f"
0,60,0.41,"""noise""","f"
0,75,0.8,"""noise""","f"
0,90,0.78,"""noise""","f"
0,100,0.26,"""noise""","f"
1,0,0.55,"""noise""","m"
1,10,0.59,"""noise""","m"
1,25,0.56,"""noise""","m"
1,40,0.57,"""noise""","m"
1,50,0.53,"""noise""","m"
1,60,0.53,"""noise""","m"
1,75,0.47,"""noise""","m"
1,90,0.49,"""noise""","m"
1,100,0.53,"""noise""","m"
