workerid,color,percentage_blue,modal,rating
0,"""orange""",0,"""might""",0.92
0,"""orange""",10,"""might""",0.91
0,"""orange""",25,"""might""",0.83
0,"""orange""",40,"""might""",0.8
0,"""orange""",50,"""might""",0.93
0,"""orange""",60,"""might""",0.93
0,"""orange""",75,"""might""",0.84
0,"""orange""",90,"""might""",0.99
0,"""orange""",100,"""might""",0.93
0,"""orange""",0,"""probably""",0.96
0,"""orange""",10,"""probably""",0.97
0,"""orange""",25,"""probably""",0.93
0,"""orange""",40,"""probably""",0.03
0,"""orange""",50,"""probably""",0.05
0,"""orange""",60,"""probably""",0.02
0,"""orange""",75,"""probably""",0.01
0,"""orange""",90,"""probably""",0
0,"""orange""",100,"""probably""",0.04
0,"""blue""",0,"""might""",0.02
0,"""blue""",10,"""might""",0.04
0,"""blue""",25,"""might""",0.05
0,"""blue""",40,"""might""",0.04
0,"""blue""",50,"""might""",0.03
0,"""blue""",60,"""might""",0.04
0,"""blue""",75,"""might""",0.91
0,"""blue""",90,"""might""",0.96
0,"""blue""",100,"""might""",0.98
0,"""blue""",0,"""probably""",0.08
0,"""blue""",10,"""probably""",0.06
0,"""blue""",25,"""probably""",0.08
0,"""blue""",40,"""probably""",0.06
0,"""blue""",50,"""probably""",0.04
0,"""blue""",60,"""probably""",0.03
0,"""blue""",75,"""probably""",0.96
0,"""blue""",90,"""probably""",0.98
0,"""blue""",100,"""probably""",0.95
0,"""orange""",0,"""bare""",0.99
0,"""orange""",10,"""bare""",0.99
0,"""orange""",25,"""bare""",0
0,"""orange""",40,"""bare""",0.06
0,"""orange""",50,"""bare""",0.06
0,"""orange""",60,"""bare""",0.01
0,"""orange""",75,"""bare""",0.04
0,"""orange""",90,"""bare""",0.05
0,"""orange""",100,"""bare""",0.03
0,"""blue""",0,"""bare""",0
0,"""blue""",10,"""bare""",0.06
0,"""blue""",25,"""bare""",0.07
0,"""blue""",40,"""bare""",0.06
0,"""blue""",50,"""bare""",0.09
0,"""blue""",60,"""bare""",0.04
0,"""blue""",75,"""bare""",0.08
0,"""blue""",90,"""bare""",0.93
0,"""blue""",100,"""bare""",0.96
1,"""orange""",0,"""bare""",0.96
1,"""orange""",10,"""bare""",0.39
1,"""orange""",25,"""bare""",0.02
1,"""orange""",40,"""bare""",0.03
1,"""orange""",50,"""bare""",0.07
1,"""orange""",60,"""bare""",0.05
1,"""orange""",75,"""bare""",0.05
1,"""orange""",90,"""bare""",0.05
1,"""orange""",100,"""bare""",0.03
1,"""orange""",0,"""might""",0.04
1,"""orange""",10,"""might""",0.97
1,"""orange""",25,"""might""",0.99
1,"""orange""",40,"""might""",0.56
1,"""orange""",50,"""might""",0.28
1,"""orange""",60,"""might""",0.03
1,"""orange""",75,"""might""",0.07
1,"""orange""",90,"""might""",0.01
1,"""orange""",100,"""might""",0.06
1,"""orange""",0,"""probably""",0.07
1,"""orange""",10,"""probably""",0.89
1,"""orange""",25,"""probably""",1
1,"""orange""",40,"""probably""",0.7
1,"""orange""",50,"""probably""",0.26
1,"""orange""",60,"""probably""",0.17
1,"""orange""",75,"""probably""",0.13
1,"""orange""",90,"""probably""",0.03
1,"""orange""",100,"""probably""",0.03
1,"""blue""",0,"""bare""",0
1,"""blue""",10,"""bare""",0
1,"""blue""",25,"""bare""",0
1,"""blue""",40,"""bare""",0
1,"""blue""",50,"""bare""",0
1,"""blue""",60,"""bare""",0.57
1,"""blue""",75,"""bare""",0.76
1,"""blue""",90,"""bare""",1
1,"""blue""",100,"""bare""",1
1,"""blue""",0,"""might""",0
1,"""blue""",10,"""might""",0
1,"""blue""",25,"""might""",0.16
1,"""blue""",40,"""might""",0.53
1,"""blue""",50,"""might""",1
1,"""blue""",60,"""might""",1
1,"""blue""",75,"""might""",0.76
1,"""blue""",90,"""might""",0.3
1,"""blue""",100,"""might""",0
