"workerid","color","percentage_blue","modal","rating","speaker_cond"
0,"""blue""",0,"""might""",0.89,"f"
0,"""blue""",10,"""might""",0.42,"f"
0,"""blue""",25,"""might""",0.48,"f"
0,"""blue""",40,"""might""",0.82,"f"
0,"""blue""",50,"""might""",0.76,"f"
0,"""blue""",60,"""might""",0.95,"f"
0,"""blue""",75,"""might""",0.77,"f"
0,"""blue""",90,"""might""",0.93,"f"
0,"""blue""",100,"""might""",0.76,"f"
0,"""orange""",0,"""bare""",0.63,"f"
0,"""orange""",10,"""bare""",0.83,"f"
0,"""orange""",25,"""bare""",0.76,"f"
0,"""orange""",40,"""bare""",0.67,"f"
0,"""orange""",50,"""bare""",0.59,"f"
0,"""orange""",60,"""bare""",0.76,"f"
0,"""orange""",75,"""bare""",0.71,"f"
0,"""orange""",90,"""bare""",0.85,"f"
0,"""orange""",100,"""bare""",0.73,"f"
0,"""orange""",0,"""probably""",0.89,"f"
0,"""orange""",10,"""probably""",0.66,"f"
0,"""orange""",25,"""probably""",0.61,"f"
0,"""orange""",40,"""probably""",0.78,"f"
0,"""orange""",50,"""probably""",0.8,"f"
0,"""orange""",60,"""probably""",0.7,"f"
0,"""orange""",75,"""probably""",0.95,"f"
0,"""orange""",90,"""probably""",0.64,"f"
0,"""orange""",100,"""probably""",0.8,"f"
0,"""blue""",0,"""bare""",0.89,"f"
0,"""blue""",10,"""bare""",0.92,"f"
0,"""blue""",25,"""bare""",0.73,"f"
0,"""blue""",40,"""bare""",0.81,"f"
0,"""blue""",50,"""bare""",0.62,"f"
0,"""blue""",60,"""bare""",0.86,"f"
0,"""blue""",75,"""bare""",0.7,"f"
0,"""blue""",90,"""bare""",0.86,"f"
0,"""blue""",100,"""bare""",0.68,"f"
0,"""orange""",0,"""might""",0.8,"f"
0,"""orange""",10,"""might""",0.95,"f"
0,"""orange""",25,"""might""",0.76,"f"
0,"""orange""",40,"""might""",0.86,"f"
0,"""orange""",50,"""might""",0.66,"f"
0,"""orange""",60,"""might""",0.62,"f"
0,"""orange""",75,"""might""",0.87,"f"
0,"""orange""",90,"""might""",0.67,"f"
0,"""orange""",100,"""might""",0.88,"f"
0,"""blue""",0,"""probably""",0.66,"f"
0,"""blue""",10,"""probably""",0.84,"f"
0,"""blue""",25,"""probably""",0.64,"f"
0,"""blue""",40,"""probably""",0.76,"f"
0,"""blue""",50,"""probably""",0.68,"f"
0,"""blue""",60,"""probably""",0.78,"f"
0,"""blue""",75,"""probably""",0.56,"f"
0,"""blue""",90,"""probably""",0.94,"f"
0,"""blue""",100,"""probably""",0.58,"f"
1,"""orange""",0,"""might""",0,"m"
1,"""orange""",10,"""might""",0,"m"
1,"""orange""",25,"""might""",0.21,"m"
1,"""orange""",40,"""might""",0.3,"m"
1,"""orange""",50,"""might""",0.71,"m"
1,"""orange""",60,"""might""",0.83,"m"
1,"""orange""",75,"""might""",1,"m"
1,"""orange""",90,"""might""",1,"m"
1,"""orange""",100,"""might""",0,"m"
1,"""orange""",0,"""bare""",1,"m"
1,"""orange""",10,"""bare""",0.74,"m"
1,"""orange""",25,"""bare""",0.62,"m"
1,"""orange""",40,"""bare""",0.34,"m"
1,"""orange""",50,"""bare""",0.14,"m"
1,"""orange""",60,"""bare""",0,"m"
1,"""orange""",75,"""bare""",0,"m"
1,"""orange""",90,"""bare""",0,"m"
1,"""orange""",100,"""bare""",0,"m"
1,"""orange""",0,"""probably""",0,"m"
1,"""orange""",10,"""probably""",0.79,"m"
1,"""orange""",25,"""probably""",0.81,"m"
1,"""orange""",40,"""probably""",0.83,"m"
1,"""orange""",50,"""probably""",0.87,"m"
1,"""orange""",60,"""probably""",0.55,"m"
1,"""orange""",75,"""probably""",0.3,"m"
1,"""orange""",90,"""probably""",0.07,"m"
1,"""orange""",100,"""probably""",0,"m"
1,"""blue""",0,"""might""",0,"m"
1,"""blue""",10,"""might""",0.61,"m"
1,"""blue""",25,"""might""",0.77,"m"
1,"""blue""",40,"""might""",1,"m"
1,"""blue""",50,"""might""",1,"m"
1,"""blue""",60,"""might""",0.85,"m"
1,"""blue""",75,"""might""",0.67,"m"
1,"""blue""",90,"""might""",0.31,"m"
1,"""blue""",100,"""might""",0,"m"
1,"""blue""",0,"""bare""",0,"m"
1,"""blue""",10,"""bare""",0,"m"
1,"""blue""",25,"""bare""",0,"m"
1,"""blue""",40,"""bare""",0.13,"m"
1,"""blue""",50,"""bare""",0.19,"m"
1,"""blue""",60,"""bare""",0.18,"m"
1,"""blue""",75,"""bare""",0.51,"m"
1,"""blue""",90,"""bare""",0.68,"m"
1,"""blue""",100,"""bare""",1,"m"
1,"""blue""",0,"""probably""",0,"m"
1,"""blue""",10,"""probably""",0,"m"
1,"""blue""",25,"""probably""",0.07,"m"
1,"""blue""",40,"""probably""",0.11,"m"
1,"""blue""",50,"""probably""",0.22,"m"
1,"""blue""",60,"""probably""",0.53,"m"
1,"""blue""",75,"""probably""",0.7,"m"
1,"""blue""",90,"""probably""",1,"m"
1,"""blue""",100,"""probably""",0,"m"
