workerid,color,percentage_blue,modal,rating
0,"""blue""",0,"""might""",0.89
0,"""blue""",10,"""might""",0.42
0,"""blue""",25,"""might""",0.48
0,"""blue""",40,"""might""",0.82
0,"""blue""",50,"""might""",0.76
0,"""blue""",60,"""might""",0.95
0,"""blue""",75,"""might""",0.77
0,"""blue""",90,"""might""",0.93
0,"""blue""",100,"""might""",0.76
0,"""orange""",0,"""bare""",0.63
0,"""orange""",10,"""bare""",0.83
0,"""orange""",25,"""bare""",0.76
0,"""orange""",40,"""bare""",0.67
0,"""orange""",50,"""bare""",0.59
0,"""orange""",60,"""bare""",0.76
0,"""orange""",75,"""bare""",0.71
0,"""orange""",90,"""bare""",0.85
0,"""orange""",100,"""bare""",0.73
0,"""orange""",0,"""probably""",0.89
0,"""orange""",10,"""probably""",0.66
0,"""orange""",25,"""probably""",0.61
0,"""orange""",40,"""probably""",0.78
0,"""orange""",50,"""probably""",0.8
0,"""orange""",60,"""probably""",0.7
0,"""orange""",75,"""probably""",0.95
0,"""orange""",90,"""probably""",0.64
0,"""orange""",100,"""probably""",0.8
0,"""blue""",0,"""bare""",0.89
0,"""blue""",10,"""bare""",0.92
0,"""blue""",25,"""bare""",0.73
0,"""blue""",40,"""bare""",0.81
0,"""blue""",50,"""bare""",0.62
0,"""blue""",60,"""bare""",0.86
0,"""blue""",75,"""bare""",0.7
0,"""blue""",90,"""bare""",0.86
0,"""blue""",100,"""bare""",0.68
0,"""orange""",0,"""might""",0.8
0,"""orange""",10,"""might""",0.95
0,"""orange""",25,"""might""",0.76
0,"""orange""",40,"""might""",0.86
0,"""orange""",50,"""might""",0.66
0,"""orange""",60,"""might""",0.62
0,"""orange""",75,"""might""",0.87
0,"""orange""",90,"""might""",0.67
0,"""orange""",100,"""might""",0.88
0,"""blue""",0,"""probably""",0.66
0,"""blue""",10,"""probably""",0.84
0,"""blue""",25,"""probably""",0.64
0,"""blue""",40,"""probably""",0.76
0,"""blue""",50,"""probably""",0.68
0,"""blue""",60,"""probably""",0.78
0,"""blue""",75,"""probably""",0.56
0,"""blue""",90,"""probably""",0.94
0,"""blue""",100,"""probably""",0.58
