"workerid","color","percentage_blue","modal","rating","speaker_cond"
0,"""orange""",0,"""might""",0,"f"
0,"""orange""",10,"""might""",0,"f"
0,"""orange""",25,"""might""",0.23,"f"
0,"""orange""",40,"""might""",1,"f"
0,"""orange""",50,"""might""",1,"f"
0,"""orange""",60,"""might""",1,"f"
0,"""orange""",75,"""might""",0.45,"f"
0,"""orange""",90,"""might""",0.06,"f"
0,"""orange""",100,"""might""",0,"f"
0,"""orange""",0,"""bare""",1,"f"
0,"""orange""",10,"""bare""",0,"f"
0,"""orange""",25,"""bare""",0,"f"
0,"""orange""",40,"""bare""",0,"f"
0,"""orange""",50,"""bare""",0,"f"
0,"""orange""",60,"""bare""",0,"f"
0,"""orange""",75,"""bare""",0,"f"
0,"""orange""",90,"""bare""",0,"f"
0,"""orange""",100,"""bare""",0,"f"
0,"""orange""",0,"""probably""",0,"f"
0,"""orange""",10,"""probably""",1,"f"
0,"""orange""",25,"""probably""",1,"f"
0,"""orange""",40,"""probably""",0.37,"f"
0,"""orange""",50,"""probably""",0.02,"f"
0,"""orange""",60,"""probably""",0,"f"
0,"""orange""",75,"""probably""",0,"f"
0,"""orange""",90,"""probably""",0,"f"
0,"""orange""",100,"""probably""",0,"f"
0,"""blue""",0,"""probably""",0,"f"
0,"""blue""",10,"""probably""",0,"f"
0,"""blue""",25,"""probably""",0,"f"
0,"""blue""",40,"""probably""",0,"f"
0,"""blue""",50,"""probably""",0.27,"f"
0,"""blue""",60,"""probably""",0.67,"f"
0,"""blue""",75,"""probably""",1,"f"
0,"""blue""",90,"""probably""",1,"f"
0,"""blue""",100,"""probably""",0,"f"
0,"""blue""",0,"""bare""",0,"f"
0,"""blue""",10,"""bare""",0,"f"
0,"""blue""",25,"""bare""",0,"f"
0,"""blue""",40,"""bare""",0,"f"
0,"""blue""",50,"""bare""",0,"f"
0,"""blue""",60,"""bare""",0,"f"
0,"""blue""",75,"""bare""",0,"f"
0,"""blue""",90,"""bare""",0,"f"
0,"""blue""",100,"""bare""",1,"f"
0,"""blue""",0,"""might""",0.03,"f"
0,"""blue""",10,"""might""",0,"f"
0,"""blue""",25,"""might""",0.01,"f"
0,"""blue""",40,"""might""",1,"f"
0,"""blue""",50,"""might""",1,"f"
0,"""blue""",60,"""might""",1,"f"
0,"""blue""",75,"""might""",0.68,"f"
0,"""blue""",90,"""might""",0,"f"
0,"""blue""",100,"""might""",0,"f"
1,"""orange""",0,"""probably""",0.01,"m"
1,"""orange""",10,"""probably""",0.8,"m"
1,"""orange""",25,"""probably""",0.58,"m"
1,"""orange""",40,"""probably""",0.11,"m"
1,"""orange""",50,"""probably""",0.07,"m"
1,"""orange""",60,"""probably""",0.03,"m"
1,"""orange""",75,"""probably""",0.07,"m"
1,"""orange""",90,"""probably""",0.11,"m"
1,"""orange""",100,"""probably""",0.11,"m"
1,"""blue""",0,"""probably""",0.11,"m"
1,"""blue""",10,"""probably""",0.06,"m"
1,"""blue""",25,"""probably""",0.09,"m"
1,"""blue""",40,"""probably""",0.07,"m"
1,"""blue""",50,"""probably""",0.16,"m"
1,"""blue""",60,"""probably""",0.98,"m"
1,"""blue""",75,"""probably""",1,"m"
1,"""blue""",90,"""probably""",0.89,"m"
1,"""blue""",100,"""probably""",0.14,"m"
1,"""orange""",0,"""bare""",0.91,"m"
1,"""orange""",10,"""bare""",0.11,"m"
1,"""orange""",25,"""bare""",0.14,"m"
1,"""orange""",40,"""bare""",0.16,"m"
1,"""orange""",50,"""bare""",0.14,"m"
1,"""orange""",60,"""bare""",0.12,"m"
1,"""orange""",75,"""bare""",0.05,"m"
1,"""orange""",90,"""bare""",0.16,"m"
1,"""orange""",100,"""bare""",0.09,"m"
1,"""blue""",0,"""might""",0.08,"m"
1,"""blue""",10,"""might""",0.17,"m"
1,"""blue""",25,"""might""",0.17,"m"
1,"""blue""",40,"""might""",0.09,"m"
1,"""blue""",50,"""might""",0.11,"m"
1,"""blue""",60,"""might""",0.7,"m"
1,"""blue""",75,"""might""",0.84,"m"
1,"""blue""",90,"""might""",0.87,"m"
1,"""blue""",100,"""might""",0.01,"m"
1,"""orange""",0,"""might""",0.06,"m"
1,"""orange""",10,"""might""",0.97,"m"
1,"""orange""",25,"""might""",0.82,"m"
1,"""orange""",40,"""might""",0.78,"m"
1,"""orange""",50,"""might""",0.14,"m"
1,"""orange""",60,"""might""",0.09,"m"
1,"""orange""",75,"""might""",0.03,"m"
1,"""orange""",90,"""might""",0.03,"m"
1,"""orange""",100,"""might""",0.09,"m"
1,"""blue""",0,"""bare""",0.09,"m"
1,"""blue""",10,"""bare""",0.06,"m"
1,"""blue""",25,"""bare""",0.07,"m"
1,"""blue""",40,"""bare""",0.09,"m"
1,"""blue""",50,"""bare""",0.11,"m"
1,"""blue""",60,"""bare""",0.1,"m"
1,"""blue""",75,"""bare""",0.11,"m"
1,"""blue""",90,"""bare""",0.06,"m"
1,"""blue""",100,"""bare""",0.9,"m"
