"","pair","reverse_sent_order","sentence1","sentence2","modal1","modal2","rating1","rating2","rating_other","percentage_blue","color","xxx","catch_trial","catch_trial_answer_correct","speaker","condition","phase","language","gender","age","misread_instructions","trial","subjectid","date"
"1","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.5,0.5,0,25,"blue",1,0,-1,"m","confident_f","pre_exposure","German","m",28,0,0,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"2","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.48,0.52,0,40,"orange",1,0,-1,"f","confident_f","pre_exposure","German","m",28,0,1,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"3","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",1,0,0,90,"blue",1,1,1,"f","confident_f","pre_exposure","German","m",28,0,2,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"4","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",1,0,0,75,"blue",1,0,-1,"m","confident_f","pre_exposure","German","m",28,0,3,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"5","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",1,0,0,90,"orange",1,1,1,"m","confident_f","pre_exposure","German","m",28,0,4,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"6","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0,1,0,40,"orange",1,0,-1,"m","confident_f","pre_exposure","German","m",28,0,5,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"7","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0,1,0,75,"orange",1,1,1,"f","confident_f","pre_exposure","German","m",28,0,6,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"8","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0,1,0,50,"orange",1,0,-1,"m","confident_f","pre_exposure","German","m",28,0,7,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"9","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0,1,0,100,"blue",1,1,1,"m","confident_f","pre_exposure","German","m",28,0,8,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"10","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",1,0,0,10,"blue",1,0,-1,"m","confident_f","pre_exposure","German","m",28,0,9,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
