"","catch_trial","image","video","modal","color","percentage_blue","show_cross","catch_trial_answer_correct","language","gender","age","misread_instructions","trial","subjectid","date"
"1",0,"scene_orange_video_40.gif","orange_might_m","might","orange",40,-1,-1,"German","m",28,0,0,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"2",1,"scene_blue_video_100.gif","blue_bare_f","bare","blue",100,0,1,"German","m",28,0,1,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"3",0,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,-1,-1,"German","m",28,0,2,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"4",0,"scene_blue_video_25.gif","blue_might_f","might","blue",25,-1,-1,"German","m",28,0,3,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"5",0,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,-1,-1,"German","m",28,0,4,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"6",0,"scene_orange_video_40.gif","orange_probably_f","probably","orange",40,-1,-1,"German","m",28,0,5,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"7",0,"scene_blue_video_100.gif","blue_bare_f","bare","blue",100,-1,-1,"German","m",28,0,6,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"8",0,"scene_blue_video_25.gif","blue_might_f","might","blue",25,-1,-1,"German","m",28,0,7,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"9",0,"scene_orange_video_40.gif","orange_probably_f","probably","orange",40,-1,-1,"German","m",28,0,8,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"10",1,"scene_blue_video_100.gif","blue_bare_f","bare","blue",100,1,1,"German","m",28,0,9,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
