modal,percentage_blue,cond,rating_pred,run
bare,0,all,0.0,0
might,0,all,0.0,0
probably,0,all,0.0,0
bare_not,0,all,1.0,0
bare,5,all,0.0,0
might,5,all,0.99999996516,0
probably,5,all,0.0,0
bare_not,5,all,3.48400337395e-08,0
bare,10,all,8.98091553667e-302,0
might,10,all,1.0,0
probably,10,all,0.0,0
bare_not,10,all,3.1944129068e-15,0
bare,15,all,7.27755905645e-249,0
might,15,all,1.0,0
probably,15,all,0.0,0
bare_not,15,all,8.23193276926e-17,0
bare,20,all,2.53124080027e-211,0
might,20,all,1.0,0
probably,20,all,0.0,0
bare_not,20,all,9.27601944363e-17,0
bare,25,all,3.29962188891e-182,0
might,25,all,1.0,0
probably,25,all,0.0,0
bare_not,25,all,1.0025726103e-16,0
bare,30,all,2.00579899824e-158,0
might,30,all,1.0,0
probably,30,all,0.0,0
bare_not,30,all,1.05103552039e-16,0
bare,35,all,2.55639215296e-138,0
might,35,all,1.0,0
probably,35,all,0.0,0
bare_not,35,all,1.07972350795e-16,0
bare,40,all,6.63551820273e-121,0
might,40,all,1.0,0
probably,40,all,0.0,0
bare_not,40,all,1.09547492684e-16,0
bare,45,all,1.52087182346e-105,0
might,45,all,1.0,0
probably,45,all,0.0,0
bare_not,45,all,1.10355027809e-16,0
bare,50,all,8.37912898301e-92,0
might,50,all,1.0,0
probably,50,all,0.0,0
bare_not,50,all,1.10741798844e-16,0
bare,55,all,2.26626677586e-79,0
might,55,all,1.0,0
probably,55,all,0.0,0
bare_not,55,all,1.10913988021e-16,0
bare,60,all,2.54932981557e-68,0
might,60,all,0.000340390384094,0
probably,60,all,0.999659609616,0
bare_not,60,all,5.5501701892e-17,0
bare,65,all,1.08838384371e-57,0
might,65,all,0.000340390384094,0
probably,65,all,0.999659609616,0
bare_not,65,all,8.4876126402e-17,0
bare,70,all,6.23520680166e-48,0
might,70,all,0.000340390384094,0
probably,70,all,0.999659609616,0
bare_not,70,all,1.02699466269e-16,0
bare,75,all,6.81808038686e-39,0
might,75,all,0.000340390384094,0
probably,75,all,0.999659609616,0
bare_not,75,all,1.09129190936e-16,0
bare,80,all,1.89314847028e-30,0
might,80,all,0.000340390384094,0
probably,80,all,0.999659609616,0
bare_not,80,all,1.10712119479e-16,0
bare,85,all,1.63582222294e-22,0
might,85,all,0.000340390384094,0
probably,85,all,0.999659609616,0
bare_not,85,all,1.1098891355e-16,0
bare,90,all,5.15695627311e-15,0
might,90,all,0.000340390384094,0
probably,90,all,0.999659609616,0
bare_not,90,all,1.11020421716e-16,0
bare,95,all,8.62070444229e-08,0
might,95,all,0.00034039035475,0
probably,95,all,0.999659523438,0
bare_not,95,all,1.37354979365e-16,0
bare,100,all,0.999999999713,0
might,100,all,9.77117679232e-14,0
probably,100,all,2.86797274473e-10,0
bare_not,100,all,0.0,0
