modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.0268678388206,0
probably,0,might-probably,0.0166666666667,0
other,0,might-probably,0.956465494513,0
might,5,might-probably,0.121710377493,0
probably,5,might-probably,0.0166666666674,0
other,5,might-probably,0.861622955839,0
might,10,might-probably,0.301387383799,0
probably,10,might-probably,0.0166666688264,0
other,10,might-probably,0.681945947375,0
might,15,might-probably,0.482569171154,0
probably,15,might-probably,0.0166668464984,0
other,15,might-probably,0.500763982348,0
might,20,might-probably,0.613611313489,0
probably,20,might-probably,0.0166702421162,0
other,20,might-probably,0.369718444394,0
might,25,might-probably,0.697067261184,0
probably,25,might-probably,0.0167005684039,0
other,25,might-probably,0.286232170412,0
might,30,might-probably,0.748715284859,0
probably,30,might-probably,0.0168723553371,0
other,30,might-probably,0.234412359804,0
might,35,might-probably,0.780491881867,0
probably,35,might-probably,0.0175903890636,0
other,35,might-probably,0.201917729069,0
might,40,might-probably,0.798931430658,0
probably,40,might-probably,0.0199961664595,0
other,40,might-probably,0.181072402883,0
might,45,might-probably,0.806071978096,0
probably,45,might-probably,0.026804379039,0
other,45,might-probably,0.167123642865,0
might,50,might-probably,0.799496867544,0
probably,50,might-probably,0.0437615363239,0
other,50,might-probably,0.156741596132,0
might,55,might-probably,0.77099677322,0
probably,55,might-probably,0.0822032025593,0
other,55,might-probably,0.146800024221,0
might,60,might-probably,0.705093655102,0
probably,60,might-probably,0.161592419249,0
other,60,might-probably,0.133313925649,0
might,65,might-probably,0.58706087159,0
probably,65,might-probably,0.300485453256,0
other,65,might-probably,0.112453675154,0
might,70,might-probably,0.432095640063,0
probably,70,might-probably,0.481957670686,0
other,70,might-probably,0.0859466892505,0
might,75,might-probably,0.290991020883,0
probably,75,might-probably,0.646894195555,0
other,75,might-probably,0.0621147835628,0
might,80,might-probably,0.196828842319,0
probably,80,might-probably,0.756804450292,0
other,80,might-probably,0.0463667073889,0
might,85,might-probably,0.145785576733,0
probably,85,might-probably,0.816299730434,0
other,85,might-probably,0.0379146928328,0
might,90,might-probably,0.123154762796,0
probably,90,might-probably,0.842580224459,0
other,90,might-probably,0.0342650127449,0
might,95,might-probably,0.117417543878,0
probably,95,might-probably,0.848883673657,0
other,95,might-probably,0.0336987824649,0
might,100,might-probably,0.0413961605207,0
probably,100,might-probably,0.209513803561,0
other,100,might-probably,0.749090035919,0
might,0,might-probably,0.0251482856723,1
probably,0,might-probably,0.0166666666667,1
other,0,might-probably,0.958185047661,1
might,5,might-probably,0.106823596666,1
probably,5,might-probably,0.0166666666667,1
other,5,might-probably,0.876509736667,1
might,10,might-probably,0.270424270486,1
probably,10,might-probably,0.016666667039,1
other,10,might-probably,0.712909062475,1
might,15,might-probably,0.449193315942,1
probably,15,might-probably,0.0166667172862,1
other,15,might-probably,0.534139966772,1
might,20,might-probably,0.587405164121,1
probably,20,might-probably,0.0166680593641,1
other,20,might-probably,0.395926776515,1
might,25,might-probably,0.679216511025,1
probably,25,might-probably,0.016683300246,1
other,25,might-probably,0.304100188729,1
might,30,might-probably,0.737546945278,1
probably,30,might-probably,0.0167866052237,1
other,30,might-probably,0.245666449499,1
might,35,might-probably,0.774302955513,1
probably,35,might-probably,0.0172825190934,1
other,35,might-probably,0.208414525393,1
might,40,might-probably,0.796642425651,1
probably,40,might-probably,0.0191353679576,1
other,40,might-probably,0.184222206391,1
might,45,might-probably,0.807205059617,1
probably,45,might-probably,0.0248493170575,1
other,45,might-probably,0.167945623325,1
might,50,might-probably,0.803913932768,1
probably,50,might-probably,0.0400671623067,1
other,50,might-probably,0.156018904925,1
might,55,might-probably,0.778348573015,1
probably,55,might-probably,0.0764456722885,1
other,55,might-probably,0.145205754696,1
might,60,might-probably,0.713640785101,1
probably,60,might-probably,0.155007044058,1
other,60,might-probably,0.131352170841,1
might,65,might-probably,0.592676969791,1
probably,65,might-probably,0.297107116153,1
other,65,might-probably,0.110215914056,1
might,70,might-probably,0.4320886417,1
probably,70,might-probably,0.484398447793,1
other,70,might-probably,0.0835129105072,1
might,75,might-probably,0.288673441117,1
probably,75,might-probably,0.651210635653,1
other,75,might-probably,0.06011592323,1
might,80,might-probably,0.196435419571,1
probably,80,might-probably,0.75827985513,1
other,80,might-probably,0.0452847252992,1
might,85,might-probably,0.148765760092,1
probably,85,might-probably,0.813447299783,1
other,85,might-probably,0.037786940125,1
might,90,might-probably,0.129314966709,1
probably,90,might-probably,0.835598857179,1
other,90,might-probably,0.0350861761119,1
might,95,might-probably,0.12525600488,1
probably,95,might-probably,0.838661329563,1
other,95,might-probably,0.0360826655569,1
might,100,might-probably,0.0436534157854,1
probably,100,might-probably,0.210698758562,1
other,100,might-probably,0.745647825652,1
might,0,might-probably,0.0265555918747,2
probably,0,might-probably,0.0166666666667,2
other,0,might-probably,0.956777741459,2
might,5,might-probably,0.121971611407,2
probably,5,might-probably,0.0166666666667,2
other,5,might-probably,0.861361721927,2
might,10,might-probably,0.303993452613,2
probably,10,might-probably,0.0166666669684,2
other,10,might-probably,0.679339880419,2
might,15,might-probably,0.486553218718,2
probably,15,might-probably,0.0166667083239,2
other,15,might-probably,0.496780072958,2
might,20,might-probably,0.617318055644,2
probably,20,might-probably,0.0166678311554,2
other,20,might-probably,0.366014113201,2
might,25,might-probably,0.699806263461,2
probably,25,might-probably,0.0166808858858,2
other,25,might-probably,0.283512850654,2
might,30,might-probably,0.750423845417,2
probably,30,might-probably,0.0167718580489,2
other,30,might-probably,0.232804296534,2
might,35,might-probably,0.781439673094,2
probably,35,might-probably,0.0172210479666,2
other,35,might-probably,0.20133927894,2
might,40,might-probably,0.799673635411,2
probably,40,might-probably,0.0189437183537,2
other,40,might-probably,0.181382646235,2
might,45,might-probably,0.807419649065,2
probably,45,might-probably,0.0243773369751,2
other,45,might-probably,0.16820301396,2
might,50,might-probably,0.80235713454,2
probably,50,might-probably,0.039119461881,2
other,50,might-probably,0.158523403579,2
might,55,might-probably,0.77586570649,2
probably,55,might-probably,0.074916457905,2
other,55,might-probably,0.149217835605,2
might,60,might-probably,0.71060194008,2
probably,60,might-probably,0.153381507601,2
other,60,might-probably,0.13601655232,2
might,65,might-probably,0.588355229784,2
