modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.0309300358878,0
probably,0,might-probably,0.0166666666667,0
other,0,might-probably,0.952403297446,0
might,5,might-probably,0.126314163677,0
probably,5,might-probably,0.0166666666688,0
other,5,might-probably,0.857019169654,0
might,10,might-probably,0.291451183113,0
probably,10,might-probably,0.016666671301,0
other,10,might-probably,0.691882145586,0
might,15,might-probably,0.459315199251,0
probably,15,might-probably,0.0166669906939,0
other,15,might-probably,0.524017810056,0
might,20,might-probably,0.587454182115,0
probably,20,might-probably,0.016672430393,0
other,20,might-probably,0.395873387492,0
might,25,might-probably,0.674112650123,0
probably,25,might-probably,0.0167167726362,0
other,25,might-probably,0.309170577241,0
might,30,might-probably,0.730659362294,0
probably,30,might-probably,0.0169486586742,0
other,30,might-probably,0.252391979032,0
might,35,might-probably,0.76712030411,0
probably,35,might-probably,0.0178509516704,0
other,35,might-probably,0.215028744219,0
might,40,might-probably,0.789399492042,0
probably,40,might-probably,0.0206891933521,0
other,40,might-probably,0.189911314606,0
might,45,might-probably,0.79934917991,0
probably,45,might-probably,0.028300389926,0
other,45,might-probably,0.172350430164,0
might,50,might-probably,0.794558093914,0
probably,50,might-probably,0.0464331139394,0
other,50,might-probably,0.159008792146,0
might,55,might-probably,0.76713355018,0
probably,55,might-probably,0.0860330956746,0
other,55,might-probably,0.146833354146,0
might,60,might-probably,0.702769031592,0
probably,60,might-probably,0.165131096068,0
other,60,might-probably,0.13209987234,0
might,65,might-probably,0.58874032135,0
probably,65,might-probably,0.299928786288,0
other,65,might-probably,0.111330892362,0
might,70,might-probably,0.439476277943,0
probably,70,might-probably,0.474628087938,0
other,70,might-probably,0.0858956341193,0
might,75,might-probably,0.301231560102,0
probably,75,might-probably,0.635838060545,0
other,75,might-probably,0.0629303793525,0
might,80,might-probably,0.206159326723,0
probably,80,might-probably,0.746437522324,0
other,80,might-probably,0.0474031509532,0
might,85,might-probably,0.152914908519,0
probably,85,might-probably,0.808190068354,0
other,85,might-probably,0.038895023127,0
might,90,might-probably,0.128399420068,0
probably,90,might-probably,0.836300533183,0
other,90,might-probably,0.0353000467485,0
might,95,might-probably,0.121674543518,0
probably,95,might-probably,0.84284856797,0
other,95,might-probably,0.0354768885124,0
might,100,might-probably,0.0437903301759,0
probably,100,might-probably,0.216932290273,0
other,100,might-probably,0.739277379551,0
might,0,might-probably,0.0262269224697,1
probably,0,might-probably,0.0166666666667,1
other,0,might-probably,0.957106410864,1
might,5,might-probably,0.114327634623,1
probably,5,might-probably,0.0166666666668,1
other,5,might-probably,0.86900569871,1
might,10,might-probably,0.284361672626,1
probably,10,might-probably,0.0166666671851,1
other,10,might-probably,0.698971660189,1
might,15,might-probably,0.462872868586,1
probably,15,might-probably,0.0166667299904,1
other,15,might-probably,0.520460401424,1
might,20,might-probably,0.596998906049,1
probably,20,might-probably,0.0166682940592,1
other,20,might-probably,0.386332799892,1
might,25,might-probably,0.684724001255,1
probably,25,might-probably,0.0166852392567,1
other,25,might-probably,0.298590759489,1
might,30,might-probably,0.740015056251,1
probably,30,might-probably,0.0167963807924,1
other,30,might-probably,0.243188562956,1
might,35,might-probably,0.774642313819,1
probably,35,might-probably,0.0173172872468,1
other,35,might-probably,0.208040398934,1
might,40,might-probably,0.795451595656,1
probably,40,might-probably,0.0192287479578,1
other,40,might-probably,0.185319656386,1
might,45,might-probably,0.804854617389,1
probably,45,might-probably,0.0250428536367,1
other,45,might-probably,0.170102528975,1
might,50,might-probably,0.80068699846,1
probably,50,might-probably,0.0403657559632,1
other,50,might-probably,0.158947245576,1
might,55,might-probably,0.77463745058,1
probably,55,might-probably,0.0767028784337,1
other,55,might-probably,0.148659670986,1
might,60,might-probably,0.710209895585,1
probably,60,might-probably,0.154725991103,1
other,60,might-probably,0.135064113312,1
might,65,might-probably,0.590562258444,1
probably,65,might-probably,0.295601356883,1
other,65,might-probably,0.113836384672,1
might,70,might-probably,0.431350462685,1
probably,70,might-probably,0.4820584068,1
other,70,might-probably,0.0865911305153,1
might,75,might-probably,0.288059983822,1
probably,75,might-probably,0.649562128363,1
other,75,might-probably,0.0623778878149,1
might,80,might-probably,0.195069270932,1
probably,80,might-probably,0.758068114689,1
other,80,might-probably,0.0468626143787,1
might,85,might-probably,0.146498958588,1
probably,85,might-probably,0.814491327918,1
other,85,might-probably,0.0390097134939,1
might,90,might-probably,0.126250874514,1
probably,90,might-probably,0.837401060134,1
other,90,might-probably,0.0363480653513,1
might,95,might-probably,0.121750747514,1
probably,95,might-probably,0.840177910826,1
other,95,might-probably,0.03807134166,1
