modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.0174533732657,0
probably,0,might-probably,0.0166666666667,0
other,0,might-probably,0.965879960068,0
might,5,might-probably,0.113333541262,0
probably,5,might-probably,0.016666666681,0
other,5,might-probably,0.869999792057,0
might,10,might-probably,0.347433727069,0
probably,10,might-probably,0.0166666780312,0
other,10,might-probably,0.6358995949,0
might,15,might-probably,0.500723412411,0
probably,15,might-probably,0.0166671101855,0
other,15,might-probably,0.482609477404,0
might,20,might-probably,0.555918472942,0
probably,20,might-probably,0.0166725464491,0
other,20,might-probably,0.427408980609,0
might,25,might-probably,0.572271969844,0
probably,25,might-probably,0.0167117836241,0
other,25,might-probably,0.411016246532,0
might,30,might-probably,0.610552188686,0
probably,30,might-probably,0.0169171255433,0
other,30,might-probably,0.372530685771,0
might,35,might-probably,0.706530841157,0
probably,35,might-probably,0.017773364446,0
other,35,might-probably,0.275695794397,0
might,40,might-probably,0.820000000003,0
probably,40,might-probably,0.020527878056,0
other,40,might-probably,0.159472121941,0
might,45,might-probably,0.882991381957,0
probably,45,might-probably,0.0276461432621,0
other,45,might-probably,0.089362474781,0
might,50,might-probably,0.890393743659,0
probably,50,might-probably,0.0446293600383,0
other,50,might-probably,0.0649768963027,0
might,55,might-probably,0.857588153757,0
probably,55,might-probably,0.084136273792,0
other,55,might-probably,0.0582755724512,0
might,60,might-probably,0.774871540905,0
probably,60,might-probably,0.171401818489,0
other,60,might-probably,0.0537266406059,0
might,65,might-probably,0.619508061374,0
probably,65,might-probably,0.334265765709,0
other,65,might-probably,0.046226172917,0
might,70,might-probably,0.414731948757,0
probably,70,might-probably,0.548969148329,0
other,70,might-probably,0.0362989029142,0
might,75,might-probably,0.240726025104,0
probably,75,might-probably,0.73144708247,0
other,75,might-probably,0.0278268924262,0
might,80,might-probably,0.136633601669,0
probably,80,might-probably,0.84061146886,0
other,80,might-probably,0.0227549294709,0
might,85,might-probably,0.0847943072484,0
probably,85,might-probably,0.894943937032,0
other,85,might-probably,0.0202617557192,0
might,90,might-probably,0.0610236784478,0
probably,90,might-probably,0.919733670115,0
other,90,might-probably,0.0192426514374,0
might,95,might-probably,0.0520201634502,0
probably,95,might-probably,0.928536449974,0
other,95,might-probably,0.0194433865763,0
might,100,might-probably,0.0266757874501,0
probably,100,might-probably,0.246697945054,0
other,100,might-probably,0.726626267496,0
might,0,might-probably,0.0170430942365,1
probably,0,might-probably,0.0166666666667,1
other,0,might-probably,0.966290239097,1
might,5,might-probably,0.119609920769,1
probably,5,might-probably,0.0166666668515,1
other,5,might-probably,0.863723412379,1
might,10,might-probably,0.353817129625,1
probably,10,might-probably,0.0166667218421,1
other,10,might-probably,0.629516148533,1
might,15,might-probably,0.469455836792,1
probably,15,might-probably,0.0166680053588,1
other,15,might-probably,0.513876157849,1
might,20,might-probably,0.503768887584,1
probably,20,might-probably,0.0166802029762,1
other,20,might-probably,0.479550909439,1
might,25,might-probably,0.539586305875,1
probably,25,might-probably,0.0167541749573,1
other,25,might-probably,0.443659519168,1
might,30,might-probably,0.617639557578,1
probably,30,might-probably,0.0170914892516,1
other,30,might-probably,0.36526895317,1
might,35,might-probably,0.727943347087,1
probably,35,might-probably,0.0182781689574,1
other,35,might-probably,0.253778483955,1
might,40,might-probably,0.822865547539,1
probably,40,might-probably,0.0215148775744,1
other,40,might-probably,0.155619574887,1
might,45,might-probably,0.871326682705,1
probably,45,might-probably,0.0290248141061,1
other,45,might-probably,0.0996485031889,1
might,50,might-probably,0.877996930716,1
probably,50,might-probably,0.0456887204219,1
other,50,might-probably,0.0763143488625,1
might,55,might-probably,0.849971212802,1
probably,55,might-probably,0.082631656497,1
other,55,might-probably,0.0673971307008,1
might,60,might-probably,0.776292508483,1
probably,60,might-probably,0.162228011463,1
other,60,might-probably,0.0614794800545,1
might,65,might-probably,0.634814751969,1
probably,65,might-probably,0.312113345331,1
other,65,might-probably,0.0530719027003,1
might,70,might-probably,0.437445555883,1
probably,70,might-probably,0.520920673211,1
other,70,might-probably,0.0416337709061,1
might,75,might-probably,0.255714477594,1
probably,75,might-probably,0.713202091244,1
other,75,might-probably,0.0310834311618,1
might,80,might-probably,0.139915195405,1
probably,80,might-probably,0.835714608932,1
other,80,might-probably,0.0243701956628,1
might,85,might-probably,0.0805022972625,1
probably,85,might-probably,0.898479667791,1
other,85,might-probably,0.0210180349462,1
might,90,might-probably,0.0526461227476,1
probably,90,might-probably,0.927591054526,1
other,90,might-probably,0.0197628227269,1
might,95,might-probably,0.0407245879436,1
probably,95,might-probably,0.938591978528,1
other,95,might-probably,0.0206834335279,1
might,100,might-probably,0.022045236258,1
probably,100,might-probably,0.203370380252,1
other,100,might-probably,0.77458438349,1
might,0,might-probably,0.0173628587481,2
probably,0,might-probably,0.0166666666667,2
other,0,might-probably,0.965970474585,2
