modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.0221015574132,0
probably,0,might-probably,0.0166666666667,0
other,0,might-probably,0.96123177592,0
might,5,might-probably,0.164845036444,0
probably,5,might-probably,0.0166666670855,0
other,5,might-probably,0.81848829647,0
might,10,might-probably,0.442816295623,0
probably,10,might-probably,0.0166668340783,0
other,10,might-probably,0.540516870298,0
might,15,might-probably,0.634259728317,0
probably,15,might-probably,0.0166708043309,0
other,15,might-probably,0.349069467352,0
might,20,might-probably,0.727429240153,0
probably,20,might-probably,0.0167046834697,0
other,20,might-probably,0.255866076378,0
might,25,might-probably,0.771150110252,0
probably,25,might-probably,0.0168816944045,0
other,25,might-probably,0.211968195344,0
might,30,might-probably,0.791524249155,0
probably,30,might-probably,0.0175674980897,0
other,30,might-probably,0.190908252755,0
might,35,might-probably,0.799619783244,0
probably,35,might-probably,0.0197091645463,0
other,35,might-probably,0.180671052209,0
might,40,might-probably,0.799318006339,0
probably,40,might-probably,0.0253664473022,0
other,40,might-probably,0.175315546359,0
might,45,might-probably,0.790110849424,0
probably,45,might-probably,0.0384985788912,0
other,45,might-probably,0.171390571685,0
might,50,might-probably,0.767478846174,0
probably,50,might-probably,0.0662224106676,0
other,50,might-probably,0.166298743158,0
might,55,might-probably,0.72219441869,0
probably,55,might-probably,0.120496537828,0
other,55,might-probably,0.157309043482,0
might,60,might-probably,0.64171598098,0
probably,60,might-probably,0.216884951546,0
other,60,might-probably,0.141399067475,0
might,65,might-probably,0.521600589787,0
probably,65,might-probably,0.360951218684,0
other,65,might-probably,0.117448191529,0
might,70,might-probably,0.383194058303,0
probably,70,might-probably,0.527043087474,0
other,70,might-probably,0.0897628542227,0
might,75,might-probably,0.263481663341,0
probably,75,might-probably,0.670680857189,0
other,75,might-probably,0.0658374794699,0
might,80,might-probably,0.181543974366,0
probably,80,might-probably,0.768954248278,0
other,80,might-probably,0.0495017773552,0
might,85,might-probably,0.133550690672,0
probably,85,might-probably,0.826475907468,0
other,85,might-probably,0.0399734018592,0
might,90,might-probably,0.109066359229,0
probably,90,might-probably,0.85574767411,0
other,90,might-probably,0.0351859666607,0
might,95,might-probably,0.100366695782,0
probably,95,might-probably,0.865853341582,0
other,95,might-probably,0.0337799626358,0
might,100,might-probably,0.0448235988663,0
probably,100,might-probably,0.278486605424,0
other,100,might-probably,0.67668979571,0
might,0,might-probably,0.0264922678814,1
probably,0,might-probably,0.0166666666667,1
other,0,might-probably,0.956841065452,1
might,5,might-probably,0.198780781345,1
probably,5,might-probably,0.0166666666928,1
other,5,might-probably,0.784552551962,1
might,10,might-probably,0.473953222194,1
probably,10,might-probably,0.0166666917983,1
other,10,might-probably,0.509380086008,1
might,15,might-probably,0.647330152919,1
probably,15,might-probably,0.0166676981335,1
other,15,might-probably,0.336002148948,1
might,20,might-probably,0.731217433424,1
probably,20,might-probably,0.0166801157681,1
other,20,might-probably,0.252102450808,1
might,25,might-probably,0.771313204028,1
probably,25,might-probably,0.0167650911022,1
other,25,might-probably,0.21192170487,1
might,30,might-probably,0.790546540751,1
probably,30,might-probably,0.0171687554682,1
other,30,might-probably,0.192284703781,1
