modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.0214475445665,0
probably,0,might-probably,0.0166666666667,0
other,0,might-probably,0.961885788767,0
might,5,might-probably,0.174351511474,0
probably,5,might-probably,0.0166666669777,0
other,5,might-probably,0.808981821548,0
might,10,might-probably,0.468351067659,0
probably,10,might-probably,0.0166668052226,0
other,10,might-probably,0.514982127118,0
might,15,might-probably,0.654691308267,0
probably,15,might-probably,0.0166702830024,0
other,15,might-probably,0.328638408731,0
might,20,might-probably,0.739296331966,0
probably,20,might-probably,0.0167016179027,0
other,20,might-probably,0.244002050131,0
might,25,might-probably,0.776854952409,0
probably,25,might-probably,0.0168735175863,0
other,25,might-probably,0.206271530005,0
might,30,might-probably,0.793213975987,0
probably,30,might-probably,0.0175651074275,0
other,30,might-probably,0.189220916585,0
might,35,might-probably,0.798741539169,0
probably,35,might-probably,0.0197814796429,0
other,35,might-probably,0.181476981188,0
might,40,might-probably,0.796730338256,0
probably,40,might-probably,0.025732127661,0
other,40,might-probably,0.177537534083,0
might,45,might-probably,0.786070867914,0
probably,45,might-probably,0.0396834597209,0
other,45,might-probably,0.174245672365,0
might,50,might-probably,0.761516510927,0
probably,50,might-probably,0.0693202152531,0
other,50,might-probably,0.16916327382,0
might,55,might-probably,0.71299006162,0
probably,55,might-probably,0.127438869102,0
other,55,might-probably,0.159571069278,0
might,60,might-probably,0.627732123809,0
probably,60,might-probably,0.229793051772,0
other,60,might-probably,0.142474824419,0
might,65,might-probably,0.503649258915,0
probably,65,might-probably,0.379088265957,0
other,65,might-probably,0.117262475129,0
might,70,might-probably,0.365995137794,0
probably,70,might-probably,0.544865702655,0
other,70,might-probably,0.0891391595507,0
might,75,might-probably,0.251428807814,0
probably,75,might-probably,0.682837049797,0
other,75,might-probably,0.0657341423885,0
might,80,might-probably,0.17523339963,0
probably,80,might-probably,0.774480608829,0
other,80,might-probably,0.0502859915417,0
might,85,might-probably,0.131506760677,0
probably,85,might-probably,0.826748054294,0
other,85,might-probably,0.0417451850296,0
might,90,might-probably,0.109770504012,0
probably,90,might-probably,0.851762417622,0
other,90,might-probably,0.0384670783661,0
might,95,might-probably,0.102450808674,0
probably,95,might-probably,0.856036079861,0
