modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.036634573408,0
probably,0,might-probably,0.0166666666667,0
other,0,might-probably,0.946698759925,0
might,5,might-probably,0.182091675217,0
probably,5,might-probably,0.0166666671333,0
other,5,might-probably,0.80124165765,0
might,10,might-probably,0.416069029019,0
probably,10,might-probably,0.0166668639277,0
other,10,might-probably,0.567264107053,0
might,15,might-probably,0.605265686971,0
probably,15,might-probably,0.016671915768,0
other,15,might-probably,0.378062397261,0
might,20,might-probably,0.721751309532,0
probably,20,might-probably,0.0167151447421,0
other,20,might-probably,0.261533545726,0
might,25,might-probably,0.789746464182,0
probably,25,might-probably,0.0169277064072,0
other,25,might-probably,0.193325829411,0
might,30,might-probably,0.83007324235,0
probably,30,might-probably,0.0176838643893,0
other,30,might-probably,0.15224289326,0
might,35,might-probably,0.853894808089,0
probably,35,might-probably,0.0198640890721,0
other,35,might-probably,0.126241102839,0
might,40,might-probably,0.865803109556,0
probably,40,might-probably,0.0253172482269,0
other,40,might-probably,0.108879642217,0
might,45,might-probably,0.865636295309,0
probably,45,might-probably,0.0377798455519,0
other,45,might-probably,0.096583859139,0
might,50,might-probably,0.848013457348,0
probably,50,might-probably,0.0649376610354,0
other,50,might-probably,0.0870488816167,0
might,55,might-probably,0.799777616165,0
probably,55,might-probably,0.122080561624,0
other,55,might-probably,0.0781418222108,0
might,60,might-probably,0.700398711424,0
probably,60,might-probably,0.232084406262,0
other,60,might-probably,0.0675168823136,0
might,65,might-probably,0.542259490877,0
probably,65,might-probably,0.40356177964,0
other,65,might-probably,0.0541787294831,0
might,70,might-probably,0.363801123032,0
probably,70,might-probably,0.595507467363,0
other,70,might-probably,0.0406914096056,0
might,75,might-probably,0.222575339321,0
probably,75,might-probably,0.746729347026,0
other,75,might-probably,0.030695313653,0
might,80,might-probably,0.136273873565,0
probably,80,might-probably,0.838823471877,0
other,80,might-probably,0.0249026545574,0
might,85,might-probably,0.0902973800048,0
probably,85,might-probably,0.887647964567,0
other,85,might-probably,0.0220546554285,0
might,90,might-probably,0.0676606529135,0
probably,90,might-probably,0.911242119776,0
other,90,might-probably,0.0210972273103,0
might,95,might-probably,0.0586054123227,0
probably,95,might-probably,0.91887069834,0
other,95,might-probably,0.0225238893376,0
might,100,might-probably,0.0325421671699,0
probably,100,might-probably,0.314697035919,0
other,100,might-probably,0.652760796911,0
might,0,might-probably,0.0167069920635,1
probably,0,might-probably,0.0166666666667,1
other,0,might-probably,0.96662634127,1
might,5,might-probably,0.119275255562,1
probably,5,might-probably,0.0166666670709,1
other,5,might-probably,0.864058077367,1
might,10,might-probably,0.518360111107,1
probably,10,might-probably,0.0166667918766,1
other,10,might-probably,0.464973097016,1
might,15,might-probably,0.663476263801,1
probably,15,might-probably,0.0166694519363,1
other,15,might-probably,0.319854284263,1
might,20,might-probably,0.68173729878,1
probably,20,might-probably,0.0166941786278,1
other,20,might-probably,0.301568522592,1
might,25,might-probably,0.683304303845,1
probably,25,might-probably,0.0168367749324,1
other,25,might-probably,0.299858921222,1
might,30,might-probably,0.726391561397,1
probably,30,might-probably,0.0174419386618,1
other,30,might-probably,0.256166499942,1
might,35,might-probably,0.810692137788,1
probably,35,might-probably,0.0194603652452,1
other,35,might-probably,0.169847496967,1
might,40,might-probably,0.874867270071,1
probably,40,might-probably,0.0248427147785,1
other,40,might-probably,0.100290015151,1
might,45,might-probably,0.890747548299,1
probably,45,might-probably,0.0374848268241,1
other,45,might-probably,0.0717676248765,1
might,50,might-probably,0.870145259428,1
probably,50,might-probably,0.06568296459,1
other,50,might-probably,0.0641717759819,1
might,55,might-probably,0.813375491462,1
probably,55,might-probably,0.126083283277,1
other,55,might-probably,0.0605412252608,1
might,60,might-probably,0.701856064199,1
probably,60,might-probably,0.24340392386,1
other,60,might-probably,0.0547400119408,1
might,65,might-probably,0.530046793663,1
probably,65,might-probably,0.424381425121,1
other,65,might-probably,0.0455717812166,1
might,70,might-probably,0.344642915278,1
probably,70,might-probably,0.619898663491,1
other,70,might-probably,0.0354584212313,1
might,75,might-probably,0.205484482831,1
probably,75,might-probably,0.766766741797,1
other,75,might-probably,0.0277487753727,1
might,80,might-probably,0.124149849179,1
probably,80,might-probably,0.852650541966,1
other,80,might-probably,0.0231996088552,1
might,85,might-probably,0.0820463931226,1
probably,85,might-probably,0.89708499505,1
other,85,might-probably,0.0208686118276,1
might,90,might-probably,0.0616127373413,1
probably,90,might-probably,0.918508474553,1
other,90,might-probably,0.0198787881061,1
might,95,might-probably,0.0534395811233,1
probably,95,might-probably,0.92641770743,1
other,95,might-probably,0.0201427114471,1
might,100,might-probably,0.0308498267536,1
probably,100,might-probably,0.322470003725,1
other,100,might-probably,0.646680169521,1
might,0,might-probably,0.0168541526359,2
probably,0,might-probably,0.0166666666667,2
other,0,might-probably,0.966479180697,2
might,5,might-probably,0.158443158587,2
probably,5,might-probably,0.0166666670892,2
other,5,might-probably,0.824890174324,2
might,10,might-probably,0.527142459449,2
probably,10,might-probably,0.016666794939,2
other,10,might-probably,0.456190745612,2
might,15,might-probably,0.655413832576,2
probably,15,might-probably,0.0166696110306,2
other,15,might-probably,0.327916556393,2
might,20,might-probably,0.677930133394,2
probably,20,might-probably,0.0166960702248,2
other,20,might-probably,0.305373796381,2
might,25,might-probably,0.69706277355,2
probably,25,might-probably,0.0168511621444,2
other,25,might-probably,0.286086064305,2
might,30,might-probably,0.75277234423,2
probably,30,might-probably,0.0175136246337,2
other,30,might-probably,0.229714031136,2
might,35,might-probably,0.826798695028,2
probably,35,might-probably,0.0196931066204,2
other,35,might-probably,0.153508198352,2
might,40,might-probably,0.876976020966,2
probably,40,might-probably,0.0254799001005,2
other,40,might-probably,0.0975440789335,2
might,45,might-probably,0.888839673355,2
