modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.0927129772914,0
probably,0,might-probably,0.0195646547289,0
other,0,might-probably,0.88772236798,0
might,5,might-probably,0.645569177583,0
probably,5,might-probably,0.0304923608915,0
other,5,might-probably,0.323938461525,0
might,10,might-probably,0.73554414165,0
probably,10,might-probably,0.0438283825283,0
other,10,might-probably,0.220627475822,0
might,15,might-probably,0.733287785617,0
probably,15,might-probably,0.0652138084403,0
other,15,might-probably,0.201498405943,0
might,20,might-probably,0.711853452569,0
probably,20,might-probably,0.0944365358151,0
other,20,might-probably,0.193710011616,0
might,25,might-probably,0.682943876951,0
probably,25,might-probably,0.130810402704,0
other,25,might-probably,0.186245720345,0
might,30,might-probably,0.648556238808,0
probably,30,might-probably,0.173820983404,0
other,30,might-probably,0.177622777788,0
might,35,might-probably,0.609422187353,0
probably,35,might-probably,0.222773792502,0
other,35,might-probably,0.167804020145,0
might,40,might-probably,0.566415759635,0
probably,40,might-probably,0.276592405779,0
other,40,might-probably,0.156991834586,0
might,45,might-probably,0.520697795844,0
probably,45,might-probably,0.333821602574,0
other,45,might-probably,0.145480601581,0
might,50,might-probably,0.473628547997,0
probably,50,might-probably,0.39275311627,0
other,50,might-probably,0.133618335733,0
might,55,might-probably,0.426615577217,0
probably,55,might-probably,0.451617180906,0
other,55,might-probably,0.121767241876,0
might,60,might-probably,0.380952282341,0
probably,60,might-probably,0.508784562904,0
other,60,might-probably,0.110263154754,0
might,65,might-probably,0.337688112087,0
probably,65,might-probably,0.562928165601,0
other,65,might-probably,0.0993837223114,0
might,70,might-probably,0.297554903269,0
probably,70,might-probably,0.613112671593,0
other,70,might-probably,0.089332425138,0
might,75,might-probably,0.260952981926,0
probably,75,might-probably,0.658805297524,0
other,75,might-probably,0.0802417205496,0
might,80,might-probably,0.227986019432,0
probably,80,might-probably,0.699814314439,0
other,80,might-probably,0.0721996661284,0
might,85,might-probably,0.198536001177,0
probably,85,might-probably,0.736139556985,0
other,85,might-probably,0.0653244418388,0
might,90,might-probably,0.172425515841,0
probably,90,might-probably,0.767542910549,0
other,90,might-probably,0.0600315736105,0
might,95,might-probably,0.150176136591,0
probably,95,might-probably,0.791082739933,0
other,95,might-probably,0.0587411234759,0
might,100,might-probably,0.0741501109572,0
probably,100,might-probably,0.313216971897,0
other,100,might-probably,0.612632917146,0
might,0,might-probably,0.0763725815537,1
probably,0,might-probably,0.0207889172062,1
other,0,might-probably,0.90283850124,1
might,5,might-probably,0.636979017728,1
probably,5,might-probably,0.0339736983585,1
other,5,might-probably,0.329047283913,1
might,10,might-probably,0.733290146764,1
probably,10,might-probably,0.0482665226146,1
other,10,might-probably,0.218443330622,1
might,15,might-probably,0.730741069049,1
probably,15,might-probably,0.0710872489727,1
other,15,might-probably,0.198171681978,1
might,20,might-probably,0.708215741905,1
probably,20,might-probably,0.101749415722,1
other,20,might-probably,0.190034842373,1
might,25,might-probably,0.678397775097,1
probably,25,might-probably,0.139201423786,1
other,25,might-probably,0.182400801117,1
might,30,might-probably,0.64351613273,1
probably,30,might-probably,0.18273307056,1
other,30,might-probably,0.173750796709,1
might,35,might-probably,0.604390428593,1
probably,35,might-probably,0.23154643322,1
other,35,might-probably,0.164063138187,1
might,40,might-probably,0.561911587314,1
probably,40,might-probably,0.284546349169,1
other,40,might-probably,0.153542063517,1
might,45,might-probably,0.517183434473,1
probably,45,might-probably,0.34035272945,1
other,45,might-probably,0.142463836077,1
might,50,might-probably,0.471442345822,1
probably,50,might-probably,0.397417072368,1
other,50,might-probably,0.131140581811,1
might,55,might-probably,0.425929679635,1
probably,55,might-probably,0.454182396438,1
other,55,might-probably,0.119887923927,1
might,60,might-probably,0.381763990524,1
probably,60,might-probably,0.509241878497,1
other,60,might-probably,0.10899413098,1
might,65,might-probably,0.339842188927,1
probably,65,might-probably,0.561460111714,1
other,65,might-probably,0.098697699359,1
might,70,might-probably,0.300785076507,1
probably,70,might-probably,0.610036322597,1
other,70,might-probably,0.0891786008957,1
might,75,might-probably,0.264927920486,1
probably,75,might-probably,0.654504908,1
other,75,might-probably,0.080567171514,1
might,80,might-probably,0.232347234138,1
probably,80,might-probably,0.694672557293,1
other,80,might-probably,0.0729802085686,1
might,85,might-probably,0.202918873351,1
probably,85,might-probably,0.730453894827,1
other,85,might-probably,0.0666272318217,1
might,90,might-probably,0.176454832316,1
probably,90,might-probably,0.761324551073,1
other,90,might-probably,0.0622206166109,1
might,95,might-probably,0.153407305266,1
probably,95,might-probably,0.782896288188,1
other,95,might-probably,0.0636964065461,1
might,100,might-probably,0.0797359705318,1
probably,100,might-probably,0.332136831062,1
other,100,might-probably,0.588127198406,1
might,0,might-probably,0.093813313331,2
probably,0,might-probably,0.0199853154389,2
other,0,might-probably,0.88620137123,2
might,5,might-probably,0.615295231026,2
probably,5,might-probably,0.0328346879433,2
other,5,might-probably,0.351870081031,2
might,10,might-probably,0.725776599898,2
probably,10,might-probably,0.0469359117857,2
