modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.0872984649701,0
probably,0,might-probably,0.0203412379469,0
other,0,might-probably,0.892360297083,0
might,5,might-probably,0.645518864061,0
probably,5,might-probably,0.0322835405256,0
other,5,might-probably,0.322197595413,0
might,10,might-probably,0.735351970933,0
probably,10,might-probably,0.0460357064883,0
other,10,might-probably,0.218612322578,0
might,15,might-probably,0.732322086704,0
probably,15,might-probably,0.0679615642548,0
other,15,might-probably,0.199716349041,0
might,20,might-probably,0.710488400629,0
probably,20,might-probably,0.0975216971175,0
other,20,might-probably,0.191989902253,0
might,25,might-probably,0.681534642184,0
probably,25,might-probably,0.133879074915,0
other,25,might-probably,0.184586282901,0
might,30,might-probably,0.647419746582,0
probably,30,might-probably,0.176481936755,0
other,30,might-probably,0.176098316663,0
might,35,might-probably,0.60884192736,0
probably,35,might-probably,0.224660016483,0
other,35,might-probably,0.166498056157,0
might,40,might-probably,0.566608010659,0
probably,40,might-probably,0.277419346938,0
other,40,might-probably,0.155972642403,0
might,45,might-probably,0.521772456847,0
probably,45,might-probably,0.333439089745,0
other,45,might-probably,0.144788453408,0
might,50,might-probably,0.475566044369,0
probably,50,might-probably,0.391175062421,0
other,50,might-probably,0.13325889321,0
might,55,might-probably,0.429268788415,0
probably,55,might-probably,0.449019269038,0
other,55,might-probably,0.121711942546,0
might,60,might-probably,0.384072109148,0
probably,60,might-probably,0.505471591678,0
other,60,might-probably,0.110456299174,0
might,65,might-probably,0.340963266898,0
probably,65,might-probably,0.559282627462,0
other,65,might-probably,0.0997541056405,0
might,70,might-probably,0.300653282448,0
probably,70,might-probably,0.60953993119,0
other,70,might-probably,0.0898067863617,0
might,75,might-probably,0.263553739546,0
probably,75,might-probably,0.655687708319,0
other,75,might-probably,0.0807585521351,0
might,80,might-probably,0.229795604827,0
probably,80,might-probably,0.697478752103,0
other,80,might-probably,0.0727256430695,0
might,85,might-probably,0.199284136875,0
probably,85,might-probably,0.734829404569,0
other,85,might-probably,0.0658864585558,0
might,90,might-probably,0.171833300244,0
probably,90,might-probably,0.76733934665,0
other,90,might-probably,0.0608273531059,0
might,95,might-probably,0.147865158446,0
probably,95,might-probably,0.791302391564,0
other,95,might-probably,0.0608324499896,0
might,100,might-probably,0.0793556842916,0
probably,100,might-probably,0.346753420299,0
other,100,might-probably,0.57389089541,0
might,0,might-probably,0.0872033690652,1
probably,0,might-probably,0.0257781497017,1
other,0,might-probably,0.887018481233,1
might,5,might-probably,0.608311370913,1
probably,5,might-probably,0.0436586865158,1
other,5,might-probably,0.348029942572,1
might,10,might-probably,0.717053947752,1
probably,10,might-probably,0.0587609908183,1
other,10,might-probably,0.22418506143,1
might,15,might-probably,0.719911720578,1
probably,15,might-probably,0.0821008629226,1
other,15,might-probably,0.197987416499,1
might,20,might-probably,0.698955162773,1
probably,20,might-probably,0.1126998114,1
other,20,might-probably,0.188345025827,1
might,25,might-probably,0.670193604329,1
probably,25,might-probably,0.149041533113,1
other,25,might-probably,0.180764862558,1
might,30,might-probably,0.637097651083,1
probably,30,might-probably,0.190206263478,1
other,30,might-probably,0.172696085439,1
might,35,might-probably,0.600642346108,1
probably,35,might-probably,0.235502158642,1
other,35,might-probably,0.16385549525,1
might,40,might-probably,0.561487702723,1
probably,40,might-probably,0.284169016631,1
other,40,might-probably,0.154343280646,1
might,45,might-probably,0.520357925765,1
probably,45,might-probably,0.335306676338,1
other,45,might-probably,0.144335397897,1
might,50,might-probably,0.478055841007,1
probably,50,might-probably,0.387908696227,1
other,50,might-probably,0.134035462767,1
might,55,might-probably,0.435408942169,1
probably,55,might-probably,0.440934142086,1
other,55,might-probably,0.123656915745,1
might,60,might-probably,0.393202882858,1
probably,60,might-probably,0.493389587286,1
other,60,might-probably,0.113407529856,1
might,65,might-probably,0.352119013424,1
probably,65,might-probably,0.544404400353,1
other,65,might-probably,0.103476586223,1
might,70,might-probably,0.312684926273,1
probably,70,might-probably,0.593286858509,1
other,70,might-probably,0.0940282152183,1
might,75,might-probably,0.275241787478,1
probably,75,might-probably,0.639552130104,1
other,75,might-probably,0.0852060824189,1
might,80,might-probably,0.239927544132,1
probably,80,might-probably,0.682910457506,1
other,80,might-probably,0.077161998362,1
might,85,might-probably,0.206675514817,1
probably,85,might-probably,0.723169358828,1
other,85,might-probably,0.0701551263553,1
