modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.0860016262534,0
probably,0,might-probably,0.0350278711635,0
other,0,might-probably,0.878970502583,0
might,5,might-probably,0.543981045617,0
probably,5,might-probably,0.0713775467228,0
other,5,might-probably,0.38464140766,0
might,10,might-probably,0.708575329176,0
probably,10,might-probably,0.0880528572835,0
other,10,might-probably,0.20337181354,0
might,15,might-probably,0.738697009596,0
probably,15,might-probably,0.109667351076,0
other,15,might-probably,0.151635639328,0
might,20,might-probably,0.727886508681,0
probably,20,might-probably,0.139699981789,0
other,20,might-probably,0.132413509529,0
might,25,might-probably,0.700040803162,0
probably,25,might-probably,0.177191795515,0
other,25,might-probably,0.122767401324,0
might,30,might-probably,0.663633016985,0
probably,30,might-probably,0.220490712215,0
other,30,might-probably,0.115876270799,0
might,35,might-probably,0.622438280967,0
probably,35,might-probably,0.268004570281,0
other,35,might-probably,0.109557148752,0
might,40,might-probably,0.578407280005,0
probably,40,might-probably,0.318387728125,0
other,40,might-probably,0.10320499187,0
might,45,might-probably,0.532770783557,0
probably,45,might-probably,0.370483806336,0
other,45,might-probably,0.0967454101063,0
might,50,might-probably,0.486491793252,0
probably,50,might-probably,0.423244287404,0
other,50,might-probably,0.0902639193448,0
might,55,might-probably,0.440409190123,0
probably,55,might-probably,0.475705916253,0
other,55,might-probably,0.0838848936238,0
might,60,might-probably,0.395250130766,0
probably,60,might-probably,0.527014229906,0
other,60,might-probably,0.0777356393275,0
might,65,might-probably,0.351602934323,0
probably,65,might-probably,0.576459030984,0
other,65,might-probably,0.0719380346926,0
might,70,might-probably,0.309889215582,0
probably,70,might-probably,0.623497838937,0
other,70,might-probably,0.0666129454819,0
might,75,might-probably,0.270346576225,0
probably,75,might-probably,0.667753581198,0
other,75,might-probably,0.061899842577,0
might,80,might-probably,0.233021465867,0
probably,80,might-probably,0.708967946707,0
other,80,might-probably,0.0580105874261,0
might,85,might-probably,0.197771252606,0
probably,85,might-probably,0.746839452128,0
other,85,might-probably,0.0553892952666,0
might,90,might-probably,0.164309255435,0
probably,90,might-probably,0.780365071022,0
other,90,might-probably,0.0553256735428,0
might,95,might-probably,0.132719621167,0
probably,95,might-probably,0.803436453,0
other,95,might-probably,0.0638439258329,0
might,100,might-probably,0.0645002833382,0
probably,100,might-probably,0.31758427287,0
other,100,might-probably,0.617915443792,0
might,0,might-probably,0.0862127083453,1
probably,0,might-probably,0.0220399112265,1
other,0,might-probably,0.891747380428,1
might,5,might-probably,0.55142991951,1
probably,5,might-probably,0.0462490552337,1
other,5,might-probably,0.402321025256,1
might,10,might-probably,0.727089989586,1
probably,10,might-probably,0.0644080328756,1
other,10,might-probably,0.208501977539,1
might,15,might-probably,0.762069605658,1
probably,15,might-probably,0.0861315735267,1
other,15,might-probably,0.151798820815,1
might,20,might-probably,0.753458827718,1
probably,20,might-probably,0.115871704999,1
other,20,might-probably,0.130669467284,1
might,25,might-probably,0.725239097404,1
probably,25,might-probably,0.154389903028,1
other,25,might-probably,0.120370999569,1
might,30,might-probably,0.685665989732,1
probably,30,might-probably,0.201029375797,1
other,30,might-probably,0.113304634471,1
might,35,might-probably,0.638756826316,1
probably,35,might-probably,0.25437981835,1
other,35,might-probably,0.106863355333,1
might,40,might-probably,0.587099332356,1
probably,40,might-probably,0.312644973608,1
other,40,might-probably,0.100255694035,1
might,45,might-probably,0.532772554218,1
probably,45,might-probably,0.373842718821,1
other,45,might-probably,0.0933847269619,1
might,50,might-probably,0.477650384699,1
probably,50,might-probably,0.435948623746,1
other,50,might-probably,0.0864009915553,1
might,55,might-probably,0.42342223067,1
probably,55,might-probably,0.497052825596,1
other,55,might-probably,0.0795249437343,1
might,60,might-probably,0.371503810521,1
probably,60,might-probably,0.555518547655,1
other,60,might-probably,0.0729776418244,1
might,65,might-probably,0.322947801395,1
probably,65,might-probably,0.610095901451,1
other,65,might-probably,0.0669562971542,1
might,70,might-probably,0.278405991607,1
probably,70,might-probably,0.659958630815,1
other,70,might-probably,0.061635377578,1
might,75,might-probably,0.238149442804,1
probably,75,might-probably,0.704656809114,1
other,75,might-probably,0.0571937480819,1
might,80,might-probably,0.202130274122,1
probably,80,might-probably,0.74398110271,1
other,80,might-probably,0.0538886231685,1
might,85,might-probably,0.170070487741,1
probably,85,might-probably,0.777666918881,1
other,85,might-probably,0.0522625933781,1
might,90,might-probably,0.141615917212,1
probably,90,might-probably,0.804479808245,1
other,90,might-probably,0.0539042745432,1
might,95,might-probably,0.117022275731,1
probably,95,might-probably,0.816877278085,1
