modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.0179914036347,0
probably,0,might-probably,0.0166666666775,0
other,0,might-probably,0.965341929688,0
might,5,might-probably,0.360682496573,0
probably,5,might-probably,0.0166675362905,0
other,5,might-probably,0.622649967137,0
might,10,might-probably,0.701260564895,0
probably,10,might-probably,0.0167097525468,0
other,10,might-probably,0.282029682558,0
might,15,might-probably,0.770829014331,0
probably,15,might-probably,0.0170774916993,0
other,15,might-probably,0.21209349397,0
might,20,might-probably,0.78211016149,0
probably,20,might-probably,0.0188414139522,0
other,20,might-probably,0.199048424558,0
might,25,might-probably,0.779326079042,0
probably,25,might-probably,0.0245468804993,0
other,25,might-probably,0.196127040459,0
might,30,might-probably,0.768007935727,0
probably,30,might-probably,0.0386667276968,0
other,30,might-probably,0.193325336577,0
might,35,might-probably,0.744284343822,0
probably,35,might-probably,0.0678408869341,0
other,35,might-probably,0.187874769244,0
might,40,might-probably,0.701548146997,0
probably,40,might-probably,0.120470377392,0
other,40,might-probably,0.177981475611,0
might,45,might-probably,0.634249928667,0
probably,45,might-probably,0.203461408372,0
other,45,might-probably,0.162288662961,0
might,50,might-probably,0.544306290579,0
probably,50,might-probably,0.314472927678,0
other,50,might-probably,0.141220781743,0
might,55,might-probably,0.445174420387,0
probably,55,might-probably,0.436880023428,0
other,55,might-probably,0.117945556185,0
might,60,might-probably,0.354875010846,0
probably,60,might-probably,0.548399170832,0
other,60,might-probably,0.0967258183218,0
might,65,might-probably,0.284550739001,0
probably,65,might-probably,0.635238762471,0
other,65,might-probably,0.0802104985282,0
might,70,might-probably,0.235740064958,0
probably,70,might-probably,0.695473285498,0
other,70,might-probably,0.0687866495448,0
might,75,might-probably,0.204830472055,0
probably,75,might-probably,0.733535228712,0
other,75,might-probably,0.0616342992331,0
might,80,might-probably,0.187171548962,0
probably,80,might-probably,0.755114316457,0
other,80,might-probably,0.0577141345806,0
might,85,might-probably,0.178618775591,0
probably,85,might-probably,0.765196430741,0
other,85,might-probably,0.0561847936671,0
might,90,might-probably,0.175577035499,0
probably,90,might-probably,0.767797878183,0
other,90,might-probably,0.0566250863181,0
might,95,might-probably,0.174660665416,0
probably,95,might-probably,0.765007638048,0
other,95,might-probably,0.0603316965368,0
might,100,might-probably,0.0871531124166,0
probably,100,might-probably,0.339161045202,0
other,100,might-probably,0.573685842382,0
might,0,might-probably,0.0172085696716,1
probably,0,might-probably,0.0166666667177,1
other,0,might-probably,0.966124763611,1
might,5,might-probably,0.338112008107,1
probably,5,might-probably,0.0166686163055,1
other,5,might-probably,0.645219375588,1
might,10,might-probably,0.70718703,1
probably,10,might-probably,0.0167353743622,1
other,10,might-probably,0.276077595637,1
might,15,might-probably,0.774337995348,1
probably,15,might-probably,0.0172263277743,1
other,15,might-probably,0.208435676877,1
might,20,might-probably,0.783042861436,1
probably,20,might-probably,0.0193608596596,1
other,20,might-probably,0.197596278904,1
