modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.0286262185987,0
probably,0,might-probably,0.0166666666794,0
other,0,might-probably,0.954707114722,0
might,5,might-probably,0.484434414808,0
probably,5,might-probably,0.016667504894,0
other,5,might-probably,0.498898080298,0
might,10,might-probably,0.718530914403,0
probably,10,might-probably,0.0167093571947,0
other,10,might-probably,0.264759728402,0
might,15,might-probably,0.768332900554,0
probably,15,might-probably,0.0170904570951,0
other,15,might-probably,0.214576642351,0
might,20,might-probably,0.777352666466,0
probably,20,might-probably,0.0189078947753,0
other,20,might-probably,0.203739438759,0
might,25,might-probably,0.774469583888,0
probably,25,might-probably,0.0247311015819,0
other,25,might-probably,0.20079931453,0
might,30,might-probably,0.763059916113,0
probably,30,might-probably,0.0390605479901,0
other,30,might-probably,0.197879535897,0
might,35,might-probably,0.739157864948,0
probably,35,might-probably,0.0685644751263,0
other,35,might-probably,0.192277659926,0
might,40,might-probably,0.696229137059,0
probably,40,might-probably,0.121659373828,0
other,40,might-probably,0.182111489113,0
might,45,might-probably,0.628818946501,0
probably,45,might-probably,0.20519969807,0
other,45,might-probably,0.16598135543,0
might,50,might-probably,0.538981363597,0
probably,50,might-probably,0.316674570173,0
other,50,might-probably,0.144344066229,0
might,55,might-probably,0.440238642392,0
probably,55,might-probably,0.439285209649,0
other,55,might-probably,0.120476147959,0
might,60,might-probably,0.350492867939,0
probably,60,might-probably,0.550754110725,0
other,60,might-probably,0.0987530213368,0
might,65,might-probably,0.280690129134,0
probably,65,might-probably,0.637432808637,0
other,65,might-probably,0.0818770622294,0
might,70,might-probably,0.232248042231,0
probably,70,might-probably,0.69751237662,0
other,70,might-probably,0.0702395811486,0
might,75,might-probably,0.201529783729,0
probably,75,might-probably,0.735455527957,0
other,75,might-probably,0.0630146883137,0
might,80,might-probably,0.183911683912,0
probably,80,might-probably,0.75690797365,0
other,80,might-probably,0.0591803424386,0
might,85,might-probably,0.175290125273,0
probably,85,might-probably,0.76672691834,0
other,85,might-probably,0.0579829563879,0
might,90,might-probably,0.172081824513,0
probably,90,might-probably,0.768577798139,0
other,90,might-probably,0.0593403773487,0
