modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.0291786417381,0
probably,0,might-probably,0.0166666706065,0
other,0,might-probably,0.954154687655,0
might,5,might-probably,0.30814878562,0
probably,5,might-probably,0.0166870420298,0
other,5,might-probably,0.675164172351,0
might,10,might-probably,0.647882469145,0
probably,10,might-probably,0.0170625545332,0
other,10,might-probably,0.335054976322,0
might,15,might-probably,0.78668949521,0
probably,15,might-probably,0.0185548915104,0
other,15,might-probably,0.194755613279,0
might,20,might-probably,0.836521915235,0
probably,20,might-probably,0.0224773582436,0
other,20,might-probably,0.141000726521,0
might,25,might-probably,0.851133291653,0
probably,25,might-probably,0.0312331488172,0
other,25,might-probably,0.11763355953,0
might,30,might-probably,0.844960466453,0
probably,30,might-probably,0.0490405767808,0
other,30,might-probably,0.105998956766,0
might,35,might-probably,0.818413323698,0
probably,35,might-probably,0.0829759943038,0
other,35,might-probably,0.0986106819983,0
might,40,might-probably,0.765205936814,0
probably,40,might-probably,0.143315812279,0
other,40,might-probably,0.0914782509075,0
might,45,might-probably,0.678094117516,0
probably,45,might-probably,0.23967844879,0
other,45,might-probably,0.0822274336932,0
might,50,might-probably,0.559315465088,0
probably,50,might-probably,0.370366094806,0
other,50,might-probably,0.070318440106,0
might,55,might-probably,0.42795052404,0
probably,55,might-probably,0.514700106443,0
other,55,might-probably,0.0573493695167,0
might,60,might-probably,0.309774486816,0
probably,60,might-probably,0.64445996031,0
other,60,might-probably,0.0457655528741,0
might,65,might-probably,0.21958885797,0
probably,65,might-probably,0.743427284799,0
other,65,might-probably,0.0369838572308,0
might,70,might-probably,0.15769545328,0
probably,70,might-probably,0.811285911447,0
other,70,might-probably,0.0310186352732,0
might,75,might-probably,0.117555349478,0
probably,75,might-probably,0.855207820902,0
other,75,might-probably,0.0272368296201,0
might,80,might-probably,0.0922315477765,0
probably,80,might-probably,0.882768318499,0
other,80,might-probably,0.0250001337241,0
might,85,might-probably,0.0766312466536,0
probably,85,might-probably,0.899443363498,0
other,85,might-probably,0.0239253898486,0
might,90,might-probably,0.0676041303703,0
probably,90,might-probably,0.908317513032,0
other,90,might-probably,0.0240783565977,0
might,95,might-probably,0.0635784858914,0
probably,95,might-probably,0.909247278441,0
other,95,might-probably,0.0271742356676,0
might,100,might-probably,0.040011971501,0
probably,100,might-probably,0.399375182835,0
other,100,might-probably,0.560612845664,0
might,0,might-probably,0.0316090152308,1
probably,0,might-probably,0.0166666714972,1
other,0,might-probably,0.951724313272,1
might,5,might-probably,0.327569266359,1
probably,5,might-probably,0.0166880799852,1
other,5,might-probably,0.655742653656,1
might,10,might-probably,0.660530824003,1
probably,10,might-probably,0.0170527685138,1
other,10,might-probably,0.322416407483,1
might,15,might-probably,0.793709952437,1
probably,15,might-probably,0.0184614543357,1
other,15,might-probably,0.187828593227,1
might,20,might-probably,0.842270127993,1
probably,20,might-probably,0.0221172802992,1
other,20,might-probably,0.135612591708,1
might,25,might-probably,0.857485282103,1
probably,25,might-probably,0.0301989868308,1
other,25,might-probably,0.112315731066,1
might,30,might-probably,0.853191564365,1
probably,30,might-probably,0.0464814710267,1
other,30,might-probably,0.100326964608,1
might,35,might-probably,0.830041992022,1
probably,35,might-probably,0.0772651302807,1
other,35,might-probably,0.0926928776973,1
might,40,might-probably,0.78223833005,1
probably,40,might-probably,0.131924763161,1
other,40,might-probably,0.0858369067893,1
might,45,might-probably,0.702111212109,1
probably,45,might-probably,0.220274998649,1
other,45,might-probably,0.077613789242,1
